trait_set,model_family_id,best_K,best_human_profile,best_pearson_r,best_spearman_rho,family_specific_search_adjusted_p,positive_adjusted_evidence
12_HUMAN_SUPPORTED,MFamily_A,10,H10_C,0.926835134193,0.867132867133,0.0001999900005,True
12_HUMAN_SUPPORTED,MFamily_B,10,H10_A,0.57689967172,0.671328671329,0.279036048198,False
12_HUMAN_SUPPORTED,MFamily_C,6,H06_B,0.343342293177,0.356643356643,0.798410079496,False
12_HUMAN_SUPPORTED,MFamily_D,10,H10_J,0.874177646585,0.678321678322,0.004399780011,True
