trait_set,K,eligible_primary_k,human_profile_id,model_family_id,pearson_r,spearman_rho
45_ACCEPT_DIRECT,4,True,H04_A,MFamily_A,-0.171931230752,-0.155604598391
45_ACCEPT_DIRECT,4,True,H04_A,MFamily_B,-0.121320312394,-0.0691722389123
45_ACCEPT_DIRECT,4,True,H04_A,MFamily_C,0.173596901357,0.16601337339
45_ACCEPT_DIRECT,4,True,H04_A,MFamily_D,0.434388463343,0.475048585521
45_ACCEPT_DIRECT,4,True,H04_B,MFamily_A,0.301054155584,0.282090978117
45_ACCEPT_DIRECT,4,True,H04_B,MFamily_B,-0.067277671024,-0.143351230355
45_ACCEPT_DIRECT,4,True,H04_B,MFamily_C,-0.121047648907,-0.0996080240337
45_ACCEPT_DIRECT,4,True,H04_B,MFamily_D,-0.543365895806,-0.523403274437
45_ACCEPT_DIRECT,4,True,H04_C,MFamily_A,-0.319313175436,-0.301986231594
45_ACCEPT_DIRECT,4,True,H04_C,MFamily_B,0.1021922284,0.142297177191
45_ACCEPT_DIRECT,4,True,H04_C,MFamily_C,0.141533311963,0.151256629088
45_ACCEPT_DIRECT,4,True,H04_C,MFamily_D,0.508133854665,0.523403274437
45_ACCEPT_DIRECT,4,True,H04_D,MFamily_A,0.287823352257,0.229520076543
45_ACCEPT_DIRECT,4,True,H04_D,MFamily_B,0.0238087229936,-0.0288547053749
45_ACCEPT_DIRECT,4,True,H04_D,MFamily_C,-0.260588443871,-0.209624823066
45_ACCEPT_DIRECT,4,True,H04_D,MFamily_D,-0.469529105316,-0.490859382986
45_ACCEPT_DIRECT,5,True,H05_A,MFamily_A,0.51653907062,0.561678579968
45_ACCEPT_DIRECT,5,True,H05_A,MFamily_B,-0.225562072549,-0.390921967339
45_ACCEPT_DIRECT,5,True,H05_A,MFamily_C,-0.197352911603,-0.22991534648
45_ACCEPT_DIRECT,5,True,H05_A,MFamily_D,-0.74207271489,-0.795612504137
45_ACCEPT_DIRECT,5,True,H05_B,MFamily_A,-0.143601057541,-0.142560690482
45_ACCEPT_DIRECT,5,True,H05_B,MFamily_B,-0.149090405355,-0.0762870977719
45_ACCEPT_DIRECT,5,True,H05_B,MFamily_C,0.181209805405,0.163378240479
45_ACCEPT_DIRECT,5,True,H05_B,MFamily_D,0.394257248165,0.46529859375
45_ACCEPT_DIRECT,5,True,H05_C,MFamily_A,-0.280513016442,-0.266148424006
45_ACCEPT_DIRECT,5,True,H05_C,MFamily_B,0.0758646038954,0.109885042386
45_ACCEPT_DIRECT,5,True,H05_C,MFamily_C,0.133559164277,0.143878256938
45_ACCEPT_DIRECT,5,True,H05_C,MFamily_D,0.463668698098,0.497447215264
45_ACCEPT_DIRECT,5,True,H05_D,MFamily_A,0.354870925521,0.302776771468
45_ACCEPT_DIRECT,5,True,H05_D,MFamily_B,-0.0112859326213,-0.0802397971383
45_ACCEPT_DIRECT,5,True,H05_D,MFamily_C,-0.300610160125,-0.272472742992
45_ACCEPT_DIRECT,5,True,H05_D,MFamily_D,-0.526636499577,-0.537369478865
45_ACCEPT_DIRECT,5,True,H05_E,MFamily_A,-0.406397447206,-0.407918574614
45_ACCEPT_DIRECT,5,True,H05_E,MFamily_B,0.332420691031,0.402253038856
45_ACCEPT_DIRECT,5,True,H05_E,MFamily_C,0.113154242509,0.134260021813
45_ACCEPT_DIRECT,5,True,H05_E,MFamily_D,0.339106880112,0.266346058974
45_ACCEPT_DIRECT,6,True,H06_A,MFamily_A,0.623661914326,0.592377878381
45_ACCEPT_DIRECT,6,True,H06_A,MFamily_B,-0.314603006447,-0.419776672714
45_ACCEPT_DIRECT,6,True,H06_A,MFamily_C,-0.235661337931,-0.24085114806
45_ACCEPT_DIRECT,6,True,H06_A,MFamily_D,-0.820559010467,-0.835930037675
45_ACCEPT_DIRECT,6,True,H06_B,MFamily_A,-0.181849932653,-0.115023551563
45_ACCEPT_DIRECT,6,True,H06_B,MFamily_B,-0.104875399375,-0.0725979116966
45_ACCEPT_DIRECT,6,True,H06_B,MFamily_C,0.167862610095,0.142824203773
45_ACCEPT_DIRECT,6,True,H06_B,MFamily_D,0.42818265135,0.468460753243
45_ACCEPT_DIRECT,6,True,H06_C,MFamily_A,-0.212791667977,-0.205145097117
45_ACCEPT_DIRECT,6,True,H06_C,MFamily_B,0.0157331910795,0.0483546889159
45_ACCEPT_DIRECT,6,True,H06_C,MFamily_C,0.119613104901,0.13847623447
45_ACCEPT_DIRECT,6,True,H06_C,MFamily_D,0.400643250702,0.451464145968
45_ACCEPT_DIRECT,6,True,H06_D,MFamily_A,0.374466542057,0.379327382531
45_ACCEPT_DIRECT,6,True,H06_D,MFamily_B,-0.0648165035444,-0.174182285414
45_ACCEPT_DIRECT,6,True,H06_D,MFamily_C,-0.231352392656,-0.227411970215
45_ACCEPT_DIRECT,6,True,H06_D,MFamily_D,-0.591770442275,-0.587437004173
45_ACCEPT_DIRECT,6,True,H06_E,MFamily_A,-0.369242949622,-0.367996311014
45_ACCEPT_DIRECT,6,True,H06_E,MFamily_B,0.290121850447,0.343621331587
45_ACCEPT_DIRECT,6,True,H06_E,MFamily_C,0.171062654521,0.167594453136
45_ACCEPT_DIRECT,6,True,H06_E,MFamily_D,0.237742688595,0.162917092219
45_ACCEPT_DIRECT,6,True,H06_F,MFamily_A,-0.40586204519,-0.417009783157
45_ACCEPT_DIRECT,6,True,H06_F,MFamily_B,0.189081414898,0.291182186659
45_ACCEPT_DIRECT,6,True,H06_F,MFamily_C,0.118746095781,0.129121512636
45_ACCEPT_DIRECT,6,True,H06_F,MFamily_D,0.623906459666,0.652656543718
45_ACCEPT_DIRECT,7,True,H07_A,MFamily_A,0.2768554099,0.279587601851
45_ACCEPT_DIRECT,7,True,H07_A,MFamily_B,0.0048639597328,0.0450607727772
45_ACCEPT_DIRECT,7,True,H07_A,MFamily_C,-0.614345086921,-0.5429691363
45_ACCEPT_DIRECT,7,True,H07_A,MFamily_D,0.0295349543683,0.114430646658
45_ACCEPT_DIRECT,7,True,H07_B,MFamily_A,0.540364636259,0.561151553386
45_ACCEPT_DIRECT,7,True,H07_B,MFamily_B,-0.261767635967,-0.413188840436
45_ACCEPT_DIRECT,7,True,H07_B,MFamily_C,-0.16786415407,-0.197239698384
