trait_set,K,human_profile_id,model_family_id,pearson_r,spearman_rho
12_HUMAN_SUPPORTED,4,H04_A,MFamily_A,-0.113924354003,-0.265734265734
12_HUMAN_SUPPORTED,4,H04_A,MFamily_B,-0.216779536651,-0.41958041958
12_HUMAN_SUPPORTED,4,H04_A,MFamily_C,0.30347614451,0.34965034965
12_HUMAN_SUPPORTED,4,H04_A,MFamily_D,0.302125067207,0.41958041958
12_HUMAN_SUPPORTED,4,H04_B,MFamily_A,0.344913986531,0.405594405594
12_HUMAN_SUPPORTED,4,H04_B,MFamily_B,0.0391942800758,0.132867132867
12_HUMAN_SUPPORTED,4,H04_B,MFamily_C,-0.0645602271274,-0.048951048951
12_HUMAN_SUPPORTED,4,H04_B,MFamily_D,-0.628396069393,-0.713286713287
12_HUMAN_SUPPORTED,4,H04_C,MFamily_A,-0.336874339667,-0.258741258741
12_HUMAN_SUPPORTED,4,H04_C,MFamily_B,-0.0107516315357,-0.216783216783
12_HUMAN_SUPPORTED,4,H04_C,MFamily_C,0.00222047089404,0.0699300699301
12_HUMAN_SUPPORTED,4,H04_C,MFamily_D,0.612479435575,0.643356643357
12_HUMAN_SUPPORTED,4,H04_D,MFamily_A,0.168845906189,0.195804195804
12_HUMAN_SUPPORTED,4,H04_D,MFamily_B,0.224678430722,0.356643356643
12_HUMAN_SUPPORTED,4,H04_D,MFamily_C,-0.238484773876,-0.160839160839
12_HUMAN_SUPPORTED,4,H04_D,MFamily_D,-0.424798609268,-0.594405594406
12_HUMAN_SUPPORTED,5,H05_A,MFamily_A,0.671837177522,0.657342657343
12_HUMAN_SUPPORTED,5,H05_A,MFamily_B,-0.190293846657,-0.0909090909091
12_HUMAN_SUPPORTED,5,H05_A,MFamily_C,-0.164770725562,-0.13986013986
12_HUMAN_SUPPORTED,5,H05_A,MFamily_D,-0.853953304481,-0.881118881119
12_HUMAN_SUPPORTED,5,H05_B,MFamily_A,-0.0525881561019,-0.27972027972
12_HUMAN_SUPPORTED,5,H05_B,MFamily_B,-0.254331947977,-0.384615384615
12_HUMAN_SUPPORTED,5,H05_B,MFamily_C,0.315965702982,0.363636363636
12_HUMAN_SUPPORTED,5,H05_B,MFamily_D,0.23011664037,0.426573426573
12_HUMAN_SUPPORTED,5,H05_C,MFamily_A,-0.243962644282,-0.181818181818
12_HUMAN_SUPPORTED,5,H05_C,MFamily_B,-0.0662625613904,-0.272727272727
12_HUMAN_SUPPORTED,5,H05_C,MFamily_C,-0.0230191963539,0.0699300699301
12_HUMAN_SUPPORTED,5,H05_C,MFamily_D,0.534974060871,0.566433566434
12_HUMAN_SUPPORTED,5,H05_D,MFamily_A,0.321467945544,0.328671328671
12_HUMAN_SUPPORTED,5,H05_D,MFamily_B,0.109550136903,0.230769230769
12_HUMAN_SUPPORTED,5,H05_D,MFamily_C,-0.312059034343,-0.223776223776
12_HUMAN_SUPPORTED,5,H05_D,MFamily_D,-0.509200113,-0.594405594406
12_HUMAN_SUPPORTED,5,H05_E,MFamily_A,-0.76240691742,-0.797202797203
12_HUMAN_SUPPORTED,5,H05_E,MFamily_B,0.546681897846,0.643356643357
12_HUMAN_SUPPORTED,5,H05_E,MFamily_C,0.191714337208,0.216783216783
12_HUMAN_SUPPORTED,5,H05_E,MFamily_D,0.544564330883,0.391608391608
12_HUMAN_SUPPORTED,6,H06_A,MFamily_A,0.78835862449,0.741258741259
12_HUMAN_SUPPORTED,6,H06_A,MFamily_B,-0.300912771974,-0.160839160839
12_HUMAN_SUPPORTED,6,H06_A,MFamily_C,-0.170833090317,-0.223776223776
12_HUMAN_SUPPORTED,6,H06_A,MFamily_D,-0.912907036749,-0.867132867133
12_HUMAN_SUPPORTED,6,H06_B,MFamily_A,-0.102765557691,-0.356643356643
12_HUMAN_SUPPORTED,6,H06_B,MFamily_B,-0.182854058095,-0.300699300699
12_HUMAN_SUPPORTED,6,H06_B,MFamily_C,0.343342293177,0.356643356643
12_HUMAN_SUPPORTED,6,H06_B,MFamily_D,0.216387705387,0.384615384615
12_HUMAN_SUPPORTED,6,H06_C,MFamily_A,-0.214335127851,-0.202797202797
12_HUMAN_SUPPORTED,6,H06_C,MFamily_B,-0.105471141887,-0.321678321678
12_HUMAN_SUPPORTED,6,H06_C,MFamily_C,0.0132979673671,0.160839160839
12_HUMAN_SUPPORTED,6,H06_C,MFamily_D,0.516365025416,0.587412587413
12_HUMAN_SUPPORTED,6,H06_D,MFamily_A,0.384475604652,0.426573426573
12_HUMAN_SUPPORTED,6,H06_D,MFamily_B,0.0531676820122,0.13986013986
12_HUMAN_SUPPORTED,6,H06_D,MFamily_C,-0.184306468507,-0.111888111888
12_HUMAN_SUPPORTED,6,H06_D,MFamily_D,-0.635811026376,-0.727272727273
12_HUMAN_SUPPORTED,6,H06_E,MFamily_A,-0.653083710544,-0.713286713287
12_HUMAN_SUPPORTED,6,H06_E,MFamily_B,0.506695471678,0.664335664336
12_HUMAN_SUPPORTED,6,H06_E,MFamily_C,0.181726757084,0.0979020979021
12_HUMAN_SUPPORTED,6,H06_E,MFamily_D,0.39895170003,0.244755244755
12_HUMAN_SUPPORTED,6,H06_F,MFamily_A,-0.438826561299,-0.426573426573
12_HUMAN_SUPPORTED,6,H06_F,MFamily_B,0.0777330442964,-0.0559440559441
12_HUMAN_SUPPORTED,6,H06_F,MFamily_C,-0.0198671869023,0.034965034965
12_HUMAN_SUPPORTED,6,H06_F,MFamily_D,0.699209848294,0.769230769231
12_HUMAN_SUPPORTED,7,H07_A,MFamily_A,-0.629866887956,-0.559440559441
12_HUMAN_SUPPORTED,7,H07_A,MFamily_B,0.554648831167,0.545454545455
12_HUMAN_SUPPORTED,7,H07_A,MFamily_C,-0.325065763519,-0.230769230769
12_HUMAN_SUPPORTED,7,H07_A,MFamily_D,0.743650730331,0.664335664336
12_HUMAN_SUPPORTED,7,H07_B,MFamily_A,0.756115737146,0.713286713287
12_HUMAN_SUPPORTED,7,H07_B,MFamily_B,-0.28368908299,-0.167832167832
12_HUMAN_SUPPORTED,7,H07_B,MFamily_C,-0.14072495022,-0.167832167832
12_HUMAN_SUPPORTED,7,H07_B,MFamily_D,-0.905983910588,-0.881118881119
12_HUMAN_SUPPORTED,7,H07_C,MFamily_A,-0.0152612972166,-0.188811188811
12_HUMAN_SUPPORTED,7,H07_C,MFamily_B,-0.21239912506,-0.370629370629
12_HUMAN_SUPPORTED,7,H07_C,MFamily_C,0.332475291203,0.335664335664
12_HUMAN_SUPPORTED,7,H07_C,MFamily_D,0.103707880551,0.195804195804
12_HUMAN_SUPPORTED,7,H07_D,MFamily_A,-0.149932960481,-0.104895104895
12_HUMAN_SUPPORTED,7,H07_D,MFamily_B,-0.194862528436,-0.412587412587
12_HUMAN_SUPPORTED,7,H07_D,MFamily_C,0.116579940188,0.13986013986
