permutation_index,seed,global_max_fisher_z,global_max_back_transformed_r,global_maximizing_K,MFamily_A_max_r,MFamily_B_max_r,MFamily_C_max_r,MFamily_D_max_r
1,2026091312,0.630253204463,0.558226541876,10,0.651926093225,0.666792563587,0.465804549432,0.407597895993
2,2026091312,0.499157095596,0.461453998846,10,0.639166104572,0.476757105214,0.346725998553,0.509671780146
3,2026091312,0.814692279744,0.672170624306,8,0.786971066837,0.67870101958,0.458010746051,0.734424964376
4,2026091312,0.305935977734,0.296735404161,10,0.45150373745,0.133039442557,0.369745040351,0.383317365
5,2026091312,0.41966764358,0.396650402659,10,0.333229917825,0.552524810697,0.250453020745,0.447498916148
6,2026091312,0.494583132229,0.457846425038,10,0.425109810578,0.69059804166,0.346126626932,0.439801773976
7,2026091312,0.387317200308,0.369045107882,8,0.164827462188,0.583378879931,0.550994543719,0.290397884186
8,2026091312,0.534981504456,0.489179762164,10,0.594977892572,0.558979048706,0.614172687563,0.384551099461
9,2026091312,0.54413311274,0.496110199973,7,0.684443113826,0.441456271055,0.480236038657,0.513658062105
10,2026091312,0.446010433239,0.418614064703,10,0.343539933987,0.468036485442,0.543191118373,0.390641098582
11,2026091312,0.550621928671,0.500986188878,10,0.66766400603,0.378774216359,0.436140651064,0.574782314507
12,2026091312,0.546901083566,0.49819403618,8,0.620438577644,0.641639436345,0.461469295634,0.600840951417
13,2026091312,0.550707069348,0.501049957618,8,0.638481669691,0.613728893688,0.354007364946,0.597503448546
14,2026091312,0.360606760334,0.345748373195,10,0.520271771667,0.334269202172,0.378019235431,0.30130004251
15,2026091312,0.411592198849,0.389823761887,8,0.449397129075,0.461724900101,0.319646750244,0.476125769315
16,2026091312,0.300367527269,0.291648914218,10,0.165335061404,0.282761666414,0.43516853669,0.327843603383
17,2026091312,0.514309397338,0.473296065523,8,0.612837876909,0.637786575483,0.404959455141,0.264690213929
18,2026091312,0.265490162809,0.259423456632,8,0.222818310872,0.175746196856,0.303797550827,0.353144853731
19,2026091312,0.341204690195,0.328552467642,10,0.307225083834,0.447518013216,0.362229663846,0.312108196364
20,2026091312,0.258409429078,0.252807217179,10,0.354272918238,0.292516066574,0.366397242851,0.0621522947345
