K,model_family_id,human_profile_id,representation,pearson_r,spearman_rho,pair_fixed_no_reassignment,all_model_signs_agree,minimum_model_r,maximum_model_r
10,MFamily_A,H10_C,gemma,0.56181356096,0.551862709875,True,,,
10,MFamily_A,H10_C,leave_out_gemma_qwen_llama,0.488996912466,0.448170229829,True,,,
10,MFamily_A,H10_C,leave_out_llama_qwen_gemma,0.490514097319,0.450475971126,True,,,
10,MFamily_A,H10_C,leave_out_qwen_llama_gemma,0.567712199784,0.53394380608,True,,,
10,MFamily_A,H10_C,llama,0.560230409556,0.529859350068,True,,,
10,MFamily_A,H10_C,model_specific_range_summary,0.162241624341,,True,True,0.399571936619,0.56181356096
10,MFamily_A,H10_C,qwen,0.399571936619,0.362001383641,True,,,
10,MFamily_A,H10_C,three_model_consensus,0.519496033231,0.472742844224,True,,,
10,MFamily_B,H10_J,gemma,0.412254668424,0.518396521906,True,,,
10,MFamily_B,H10_J,leave_out_gemma_qwen_llama,0.370409823088,0.46101650277,True,,,
10,MFamily_B,H10_J,leave_out_llama_qwen_gemma,0.386496009136,0.468724266534,True,,,
10,MFamily_B,H10_J,leave_out_qwen_llama_gemma,0.4032635987,0.541190421585,True,,,
10,MFamily_B,H10_J,llama,0.36367868103,0.46648440356,True,,,
10,MFamily_B,H10_J,model_specific_range_summary,0.090409926771,,True,True,0.321844741653,0.412254668424
10,MFamily_B,H10_J,qwen,0.321844741653,0.38334596022,True,,,
10,MFamily_B,H10_J,three_model_consensus,0.39445674791,0.501334036307,True,,,
10,MFamily_C,H10_G,gemma,0.367102793645,0.330182153741,True,,,
10,MFamily_C,H10_G,leave_out_gemma_qwen_llama,0.282199971022,0.273658552802,True,,,
10,MFamily_C,H10_G,leave_out_llama_qwen_gemma,0.271549379222,0.228861293316,True,,,
10,MFamily_C,H10_G,leave_out_qwen_llama_gemma,0.387383284368,0.372212523671,True,,,
10,MFamily_C,H10_G,llama,0.39451250142,0.400803715755,True,,,
10,MFamily_C,H10_G,model_specific_range_summary,0.253768701192,,True,True,0.140743800228,0.39451250142
10,MFamily_C,H10_G,qwen,0.140743800228,0.107315787798,True,,,
10,MFamily_C,H10_G,three_model_consensus,0.318676662848,0.283013274636,True,,,
10,MFamily_D,H10_I,gemma,0.72530466809,0.700088936115,True,,,
10,MFamily_D,H10_I,leave_out_gemma_qwen_llama,0.764144811746,0.73059059956,True,,,
10,MFamily_D,H10_I,leave_out_llama_qwen_gemma,0.73251162258,0.680259560961,True,,,
10,MFamily_D,H10_I,leave_out_qwen_llama_gemma,0.757207934369,0.749168286582,True,,,
10,MFamily_D,H10_I,llama,0.766594669352,0.758918278352,True,,,
10,MFamily_D,H10_I,model_specific_range_summary,0.041290001262,,True,True,0.72530466809,0.766594669352
10,MFamily_D,H10_I,qwen,0.728865451319,0.640073784069,True,,,
10,MFamily_D,H10_I,three_model_consensus,0.754531714468,0.73487269054,True,,,
