K,human_profile_id,best_model_family,best_pearson_r,best_spearman_rho,second_best_model_family,second_best_pearson_r,top_two_margin,ambiguous_margin_le_0_10,family_specific_adjusted_p_for_best_family,descriptively_unmatched
4,H04_A,MFamily_D,0.434388463343,0.475048585521,MFamily_C,0.173596901357,0.260791561986,False,4.9997500125e-05,False
4,H04_B,MFamily_A,0.301054155584,0.282090978117,MFamily_B,-0.067277671024,0.368331826608,False,0.000149992500375,False
4,H04_C,MFamily_D,0.508133854665,0.523403274437,MFamily_C,0.141533311963,0.366600542702,False,4.9997500125e-05,False
4,H04_D,MFamily_A,0.287823352257,0.229520076543,MFamily_B,0.0238087229936,0.264014629263,False,0.000149992500375,False
5,H05_A,MFamily_A,0.51653907062,0.561678579968,MFamily_C,-0.197352911603,0.713891982223,False,0.000149992500375,False
5,H05_B,MFamily_D,0.394257248165,0.46529859375,MFamily_C,0.181209805405,0.21304744276,False,4.9997500125e-05,False
5,H05_C,MFamily_D,0.463668698098,0.497447215264,MFamily_C,0.133559164277,0.330109533821,False,4.9997500125e-05,False
5,H05_D,MFamily_A,0.354870925521,0.302776771468,MFamily_B,-0.0112859326213,0.366156858142,False,0.000149992500375,False
5,H05_E,MFamily_D,0.339106880112,0.266346058974,MFamily_B,0.332420691031,0.006686189081,True,4.9997500125e-05,False
6,H06_A,MFamily_A,0.623661914326,0.592377878381,MFamily_C,-0.235661337931,0.859323252257,False,0.000149992500375,False
6,H06_B,MFamily_D,0.42818265135,0.468460753243,MFamily_C,0.167862610095,0.260320041255,False,4.9997500125e-05,False
6,H06_C,MFamily_D,0.400643250702,0.451464145968,MFamily_C,0.119613104901,0.281030145801,False,4.9997500125e-05,False
6,H06_D,MFamily_A,0.374466542057,0.379327382531,MFamily_B,-0.0648165035444,0.439283045601,False,0.000149992500375,False
6,H06_E,MFamily_B,0.290121850447,0.343621331587,MFamily_D,0.237742688595,0.052379161852,True,0.0534973251337,True
6,H06_F,MFamily_D,0.623906459666,0.652656543718,MFamily_B,0.189081414898,0.434825044768,False,4.9997500125e-05,False
7,H07_A,MFamily_A,0.2768554099,0.279587601851,MFamily_D,0.0295349543683,0.247320455532,False,0.000149992500375,False
7,H07_B,MFamily_A,0.540364636259,0.561151553386,MFamily_C,-0.16786415407,0.708228790329,False,0.000149992500375,False
7,H07_C,MFamily_D,0.374923100196,0.424454033631,MFamily_C,0.177371738804,0.197551361392,False,4.9997500125e-05,False
7,H07_D,MFamily_D,0.452425502437,0.472149939319,MFamily_C,0.321902048025,0.130523454412,False,4.9997500125e-05,False
7,H07_E,MFamily_A,0.381433352419,0.355215916395,MFamily_B,-0.0549647684757,0.436398120895,False,0.000149992500375,False
7,H07_F,MFamily_D,0.557780013308,0.59283902664,MFamily_C,0.214076766424,0.343703246884,False,4.9997500125e-05,False
7,H07_G,MFamily_C,0.293948897083,0.276688955649,MFamily_B,0.288928962277,0.005019934806,True,0.00089995500225,False
8,H08_A,MFamily_A,0.219612602335,0.267729503752,MFamily_B,0.0800519327928,0.139560669542,False,0.000149992500375,False
8,H08_B,MFamily_A,0.367306849997,0.384597648353,MFamily_B,-0.107315452196,0.474622302193,False,0.000149992500375,False
8,H08_C,MFamily_A,0.300114121592,0.270232880017,MFamily_C,-0.00471904603577,0.304833167628,False,0.000149992500375,False
8,H08_D,MFamily_A,0.247396798228,0.199479561359,MFamily_C,0.0736264594392,0.173770338789,False,0.000149992500375,False
8,H08_E,MFamily_D,0.481133161826,0.449356039639,MFamily_C,0.136022552997,0.345110608829,False,4.9997500125e-05,False
8,H08_F,MFamily_D,0.574433217816,0.581112685186,MFamily_C,0.270716340332,0.303716877484,False,4.9997500125e-05,False
8,H08_G,MFamily_A,0.283969382304,0.254685595843,MFamily_B,0.0312987858469,0.252670596457,False,0.000149992500375,False
8,H08_H,MFamily_C,0.530974186075,0.532692117948,MFamily_D,0.512405693746,0.018568492329,True,0.00089995500225,False
10,H10_A,MFamily_A,0.487559942124,0.490134721436,MFamily_B,-0.073224090234,0.560784032358,False,0.000149992500375,False
10,H10_B,MFamily_D,0.315200423547,0.37741691117,MFamily_C,-0.0342752657145,0.349475689262,False,4.9997500125e-05,False
10,H10_C,MFamily_A,0.519496033231,0.472742844224,MFamily_C,-0.0417084965544,0.561204529785,False,0.000149992500375,False
10,H10_D,MFamily_D,0.119165641919,0.169504924497,MFamily_A,0.100581008944,0.018584632975,True,4.9997500125e-05,False
10,H10_E,MFamily_A,0.35512675184,0.365624691394,MFamily_B,-0.0758162240331,0.430942975873,False,0.000149992500375,False
10,H10_F,MFamily_C,0.128833184147,0.0997397806793,MFamily_B,0.0573456438055,0.0714875403415,True,0.00089995500225,False
10,H10_G,MFamily_D,0.447492437223,0.456075628562,MFamily_C,0.318676662848,0.128815774375,False,4.9997500125e-05,False
10,H10_H,MFamily_D,0.115876862215,0.162126552346,MFamily_A,0.0562398418424,0.0596370203726,True,4.9997500125e-05,False
10,H10_I,MFamily_D,0.754531714468,0.73487269054,MFamily_C,0.555653425345,0.198878289123,False,4.9997500125e-05,False
10,H10_J,MFamily_D,0.669712766456,0.661352482325,MFamily_B,0.39445674791,0.275256018546,False,4.9997500125e-05,False
