trait_set,K,model_family_id,human_profile_id,pearson_r,spearman_rho,fisher_z,mean_fisher_z_for_K,back_transformed_mean_r_for_K
12_HUMAN_SUPPORTED,4,MFamily_A,H04_B,0.344913986531,0.405594405594,0.359659397085,0.403615221662,0.383038029529
12_HUMAN_SUPPORTED,4,MFamily_B,H04_D,0.224678430722,0.356643356643,0.228577855795,0.403615221662,0.383038029529
12_HUMAN_SUPPORTED,4,MFamily_C,H04_A,0.30347614451,0.34965034965,0.313343944472,0.403615221662,0.383038029529
12_HUMAN_SUPPORTED,4,MFamily_D,H04_C,0.612479435575,0.643356643357,0.712879689294,0.403615221662,0.383038029529
12_HUMAN_SUPPORTED,5,MFamily_A,H05_A,0.671837177522,0.657342657343,0.814084255915,0.587991898858,0.528449823317
12_HUMAN_SUPPORTED,5,MFamily_B,H05_E,0.546681897846,0.643356643357,0.613636556471,0.587991898858,0.528449823317
12_HUMAN_SUPPORTED,5,MFamily_C,H05_B,0.315965702982,0.363636363636,0.327158995888,0.587991898858,0.528449823317
12_HUMAN_SUPPORTED,5,MFamily_D,H05_C,0.534974060871,0.566433566434,0.597087787159,0.587991898858,0.528449823317
12_HUMAN_SUPPORTED,6,MFamily_A,H06_A,0.78835862449,0.741258741259,1.06708014565,0.71224582863,0.612083201958
12_HUMAN_SUPPORTED,6,MFamily_B,H06_E,0.506695471678,0.664335664336,0.558273707248,0.71224582863,0.612083201958
12_HUMAN_SUPPORTED,6,MFamily_C,H06_B,0.343342293177,0.356643356643,0.357876573785,0.71224582863,0.612083201958
12_HUMAN_SUPPORTED,6,MFamily_D,H06_F,0.699209848294,0.769230769231,0.865752887836,0.71224582863,0.612083201958
12_HUMAN_SUPPORTED,7,MFamily_A,H07_B,0.756115737146,0.713286713287,0.987082950682,0.690463371062,0.59827959571
12_HUMAN_SUPPORTED,7,MFamily_B,H07_G,0.438655063223,0.531468531469,0.470564197562,0.690463371062,0.59827959571
12_HUMAN_SUPPORTED,7,MFamily_C,H07_C,0.332475291203,0.335664335664,0.345608603084,0.690463371062,0.59827959571
12_HUMAN_SUPPORTED,7,MFamily_D,H07_A,0.743650730331,0.664335664336,0.958597732921,0.690463371062,0.59827959571
12_HUMAN_SUPPORTED,8,MFamily_A,H08_D,0.769613286333,0.818181818182,1.01937852931,0.685416336567,0.595029302257
12_HUMAN_SUPPORTED,8,MFamily_B,H08_H,0.453723987551,0.454545454545,0.489379722505,0.685416336567,0.595029302257
12_HUMAN_SUPPORTED,8,MFamily_C,H08_C,0.283270374198,0.258741258741,0.291234199897,0.685416336567,0.595029302257
12_HUMAN_SUPPORTED,8,MFamily_D,H08_A,0.735989916472,0.608391608392,0.94167289456,0.685416336567,0.595029302257
12_HUMAN_SUPPORTED,10,MFamily_A,H10_C,0.926835134193,0.867132867133,1.63545938932,0.998104632236,0.760797000387
12_HUMAN_SUPPORTED,10,MFamily_B,H10_A,0.57689967172,0.671328671329,0.657803315807,0.998104632236,0.760797000387
12_HUMAN_SUPPORTED,10,MFamily_C,H10_D,0.335158849968,0.391608391608,0.348628706254,0.998104632236,0.760797000387
12_HUMAN_SUPPORTED,10,MFamily_D,H10_J,0.874177646585,0.678321678322,1.35052711756,0.998104632236,0.760797000387
