persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile
aberration,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-47.93762578340074,-16.326007104876837,31.10838013632905,6.0,20.181818181818183,97.27272727272727
absurdist,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-34.38396676714598,14.551099089401372,33.406229058618166,18.0,78.0,98.36363636363636
accountant,qwen,Qwen/Qwen3-32B,editorial,0,0,3,42.247903024869096,-4.026883122006334,7.345583377065653,94.72727272727273,47.09090909090909,69.27272727272727
activist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,13.519598034249274,4.204792713956154,-8.246735383817718,61.63636363636363,64.9090909090909,30.0
actor,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-23.890048451285725,21.45684319609401,0.2831027654882128,26.0,85.63636363636364,50.0
addict,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-19.963020546384293,38.66393954669683,-16.282296677662995,30.0,94.72727272727273,14.0
adolescent,qwen,Qwen/Qwen3-32B,other,5,4,0,-15.45010533709374,78.08059632441373,-7.233790546475039,34.0,99.45454545454545,31.818181818181817
advocate,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,13.533940143887348,2.7011663953204628,-11.350794264131684,62.0,62.72727272727273,22.0
alien,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-20.463192597598027,-22.757723957933916,12.343088546094897,29.636363636363637,13.272727272727273,80.9090909090909
altruist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,4,11.355226573618308,-3.914055475926682,-24.74471679393749,59.09090909090909,47.45454545454545,7.090909090909091
amateur,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-0.2586328160476701,40.0704558828152,-24.428542192829035,47.45454545454545,96.18181818181819,7.454545454545454
ambassador,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,29.68736363825849,-8.41588762125236,-8.973791436197523,76.18181818181819,35.45454545454545,28.90909090909091
amnesiac,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-42.40906728802925,13.632674403539143,-10.732725985263048,9.636363636363637,76.18181818181819,23.09090909090909
analyst,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.52076402901914,-6.58817352926104,7.254708889888544,95.0909090909091,41.63636363636363,68.18181818181819
anarchist,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,2,7.030221450494715,-4.2721047293472125,9.46434642475454,55.09090909090909,46.36363636363637,74.36363636363636
ancient,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-38.009471560813296,-32.792585039876926,3.308962251660401,14.0,3.4545454545454546,59.81818181818182
angel,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.46316823099613,-28.855131378189007,-30.585188034988395,12.909090909090908,7.818181818181818,3.090909090909091
anthropologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,31.896983355428475,-20.196809995998954,0.958957708106152,79.81818181818181,15.090909090909092,52.54545454545455
archaeologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,15.67727893071694,-19.48160605101912,1.9018414727192567,63.81818181818182,16.545454545454547,56.18181818181818
architect,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.97130329752844,-9.428450367763908,-2.18207394378326,78.36363636363636,34.0,45.63636363636363
archivist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,26.8646063860428,-17.740686681530775,-1.4838594077146599,72.9090909090909,18.363636363636363,46.72727272727273
artisan,qwen,Qwen/Qwen3-32B,grounded_social,4,1,6,-13.80224354546352,-12.1746258284918,-14.988344807819512,35.09090909090909,27.818181818181817,15.818181818181818
ascetic,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.439575841873804,-40.35086932375388,-4.578672191424315,13.272727272727273,0.5454545454545454,38.0
assistant,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,33.702802703307285,3.4417180159693257,-5.155534094272262,83.45454545454545,63.81818181818182,36.18181818181818
auctioneer,qwen,Qwen/Qwen3-32B,grounded_social,1,5,0,-9.95945401779541,16.72485490803798,12.636633862983679,38.72727272727273,80.54545454545455,81.63636363636364
auditor,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,48.155016282063954,-12.294598875007566,13.609157249160592,99.81818181818181,27.454545454545453,83.0909090909091
avatar,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-38.01488885516367,-35.416923328790055,-12.98249677852985,13.636363636363637,1.6363636363636365,18.727272727272727
bard,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-54.34791312892803,-24.25955982319055,-2.864858953133651,2.0,11.818181818181818,42.72727272727273
bartender,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-16.59911513699866,36.32504789496574,-2.7782731805029304,32.18181818181818,93.63636363636364,43.45454545454545
biologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,32.23865112417156,-16.158082908950185,4.347481104188773,80.9090909090909,20.90909090909091,63.81818181818182
blogger,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-0.32169028538461797,20.848443684805705,-14.3913451026762,47.09090909090909,84.9090909090909,17.636363636363637
bohemian,qwen,Qwen/Qwen3-32B,grounded_social,4,3,0,-42.551435791686856,2.6971743287550676,-6.445254122135833,9.272727272727273,62.36363636363637,33.63636363636363
builder,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,14.492160790572493,-0.1423124990226293,-2.4334241164624792,62.72727272727273,56.54545454545455,44.18181818181818
caregiver,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,1.3446118294445397,14.616833976346669,-43.37051712113408,50.0,78.36363636363636,0.18181818181818182
cartographer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,22.160098503601198,-15.313847139336392,2.3800074486671052,67.0909090909091,22.727272727272727,57.63636363636363
caveman,qwen,Qwen/Qwen3-32B,trickster_chaos,5,2,0,-54.942088966229505,15.489350114826983,0.4026689357458955,1.2727272727272727,78.72727272727273,50.36363636363637
celebrity,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-6.950382540189189,33.26173521791948,-10.510408261204082,40.90909090909091,91.0909090909091,23.818181818181817
chameleon,qwen,Qwen/Qwen3-32B,grounded_social,6,1,0,-0.6396592389936702,15.88044389738716,-5.605038716673175,46.72727272727273,79.0909090909091,35.45454545454545
chef,qwen,Qwen/Qwen3-32B,grounded_social,6,1,0,4.4813056568202105,12.232802469489958,-8.70258861017748,52.90909090909091,74.0,29.272727272727273
chemist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.418353579492045,-11.171391094715899,8.463366774779129,75.81818181818181,30.727272727272727,71.81818181818181
chimera,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-37.31414849389235,-16.363016103473665,9.316700465581102,15.454545454545455,19.818181818181817,74.0
coach,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,24.85386036579484,11.699203934673228,-14.83995711167255,69.63636363636364,73.63636363636364,16.181818181818183
collaborator,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,25.71988223108337,9.670900509544367,-17.67255794327282,70.72727272727273,72.18181818181819,12.545454545454545
collector,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,11.761807600504083,-12.938380333517857,1.1974937560233683,59.81818181818182,26.0,54.0
comedian,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-24.02931828907636,56.60365202247773,31.28002781451015,25.636363636363637,98.0,97.63636363636364
competitor,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,-5.725992151036509,27.91731304165891,25.667224675992685,41.63636363636363,89.63636363636364,92.54545454545455
composer,qwen,Qwen/Qwen3-32B,procedural_professional,6,3,2,1.7742423363130577,-17.582766267517304,-4.900927777349625,50.36363636363637,18.727272727272727,37.27272727272727
conservator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,23.523663493022003,-16.820637680026067,-6.184636946324897,68.54545454545455,19.454545454545453,34.0
consultant,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,41.02661400378177,-2.691101028202295,3.4713708320379277,94.0,50.36363636363637,60.90909090909091
contrarian,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-3.586692005372983,13.934090578410611,26.083445798402323,43.09090909090909,76.9090909090909,93.63636363636364
coordinator,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,39.3863140523228,-2.1557257507779592,-3.1947714430612977,92.9090909090909,52.90909090909091,41.63636363636363
coral_reef,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-32.63884104445989,-19.931583304366214,-10.838205711880038,19.818181818181817,15.818181818181818,22.727272727272727
cosmopolitan,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,8.799584677568003,0.17725554203076474,-7.825350797971399,56.90909090909091,57.27272727272727,30.363636363636363
counselor,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,10.852153155518312,12.970002495604607,-36.16733092356944,58.72727272727273,75.0909090909091,0.9090909090909091
criminal,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-37.555704105062816,37.43393224350468,26.991718718901144,14.727272727272727,94.36363636363636,94.72727272727273
critic,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,3,25.6233998672242,-14.77124977421343,6.8025328870251505,70.36363636363636,23.454545454545453,67.0909090909091
crystalline,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-10.335204484415218,-44.008002699527935,8.55267273597017,38.36363636363637,0.18181818181818182,72.54545454545455
curator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,20.167390400383425,-8.79154175168452,-4.625589635551944,65.27272727272727,34.72727272727273,37.63636363636363
cyborg,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,16.715415330032535,-10.173249073747277,10.10106023253858,64.18181818181819,32.54545454545455,76.18181818181819
cynic,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,4,5,-21.40683523639378,40.712028510960494,36.28145286697455,28.90909090909091,96.54545454545455,99.45454545454545
daredevil,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,-29.846147037727764,43.74737125298279,26.447962971721083,21.636363636363637,96.9090909090909,94.36363636363636
debugger,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.836655782103854,0.4224887355588542,10.867375418859801,90.72727272727273,58.0,78.36363636363636
demon,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-51.93527758403419,-11.475720936645686,29.919199839754352,4.181818181818182,30.363636363636363,96.18181818181819
designer,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,26.603795947658433,-2.5267475528485317,-5.176319635523107,72.54545454545455,51.81818181818182,35.81818181818182
destroyer,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,2,-3.1182599972060925,-3.2045875032336917,23.321852651175448,44.18181818181818,48.54545454545455,89.63636363636364
detective,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,21.40956781837456,-2.26166954798525,11.640713755627806,66.36363636363636,52.54545454545455,79.81818181818181
devils_advocate,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,6.519322027309962,7.660096503318448,21.460076485682848,54.36363636363637,68.9090909090909,88.18181818181819
dilettante,qwen,Qwen/Qwen3-32B,grounded_social,6,4,0,-3.3502571375133776,18.002389084820727,1.5071437002684787,43.81818181818182,81.27272727272727,54.36363636363637
dispatcher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.516518383716885,-3.0092679550701,5.132192821664048,89.63636363636364,49.27272727272727,65.63636363636364
divorcee,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-6.764238202946362,31.75633470412006,-25.897504843120085,41.27272727272727,90.72727272727273,6.7272727272727275
doctor,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,34.779093762954076,-0.045334151116589325,-11.46602454595282,87.0909090909091,56.90909090909091,21.272727272727273
dreamer,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.56207730494265,-22.887757310923693,-7.6934699441618895,8.181818181818182,12.909090909090908,31.09090909090909
echo,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-49.892212129797464,-33.35410333272891,0.20762037991550908,4.545454545454546,2.727272727272727,49.63636363636363
economist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.5913387139219,-10.492469036947918,16.670072583111747,95.45454545454545,31.818181818181817,86.0
ecosystem,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,12.478176049507631,-15.406081311320156,-15.348841586337914,60.18181818181818,22.363636363636363,15.090909090909092
editor,qwen,Qwen/Qwen3-32B,editorial,6,0,3,34.61981418631529,-2.11473983362909,-5.095158977559185,86.72727272727273,53.63636363636363,36.54545454545455
egregore,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,1,-23.836736509991606,-31.566349528554323,5.029204432935277,26.363636363636363,4.909090909090909,65.27272727272727
elder,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-35.705884212156,-4.929585177066843,-20.67380660069175,16.545454545454547,45.63636363636363,8.545454545454545
eldritch,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,1,-52.71680186550774,-39.481346362725304,15.742466633263037,3.090909090909091,0.9090909090909091,84.9090909090909
emissary,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,22.521750906733192,-11.756823506124032,-11.19928207618667,67.45454545454545,28.545454545454547,22.363636363636363
empath,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-15.63073246379601,3.8726537717601195,-36.85070089037334,33.27272727272727,64.18181818181819,0.5454545454545454
engineer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,40.53531130675328,-7.183094127901816,11.617733933568099,93.27272727272727,39.81818181818182,79.45454545454545
entrepreneur,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,0,20.68124983984013,16.282268700349828,6.638280765744367,65.63636363636364,79.81818181818181,66.72727272727273
evaluator,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,45.0862291525949,-10.275203492139877,7.30469979303059,99.0909090909091,32.18181818181818,68.54545454545455
evangelist,qwen,Qwen/Qwen3-32B,grounded_social,6,3,0,-19.141577588125063,5.67443705147744,-2.212664705609248,30.363636363636363,67.45454545454545,44.90909090909091
examiner,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,45.622482113149296,-13.636909901713638,10.556259496184186,99.45454545454545,25.272727272727273,77.63636363636364
exile,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,0,-46.92944222046441,-4.671833112873581,-7.730743697070087,6.7272727272727275,46.0,30.727272727272727
expatriate,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,14.628705713343443,14.16857028430845,-10.601171666575794,63.09090909090909,77.27272727272727,23.454545454545453
facilitator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,32.46340128951283,5.011736262444936,-16.05074555642301,81.27272727272727,66.36363636363636,14.363636363636363
familiar,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.97249406453255,-28.23184984477177,-1.701520806852049,11.818181818181818,10.0,46.36363636363637
