persona,in_qwen,in_llama,in_gemma,qwen_reference_cluster
aberration,True,True,True,mythic_spiritual
absurdist,True,True,True,trickster_chaos
accountant,True,True,True,editorial
activist,True,True,True,procedural_professional
actor,True,True,True,grounded_social
addict,True,True,True,grounded_social
adolescent,True,True,True,other
advocate,True,True,True,procedural_professional
alien,True,True,True,mythic_spiritual
altruist,True,True,True,procedural_professional
amateur,True,True,True,grounded_social
ambassador,True,True,True,procedural_professional
amnesiac,True,True,True,grounded_social
analyst,True,True,True,procedural_professional
anarchist,True,True,True,procedural_professional
ancient,True,True,True,mythic_spiritual
angel,True,True,True,mythic_spiritual
anthropologist,True,True,True,procedural_professional
archaeologist,True,True,True,procedural_professional
architect,True,True,True,procedural_professional
archivist,True,True,True,procedural_professional
artisan,True,True,True,grounded_social
ascetic,True,True,True,mythic_spiritual
assistant,True,True,True,procedural_professional
auctioneer,True,True,True,grounded_social
auditor,True,True,True,procedural_professional
avatar,True,True,True,mythic_spiritual
bard,True,True,True,mythic_spiritual
bartender,True,True,True,grounded_social
biologist,True,True,True,procedural_professional
blogger,True,True,True,grounded_social
bohemian,True,True,True,grounded_social
builder,True,True,True,procedural_professional
caregiver,True,True,True,grounded_social
cartographer,True,True,True,procedural_professional
caveman,True,True,True,trickster_chaos
celebrity,True,True,True,grounded_social
chameleon,True,True,True,grounded_social
chef,True,True,True,grounded_social
chemist,True,True,True,procedural_professional
chimera,True,True,True,mythic_spiritual
coach,True,True,True,procedural_professional
collaborator,True,True,True,procedural_professional
collector,True,True,True,procedural_professional
comedian,True,True,True,trickster_chaos
competitor,True,True,True,combative_iconoclast
composer,True,True,True,procedural_professional
conservator,True,True,True,procedural_professional
consultant,True,True,True,procedural_professional
contrarian,True,True,True,combative_iconoclast
coordinator,True,True,True,procedural_professional
coral_reef,True,True,True,mythic_spiritual
cosmopolitan,True,True,True,procedural_professional
counselor,True,True,True,procedural_professional
criminal,True,True,True,grounded_social
critic,True,True,True,procedural_professional
crystalline,True,True,True,mythic_spiritual
curator,True,True,True,procedural_professional
cyborg,True,True,True,procedural_professional
cynic,True,True,True,combative_iconoclast
daredevil,True,True,True,combative_iconoclast
debugger,True,True,True,procedural_professional
demon,True,True,True,mythic_spiritual
designer,True,True,True,procedural_professional
destroyer,True,True,True,combative_iconoclast
detective,True,True,True,procedural_professional
devils_advocate,True,True,True,combative_iconoclast
dilettante,True,True,True,grounded_social
dispatcher,True,True,True,procedural_professional
divorcee,True,True,True,grounded_social
doctor,True,True,True,procedural_professional
dreamer,True,True,True,mythic_spiritual
echo,True,True,True,mythic_spiritual
economist,True,True,True,procedural_professional
ecosystem,True,True,True,procedural_professional
editor,True,True,True,editorial
egregore,True,True,True,mythic_spiritual
elder,True,True,True,mythic_spiritual
eldritch,True,True,True,mythic_spiritual
emissary,True,True,True,procedural_professional
empath,True,True,True,grounded_social
engineer,True,True,True,procedural_professional
entrepreneur,True,True,True,procedural_professional
evaluator,True,True,True,procedural_professional
evangelist,True,True,True,grounded_social
examiner,True,True,True,procedural_professional
exile,True,True,True,mythic_spiritual
expatriate,True,True,True,procedural_professional
facilitator,True,True,True,procedural_professional
familiar,True,True,True,mythic_spiritual
fixer,True,True,True,grounded_social
flaneur,True,True,True,grounded_social
fool,True,True,True,trickster_chaos
forecaster,True,True,True,procedural_professional
futurist,True,True,True,procedural_professional
gamer,True,True,True,combative_iconoclast
generalist,True,True,True,procedural_professional
genie,True,True,True,trickster_chaos
geographer,True,True,True,procedural_professional
ghost,True,True,True,mythic_spiritual
golem,True,True,True,mythic_spiritual
gossip,True,True,True,trickster_chaos
grader,True,True,True,editorial
graduate,True,True,True,grounded_social
grandparent,True,True,True,grounded_social
guardian,True,True,True,procedural_professional
guide,True,True,True,procedural_professional
guru,True,True,True,mythic_spiritual
hacker,True,True,True,combative_iconoclast
healer,True,True,True,procedural_professional
hedonist,True,True,True,grounded_social
hermit,True,True,True,mythic_spiritual
historian,True,True,True,procedural_professional
hive,True,True,True,procedural_professional
hoarder,True,True,True,other
homunculus,True,True,True,mythic_spiritual
hybrid,True,True,True,procedural_professional
idealist,True,True,True,procedural_professional
immigrant,True,True,True,grounded_social
improviser,True,True,True,grounded_social
infant,True,True,True,other
influencer,True,True,True,combative_iconoclast
instructor,True,True,True,procedural_professional
interpreter,True,True,True,procedural_professional
interviewer,True,True,True,editorial
jester,True,True,True,trickster_chaos
journalist,True,True,True,procedural_professional
judge,True,True,True,procedural_professional
lawyer,True,True,True,procedural_professional
leviathan,True,True,True,mythic_spiritual
librarian,True,True,True,procedural_professional
linguist,True,True,True,procedural_professional
loner,True,True,True,grounded_social
luddite,True,True,True,grounded_social
marketer,True,True,True,procedural_professional
martyr,True,True,True,mythic_spiritual
mathematician,True,True,True,procedural_professional
maverick,True,True,True,combative_iconoclast
mechanic,True,True,True,procedural_professional
mediator,True,True,True,procedural_professional
mentor,True,True,True,procedural_professional
merchant,True,True,True,procedural_professional
minimalist,True,True,True,procedural_professional
moderator,True,True,True,procedural_professional
musician,True,True,True,grounded_social
mycorrhizal,True,True,True,mythic_spiritual
mystic,True,True,True,mythic_spiritual
narcissist,True,True,True,grounded_social
narrator,True,True,True,mythic_spiritual
naturalist,True,True,True,procedural_professional
navigator,True,True,True,procedural_professional
negotiator,True,True,True,procedural_professional
networker,True,True,True,procedural_professional
newlywed,True,True,True,grounded_social
nomad,True,True,True,grounded_social
novelist,True,True,True,grounded_social
nutritionist,True,True,True,editorial
observer,True,True,True,procedural_professional
optimist,True,True,True,grounded_social
oracle,True,True,True,mythic_spiritual
organizer,True,True,True,procedural_professional
orphan,True,True,True,grounded_social
pacifist,True,True,True,procedural_professional
paramedic,True,True,True,procedural_professional
parasite,True,True,True,mythic_spiritual
parent,True,True,True,grounded_social
patient,True,True,True,grounded_social
peacekeeper,True,True,True,procedural_professional
perfectionist,True,True,True,procedural_professional
pharmacist,True,True,True,editorial
philosopher,True,True,True,procedural_professional
photographer,True,True,True,grounded_social
physicist,True,True,True,procedural_professional
pilgrim,True,True,True,mythic_spiritual
pilot,True,True,True,procedural_professional
pirate,True,True,True,trickster_chaos
planner,True,True,True,procedural_professional
playwright,True,True,True,grounded_social
podcaster,True,True,True,grounded_social
poet,True,True,True,mythic_spiritual
polymath,True,True,True,procedural_professional
pragmatist,True,True,True,procedural_professional
predator,True,True,True,mythic_spiritual
presenter,True,True,True,procedural_professional
prey,True,True,True,grounded_social
prisoner,True,True,True,grounded_social
procrastinator,True,True,True,other
prodigy,True,True,True,procedural_professional
producer,True,True,True,procedural_professional
programmer,True,True,True,procedural_professional
proofreader,True,True,True,editorial
prophet,True,True,True,mythic_spiritual
provincial,True,True,True,grounded_social
provocateur,True,True,True,combative_iconoclast
psychologist,True,True,True,procedural_professional
publisher,True,True,True,procedural_professional
purist,True,True,True,procedural_professional
realist,True,True,True,procedural_professional
rebel,True,True,True,combative_iconoclast
recruiter,True,True,True,procedural_professional
refugee,True,True,True,grounded_social
reporter,True,True,True,procedural_professional
researcher,True,True,True,procedural_professional
retiree,True,True,True,grounded_social
revenant,True,True,True,mythic_spiritual
reviewer,True,True,True,procedural_professional
revolutionary,True,True,True,combative_iconoclast
robot,True,True,True,procedural_professional
rogue,True,True,True,trickster_chaos
romantic,True,True,True,grounded_social
saboteur,True,True,True,combative_iconoclast
sage,True,True,True,mythic_spiritual
scheduler,True,True,True,procedural_professional
scholar,True,True,True,procedural_professional
scientist,True,True,True,procedural_professional
scout,True,True,True,procedural_professional
screener,True,True,True,editorial
secretary,True,True,True,editorial
shaman,True,True,True,mythic_spiritual
shapeshifter,True,True,True,grounded_social
simulacrum,True,True,True,mythic_spiritual
skeptic,True,True,True,procedural_professional
smuggler,True,True,True,grounded_social
sociologist,True,True,True,procedural_professional
soldier,True,True,True,grounded_social
sommelier,True,True,True,procedural_professional
specialist,True,True,True,procedural_professional
spirit,True,True,True,mythic_spiritual
spy,True,True,True,procedural_professional
statistician,True,True,True,procedural_professional
stoic,True,True,True,mythic_spiritual
strategist,True,True,True,procedural_professional
student,True,True,True,editorial
summarizer,True,True,True,editorial
supervisor,True,True,True,editorial
surfer,True,True,True,grounded_social
survivor,True,True,True,grounded_social
swarm,True,True,True,procedural_professional
symbiont,True,True,True,procedural_professional
synthesizer,True,True,True,procedural_professional
teacher,True,True,True,procedural_professional
technologist,True,True,True,procedural_professional
teenager,True,True,True,other
theorist,True,True,True,procedural_professional
therapist,True,True,True,procedural_professional
toddler,True,True,True,other
traditionalist,True,True,True,procedural_professional
trainer,True,True,True,procedural_professional
translator,True,True,True,editorial
tree,True,True,True,mythic_spiritual
trickster,True,True,True,trickster_chaos
tulpa,True,True,True,grounded_social
tutor,True,True,True,procedural_professional
validator,True,True,True,procedural_professional
vampire,True,True,True,mythic_spiritual
vegan,True,True,True,procedural_professional
veteran,True,True,True,grounded_social
veterinarian,True,True,True,procedural_professional
vigilante,True,True,True,grounded_social
virtuoso,True,True,True,procedural_professional
virus,True,True,True,mythic_spiritual
visionary,True,True,True,procedural_professional
void,True,True,True,mythic_spiritual
wanderer,True,True,True,mythic_spiritual
warrior,True,True,True,mythic_spiritual
whale,True,True,True,mythic_spiritual
widow,True,True,True,grounded_social
wind,True,True,True,mythic_spiritual
witch,True,True,True,mythic_spiritual
witness,True,True,True,procedural_professional
workaholic,True,True,True,combative_iconoclast
wraith,True,True,True,mythic_spiritual
writer,True,True,True,procedural_professional
zealot,True,True,True,mythic_spiritual
zeitgeist,True,True,True,procedural_professional
