stratum,trait,n_high_pc2,n_low_pc2,mean_high_pc2,mean_low_pc2,mean_diff_high_minus_low,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,enriched_pole
global,ritualistic,55,55,0.1213026313263179,0.2771160987005107,-0.15581346737419277,-4.447759840676861,-1.0,-0.17151054177025107,-0.14376519800139503,low_pc2
global,practical,55,55,-0.16927146211531757,-0.2855241024119381,0.11625264029662052,4.208982752823926,1.0,0.10652103413567697,0.12649291488449058,high_pc2
global,experiential,55,55,0.061195125353841986,-0.05695585041718913,0.11815097577103112,4.108989826573944,1.0,0.10709672115406348,0.12868723352002057,high_pc2
global,conceptual,55,55,0.11487390848825575,0.23454420251984684,-0.11967029403159109,-4.074824770574571,-1.0,-0.13080527412300688,-0.10908036824938888,low_pc2
global,abstract,55,55,0.15192364769013358,0.2701032998971014,-0.11817965220696783,-3.8324599257838545,-1.0,-0.1299435845490734,-0.108486320078432,low_pc2
global,theoretical,55,55,0.1491279717227562,0.27121484476601715,-0.12208687304326096,-3.799455362201058,-1.0,-0.1336179361698115,-0.11004999023900422,low_pc2
global,principled,55,55,0.005760423688535997,0.09234122101393104,-0.08658079732539505,-3.6849599807263096,-1.0,-0.09599147131818896,-0.07820197909393721,low_pc2
global,introverted,55,55,0.15153745784861722,0.30400229184323263,-0.1524648339946154,-3.618879284662552,-1.0,-0.1676031138146993,-0.13718461877313004,low_pc2
global,reverent,55,55,0.10627314573439552,0.25764684327707593,-0.15137369754268043,-3.4369918455257626,-0.9973553719008265,-0.16730002276570582,-0.13415562819614943,low_pc2
global,pensive,55,55,0.5330144995993609,0.6465881233721533,-0.11357362377279245,-3.3485324001117194,-1.0,-0.12496937638602078,-0.10259412099335204,low_pc2
global,casual,55,55,-0.08963409751768953,-0.23405747426166987,0.14442337674398034,3.274176536446938,1.0,0.12769753039170822,0.1604258333732154,high_pc2
global,formal,55,55,0.10451980307301073,0.24941127473277255,-0.14489147165976182,-3.2328349710531046,-1.0,-0.162525481059709,-0.13018214575696005,low_pc2
global,grounded,55,55,-0.15266429057908135,-0.2669029922025911,0.11423870162350977,3.1747268990851865,0.964297520661157,0.10056183388087338,0.12951032488184114,high_pc2
global,ascetic,55,55,-0.05388223764689009,0.06867479380458297,-0.12255703145147306,-3.172386260656189,-0.9821487603305785,-0.13496821173606632,-0.10782316370813345,low_pc2
global,contemporary,55,55,0.04704068859840178,-0.07114223379502489,0.11818292239342668,3.1420128073234563,0.9722314049586777,0.1062517259709388,0.13200223321484653,high_pc2
global,idealistic,55,55,0.03182595197408753,0.15624428894209605,-0.12441833696800852,-3.1329930110834776,-0.9649586776859504,-0.13778647982513645,-0.10869082389390741,low_pc2
global,solemn,55,55,0.1979092558691892,0.3455520184480467,-0.14764276257885753,-3.056293293160637,-1.0,-0.16630213199653998,-0.13100521196757256,low_pc2
global,big_picture,55,55,0.2182231113784664,0.30223076357379963,-0.08400765219533324,-2.866563598253031,-0.9993388429752066,-0.09570512588812616,-0.07277782992320482,low_pc2
global,serious,55,55,0.13429611205151912,0.2731803300071435,-0.13888421795562436,-2.855301363688265,-0.9960330578512396,-0.1573224767659536,-0.12181945294428548,low_pc2
global,erudite,55,55,0.22398946269250167,0.34500907676971143,-0.12101961407720976,-2.837391628639653,-0.9861157024793389,-0.13622235712858144,-0.1061488760592398,low_pc2
global,inquisitive,55,55,0.13415118916742294,0.08521100152769956,0.04894018763972338,2.7991818787014573,0.9841322314049586,0.042167484879171074,0.055367600326858106,high_pc2
global,perfectionist,55,55,0.35337712071955263,0.4676874884321566,-0.11431036771260394,-2.761326202135218,-0.9927272727272727,-0.12854721116206355,-0.09892908518105527,low_pc2
global,deterministic,55,55,-0.09351326556732562,-0.006977308514090798,-0.08653595705323482,-2.7569349289933958,-0.9656198347107438,-0.09627092200474618,-0.0756646216069365,low_pc2
global,meticulous,55,55,0.3907696143989971,0.5047161837892297,-0.11394656939023257,-2.7253605189654793,-0.9973553719008265,-0.1303551058335892,-0.10041974427084824,low_pc2
global,stoic,55,55,0.020208011801693643,0.14705104675560807,-0.1268430349539144,-2.7211328484550554,-0.9821487603305785,-0.14185143296494537,-0.1118666621048793,low_pc2
global,deontological,55,55,-0.10455531779301688,-0.034573049668268345,-0.06998226812474853,-2.705939167452443,-0.9484297520661157,-0.07926151126028466,-0.06027820907029618,low_pc2
global,essentialist,55,55,-0.09718723890338826,-0.00972350717778381,-0.08746373172560445,-2.6883060990350764,-0.9510743801652892,-0.09903902580273179,-0.07584169286576958,low_pc2
global,eloquent,55,55,0.2305847145000683,0.337477368255243,-0.1068926537551747,-2.5258080988440748,-0.9219834710743802,-0.12216528644825152,-0.09182682773104964,low_pc2
global,esoteric,55,55,-0.04656195520833723,0.06134166514381863,-0.10790362035215587,-2.5250345050736285,-0.9570247933884297,-0.12406363919630918,-0.0933613740417988,low_pc2
global,accessible,55,55,0.18155678848336035,0.07758244525082986,0.10397434323253049,2.522436481521362,0.955702479338843,0.08931739055463267,0.11892731463931837,high_pc2
global,meditative,55,55,0.17656573549252458,0.2968688143567176,-0.120303078864193,-2.5145611720124528,-0.9299173553719008,-0.1382857937217151,-0.10251974827435595,low_pc2
global,extroverted,55,55,-0.08236322083656678,-0.1896815725270521,0.10731835169048531,2.49425131088953,0.9682644628099174,0.0931850500475166,0.12252421739910418,high_pc2
global,gregarious,55,55,0.0541755052483191,-0.04981150146216168,0.10398700671048078,2.485757598953362,0.9418181818181818,0.08852374374939911,0.11952180771948237,high_pc2
global,anxious,55,55,-0.10624730095627437,-0.21702111518778824,0.11077381423151388,2.4721653482843937,0.9662809917355372,0.096322729467606,0.1284763759173066,high_pc2
global,philosophical,55,55,0.2892677953203181,0.38616703542299996,-0.09689924010268186,-2.396095211017571,-0.8902479338842976,-0.11322369166974376,-0.08265868101906024,low_pc2
global,conscientious,55,55,0.2646405865207964,0.3820036120654735,-0.11736302554467709,-2.3951584118532376,-0.9755371900826446,-0.13634329953348248,-0.10018846486409097,low_pc2
global,serene,55,55,0.12725948462292985,0.24522022230450705,-0.1179607376815772,-2.3638020746924298,-0.9345454545454546,-0.1364475745965636,-0.0977463923398196,low_pc2
global,adaptable,55,55,0.22202339422693737,0.14283136117479628,0.07919203305214109,2.3599977682006497,0.8995041322314049,0.0685737588701482,0.09025760731477536,high_pc2
global,reductionist,55,55,-0.1743528457189755,-0.24403846546850988,0.06968561974953438,2.3009685900262085,0.8876033057851239,0.05733249082191662,0.07969708890952155,high_pc2
global,epicurean,55,55,0.12233932138467449,0.20998579917902072,-0.08764647779434623,-2.286809794579144,-0.8942148760330578,-0.10309376553025393,-0.07385186607971048,low_pc2
global,pedantic,55,55,0.1794219382699441,0.2739714123427965,-0.09454947407285239,-2.219424790057983,-0.9008264462809917,-0.10996241704120327,-0.0792976434195547,low_pc2
global,fundamentalist,55,55,-0.35362027688156245,-0.2796957347435372,-0.07392454213802524,-2.1320614503631607,-0.8750413223140496,-0.08695976596892796,-0.06251421784747892,low_pc2
global,nonchalant,55,55,-0.407678284171285,-0.5060250489599961,0.09834676478871113,2.0950667723288836,0.8915702479338843,0.08168753372002698,0.11514924680640574,high_pc2
global,collectivistic,55,55,0.06459800008039773,0.12656428777244663,-0.0619662876920489,-2.0583698409432296,-0.8472727272727273,-0.07249300504665683,-0.05077802491672891,low_pc2
global,reactive,55,55,-0.34720375639247736,-0.448123966196345,0.10092020980386762,2.0579465503740506,0.9133884297520661,0.08354059189609041,0.11817472884951716,high_pc2
global,fatalistic,55,55,-0.13213350960761683,-0.02183470574361025,-0.11029880386400658,-2.0508610404387486,-0.7996694214876033,-0.1285922647681663,-0.09119739202787729,low_pc2
global,accommodating,55,55,0.09608494481943097,0.00538802003018607,0.0906969247892449,1.9894561141714786,0.8386776859504133,0.07425482389521326,0.10836729025650897,high_pc2
global,humble,55,55,0.020359612739797552,-0.05164286194193441,0.07200247468173196,1.9720053117801464,0.8505785123966942,0.059684759967571166,0.08586198674321512,high_pc2
global,earnest,55,55,0.41190866935511355,0.5078884699402061,-0.09597980058509253,-1.9693619039735701,-0.8829752066115703,-0.11329167089173697,-0.07930044575745979,low_pc2
global,impatient,55,55,-0.4509259993858828,-0.5335830494982484,0.08265705011236563,1.9691923946669185,0.8413223140495868,0.06767991458718416,0.09818577015173048,high_pc2
global,irreverent,55,55,-0.29119356794725004,-0.3981238895627343,0.10693032161548427,1.9686748143951802,0.8618181818181818,0.08805857038254117,0.12801306557378878,high_pc2
global,neurotic,55,55,-0.17984295204217912,-0.280136161319793,0.1002932092776139,1.9581050098867394,0.8770247933884298,0.08140208833551021,0.11609423139010325,high_pc2
global,absolutist,55,55,-0.08752310902914359,-0.01189235992099401,-0.07563074910814958,-1.9463507880703979,-0.8274380165289256,-0.09182208210242952,-0.06228661512999894,low_pc2
global,historical,55,55,0.09344143938778005,0.15716493612432925,-0.0637234967365492,-1.918981839456747,-0.824793388429752,-0.07413835703780322,-0.050811799583807535,low_pc2
global,formalist,55,55,0.07902777676870272,0.16889208655205049,-0.08986430978334776,-1.9137921055333025,-0.8611570247933884,-0.10683828862670758,-0.07308288182719645,low_pc2
