model,dimensions,metric,bigfive_in_sample_r2,bigfive_fivefold_r2,bigfive_unit_direction_PC1,bigfive_unit_direction_PC2,bigfive_unit_direction_PC3,direct_in_sample_r2,direct_fivefold_r2,direct_unit_direction_PC1,direct_unit_direction_PC2,direct_unit_direction_PC3,fitted_gradient_angle_degrees,bigfive_unit_direction_PC4,bigfive_unit_direction_PC5,direct_unit_direction_PC4,direct_unit_direction_PC5
qwen,3,raw_PC_units,0.9161996046611387,0.9102309248777429,0.5688567296571179,-0.3629939450479065,-0.7379955399474756,0.8872513068940872,0.8815090102868939,0.19852451644690192,-0.28621070287387174,-0.9373747649312778,24.686973943517604,,,,
qwen,3,standardized_PC_units,0.9161996046611387,0.9102309248777428,0.7735368720420144,-0.3530472309716445,-0.526306336931934,0.8872513068940872,0.881509010286894,0.34931248546581456,-0.3601978707642309,-0.8650076770726428,31.500898538842392,,,,
qwen,5,raw_PC_units,0.9166679553936276,0.9081349300760926,0.56824870542736,-0.36260595787585137,-0.7372067311906358,0.8945651298634949,0.8866698937216981,0.19656354149672794,-0.2833835859572693,-0.928115614142982,25.1642110568078,0.03311440111989679,0.032249031283964405,0.1122667922351055,0.08398863916922258
qwen,5,standardized_PC_units,0.9166679553936276,0.9081349300760926,0.7733392362209682,-0.3529570287047802,-0.5261718676017947,0.8945651298634949,0.8866698937216981,0.34788159296804305,-0.35872238834538017,-0.8614643368052958,31.684876587106586,0.017045665282436798,0.014844953640231289,0.07515281567833194,0.050278186940596555
llama,3,raw_PC_units,0.8399025919266231,0.8324191337322374,0.0451055115902561,-0.8985769318201742,-0.4364916842562103,0.8365210448133105,0.8231010234742241,-0.15320450436410138,-0.9486905672762826,-0.27661270289622525,14.916890432137244,,,,
llama,3,standardized_PC_units,0.8399025919266231,0.8324191337322375,0.05253660893658293,-0.9487133612129046,-0.31174166063835196,0.8365210448133105,0.8231010234742242,-0.17217796659711077,-0.9664467957582454,-0.19061830653718503,14.701974127244135,,,,
llama,5,raw_PC_units,0.8741140972569329,0.8627571411513686,0.04268657051520941,-0.8503875959089771,-0.41308328854716486,0.925100682088397,0.9178041895992486,-0.13517144235464487,-0.83702416491763,-0.24405377752627502,19.515624724825734,-0.22212267860204385,-0.23461139314942375,-0.4430290521817987,-0.15900390282556476
llama,5,standardized_PC_units,0.8741140972569329,0.8627571411513684,0.051498245783243524,-0.9299624555624584,-0.3055802227321016,0.925100682088397,0.9178041895992484,-0.16372745440395142,-0.9190134882741056,-0.18126274057559413,16.829056777048002,-0.14793864279989724,-0.13134933333296725,-0.2962486125922748,-0.08937621305940094
gemma,3,raw_PC_units,0.8084110780365281,0.790304890215388,0.5635419785444619,-0.6376836757570945,-0.5251475679188796,0.8358821951846132,0.8246604494414584,0.33667928524319,-0.7234194100347734,-0.6027531966510631,14.629324054144247,,,,
gemma,3,standardized_PC_units,0.8084110780365281,0.7903048902153879,0.7238831333654765,-0.6047092363510576,-0.3321444696223325,0.8358821951846132,0.8246604494414583,0.48262115070002265,-0.7655599912544431,-0.42543474786091817,17.5206888456723,,,,
gemma,5,raw_PC_units,0.9047835928187284,0.8982316769933172,0.4867575344805517,-0.5507971821224846,-0.4535944883092402,0.9036617386154406,0.8986121166817254,0.30653002115156563,-0.6586379880759172,-0.5487773029610866,16.974030932146427,0.4393164851865364,-0.24686561690760314,0.26809551912786433,-0.3149660476534658
gemma,5,standardized_PC_units,0.9047835928187283,0.8982316769933172,0.6842459372123789,-0.5715975674751713,-0.3139574517367534,0.9036617386154406,0.8986121166817252,0.46416879538793493,-0.7362898588724374,-0.40916883593755643,17.97145469063435,0.2943197969958899,-0.1410329530999144,0.19347947988549666,-0.19383273116391486
