model,readout_vector_angle_degrees,local_gradient_angle_min,local_gradient_angle_median,local_gradient_angle_max
qwen,28.26243710838564,25.28384185003388,27.11133634521089,29.0993477148351
llama,29.109166147359705,27.281823089259657,31.67432870359102,33.07208930447651
gemma,28.916348011961844,31.43419482682157,32.1452299047757,32.44069315423294
