model,pearson_r,spearman_rho,top10_overlap,bottom10_overlap,median_absolute_rank_change,maximum_absolute_rank_change,corrected_vs_old_score_max_change
qwen,0.8610485972112841,0.7760693574911284,2,6,31.0,129.0,0.03751299434860306
llama,0.9506767933263732,0.9270742332881335,5,8,17.0,117.0,0.09174071070583589
gemma,0.9430266345977532,0.9310562303453449,6,5,18.0,93.0,0.05415335142665678
