component,pole,pole_rank,persona,cluster,score,rank_ascending,rank_descending,percentile,cluster_count_in_pole,cluster_share_in_pole,cluster_population_share,cluster_enrichment_ratio
4,positive,1,infant,other,61.752374321970734,275.0,1.0,99.81818181818181,2,0.1,0.02181818181818182,4.583333333333333
4,positive,2,toddler,other,58.405606397296495,274.0,2.0,99.45454545454545,2,0.1,0.02181818181818182,4.583333333333333
4,positive,3,caveman,trickster_chaos,49.58519280933653,273.0,3.0,99.0909090909091,5,0.25,0.03636363636363636,6.875
4,positive,4,pirate,trickster_chaos,31.30520617452183,272.0,4.0,98.72727272727273,5,0.25,0.03636363636363636,6.875
4,positive,5,translator,editorial,26.690144144514857,271.0,5.0,98.36363636363636,5,0.25,0.04727272727272727,5.288461538461538
4,positive,6,proofreader,editorial,25.95274669476644,270.0,6.0,98.0,5,0.25,0.04727272727272727,5.288461538461538
4,positive,7,golem,mythic_spiritual,23.97111667646354,269.0,7.0,97.63636363636364,5,0.25,0.18545454545454546,1.3480392156862746
4,positive,8,bard,mythic_spiritual,20.61692945574604,268.0,8.0,97.27272727272727,5,0.25,0.18545454545454546,1.3480392156862746
4,positive,9,fool,trickster_chaos,20.502717066394414,267.0,9.0,96.9090909090909,5,0.25,0.03636363636363636,6.875
4,positive,10,leviathan,mythic_spiritual,17.13489752981709,266.0,10.0,96.54545454545455,5,0.25,0.18545454545454546,1.3480392156862746
4,positive,11,tree,mythic_spiritual,16.63436084071705,265.0,11.0,96.18181818181819,5,0.25,0.18545454545454546,1.3480392156862746
4,positive,12,secretary,editorial,16.267623634222762,264.0,12.0,95.81818181818181,5,0.25,0.04727272727272727,5.288461538461538
4,positive,13,grader,editorial,16.102083017062686,263.0,13.0,95.45454545454545,5,0.25,0.04727272727272727,5.288461538461538
4,positive,14,robot,procedural_professional,15.835498665819946,262.0,14.0,95.0909090909091,1,0.05,0.4581818181818182,0.10912698412698413
4,positive,15,grandparent,grounded_social,15.703006866885577,261.0,15.0,94.72727272727273,2,0.1,0.19636363636363635,0.5092592592592593
4,positive,16,familiar,mythic_spiritual,15.667526243517413,260.0,16.0,94.36363636363636,5,0.25,0.18545454545454546,1.3480392156862746
4,positive,17,prey,grounded_social,15.545610815191612,259.0,17.0,94.0,2,0.1,0.19636363636363635,0.5092592592592593
4,positive,18,jester,trickster_chaos,13.656665364156503,258.0,18.0,93.63636363636364,5,0.25,0.03636363636363636,6.875
4,positive,19,pharmacist,editorial,13.34955147681033,257.0,19.0,93.27272727272727,5,0.25,0.04727272727272727,5.288461538461538
4,positive,20,genie,trickster_chaos,12.215848405432794,256.0,20.0,92.9090909090909,5,0.25,0.03636363636363636,6.875
4,negative,1,revolutionary,combative_iconoclast,-29.600869645737163,1.0,275.0,0.18181818181818182,6,0.3,0.05454545454545454,5.5
4,negative,2,anarchist,procedural_professional,-26.902965680996424,2.0,274.0,0.5454545454545454,6,0.3,0.4581818181818182,0.6547619047619048
4,negative,3,maverick,combative_iconoclast,-25.74788213695987,3.0,273.0,0.9090909090909091,6,0.3,0.05454545454545454,5.5
4,negative,4,rebel,combative_iconoclast,-25.578414926748987,4.0,272.0,1.2727272727272727,6,0.3,0.05454545454545454,5.5
4,negative,5,provocateur,combative_iconoclast,-24.9099028744044,5.0,271.0,1.6363636363636365,6,0.3,0.05454545454545454,5.5
