reference_model,reference_component,target_model,target_component,pearson_correlation,absolute_pearson_correlation,spearman_correlation,absolute_spearman_correlation,matching_objective_mean_absolute_correlation,is_unconstrained_best_pearson_match,is_hungarian_match,hungarian_sign_orientation,best_to_second_best_abs_pearson_gap
Qwen/Qwen3-32B,1,Llama-3.3-70B,1,0.675842836108829,0.675842836108829,0.5860673379302387,0.5860673379302387,0.6309550870195338,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,2,-0.6759988408381155,0.6759988408381155,-0.7855866824384756,0.7855866824384756,0.7307927616382955,True,True,-1,0.00015600472928645193
Qwen/Qwen3-32B,1,Llama-3.3-70B,3,0.1512185870608459,0.1512185870608459,0.2922962407316579,0.2922962407316579,0.2217574138962519,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,4,0.055087186216673516,0.055087186216673516,0.11107757998903668,0.11107757998903668,0.0830823831028551,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,5,0.04661481192946172,0.04661481192946172,0.023722339228527758,0.023722339228527758,0.03516857557899474,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,6,0.06445923224524329,0.06445923224524329,0.19960762816998934,0.19960762816998934,0.13203343020761632,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,7,0.030880742821246258,0.030880742821246258,0.040162718905975024,0.040162718905975024,0.03552173086361064,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,8,0.0010466827373895521,0.0010466827373895521,0.052076974120769774,0.052076974120769774,0.026561828429079663,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,9,0.02010868178763515,0.02010868178763515,-0.041788753930931025,0.041788753930931025,0.03094871785928309,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,10,-0.09222118534775951,0.09222118534775951,-0.1755096506159661,0.1755096506159661,0.1338654179818628,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,11,-0.030386504324788708,0.030386504324788708,-0.08247309656386138,0.08247309656386138,0.056429800444325044,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,12,-0.03626828631222514,0.03626828631222514,-0.00498081417154727,0.00498081417154727,0.020624550241886204,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,13,0.016802984042611598,0.016802984042611598,0.048611984651337294,0.048611984651337294,0.032707484346974444,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,14,0.04868300607266989,0.04868300607266989,0.09223392285277403,0.09223392285277403,0.07045846446272196,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,15,-0.05259287749538969,0.05259287749538969,-0.03504745968090939,0.03504745968090939,0.043820168588149536,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,16,0.03255339911850767,0.03255339911850767,0.043696373445659416,0.043696373445659416,0.03812488628208355,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,17,0.002504570530128007,0.002504570530128007,-0.10423992383370351,0.10423992383370351,0.05337224718191576,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,18,-0.03494080552113875,0.03494080552113875,-0.042107267534116165,0.042107267534116165,0.03852403652762745,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,19,0.020078142913970524,0.020078142913970524,0.018066414702403284,0.018066414702403284,0.019072278808186904,False,False,,
Qwen/Qwen3-32B,1,Llama-3.3-70B,20,0.05116456606670865,0.05116456606670865,0.08565938663050686,0.08565938663050686,0.06841197634860775,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,1,0.6916005766860939,0.6916005766860939,0.6824084706153895,0.6824084706153895,0.6870045236507416,True,True,1,0.08579170972642192
Qwen/Qwen3-32B,2,Llama-3.3-70B,2,0.605808866959672,0.605808866959672,0.4297198580537206,0.4297198580537206,0.5177643625066963,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,3,-0.15405440453608457,0.15405440453608457,-0.29715992037159905,0.29715992037159905,0.22560716245384183,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,4,-0.0011397532008299073,0.0011397532008299073,-0.009824875219987874,0.009824875219987874,0.00548231421040889,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,5,0.08608240098469225,0.08608240098469225,0.054966677245319,0.054966677245319,0.07052453911500563,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,6,-0.1965081184481987,0.1965081184481987,-0.15134416202648518,0.15134416202648518,0.17392614023734193,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,7,-0.032411259539860335,0.032411259539860335,-0.04017022013213698,0.04017022013213698,0.03629073983599866,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,8,0.08843273192046795,0.08843273192046795,0.10899800928998014,0.10899800928998014,0.09871537060522405,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,9,-0.09138026569022689,0.09138026569022689,-0.0413017512478001,0.0413017512478001,0.0663410084690135,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,10,0.07533371770838586,0.07533371770838586,0.22939672831135857,0.22939672831135857,0.1523652230098722,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,11,0.03698183836775379,0.03698183836775379,0.1527803583278035,0.1527803583278035,0.09488109834777865,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,12,0.055579080853782506,0.055579080853782506,0.08030928132483199,0.08030928132483199,0.06794418108930725,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,13,-0.06015838287593813,0.06015838287593813,-0.2566325264706731,0.2566325264706731,0.1583954546733056,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,14,-0.06059702561828102,0.06059702561828102,-0.01681659502033983,0.01681659502033983,0.03870681031931043,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,15,0.059298107179729366,0.059298107179729366,0.16568477539597826,0.16568477539597826,0.11249144128785381,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,16,-0.0368537015427741,0.0368537015427741,-0.1484671532846715,0.1484671532846715,0.0926604274137228,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,17,-0.009031648558804149,0.009031648558804149,0.0162949712933845,0.0162949712933845,0.012663309926094324,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,18,0.012022466066671232,0.012022466066671232,0.03895906061567756,0.03895906061567756,0.025490763341174397,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,19,0.02579119614186638,0.02579119614186638,-0.06466864775972993,0.06466864775972993,0.045229921950798155,False,False,,
Qwen/Qwen3-32B,2,Llama-3.3-70B,20,0.005119465388130117,0.005119465388130117,0.06736908917803872,0.06736908917803872,0.036244277283084415,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,1,-0.03133470552986144,0.03133470552986144,-0.07315368858371088,0.07315368858371088,0.05224419705678616,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,2,0.16034788138106643,0.16034788138106643,0.06096823519229102,0.06096823519229102,0.11065805828667873,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,3,0.4404392065834119,0.4404392065834119,0.5578713828221925,0.5578713828221925,0.4991552947028022,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,4,0.8022088595205795,0.8022088595205795,0.8949297481319066,0.8949297481319066,0.8485693038262431,True,True,1,0.3617696529371676
Qwen/Qwen3-32B,3,Llama-3.3-70B,5,0.042208720360903396,0.042208720360903396,0.024288970312454933,0.024288970312454933,0.03324884533667916,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,6,0.004300641950659799,0.004300641950659799,0.019773809180346817,0.019773809180346817,0.012037225565503308,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,7,0.17971051147186534,0.17971051147186534,0.20171662675629676,0.20171662675629676,0.19071356911408105,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,8,0.06547298532870577,0.06547298532870577,-0.007446986526643816,0.007446986526643816,0.03645998592767479,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,9,-0.03890123304036243,0.03890123304036243,-0.05259859784772511,0.05259859784772511,0.04574991544404377,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,10,-0.06906929363887108,0.06906929363887108,-0.18266178125270477,0.18266178125270477,0.12586553744578793,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,11,-0.00917743460196881,0.00917743460196881,0.04559533769943162,0.04559533769943162,0.027386386150700215,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,12,-0.05893486944058863,0.05893486944058863,-0.15262687170018174,0.15262687170018174,0.10578087057038518,False,False,,
Qwen/Qwen3-32B,3,Llama-3.3-70B,13,-0.09547802382287084,0.09547802382287084,-0.08916707538732287,0.08916707538732287,0.09232254960509685,False,False,,
