model,reference_component,bootstrap_replicates,median_matched_loading_cosine,loading_cosine_q05,loading_cosine_q95,same_nominal_component_frequency,modal_matched_component,modal_match_frequency,score_pearson_median,score_pearson_q05,score_pearson_q95,score_spearman_median,score_spearman_q05,score_spearman_q95,individual_axis_stable
Qwen/Qwen3-32B,1,500,0.9942528359196254,0.980896033707425,0.9975067185045743,1.0,1,1.0,0.9987146021555029,0.9919704220830067,0.9997968323320322,0.9987579700527972,0.993670407662791,0.9997113181962436,True
Qwen/Qwen3-32B,2,500,0.9842733197483127,0.9573871427745246,0.9932170017346017,1.0,2,1.0,0.9916888011796092,0.962913473308806,0.9985163539292831,0.9905793254666629,0.9593506246213325,0.9984031332044662,True
Qwen/Qwen3-32B,3,500,0.9786107147167444,0.9376475057632945,0.9900883913386549,1.0,3,1.0,0.9866333502192092,0.9388846352849947,0.9969103485124265,0.9854657972937885,0.9334640373907274,0.9964825019474337,True
Qwen/Qwen3-32B,4,500,0.8706625409468514,0.6846774926565619,0.9642327375727778,0.918,4,0.918,0.9001120154068878,0.7288340220043785,0.9782266474655578,0.8778428204610369,0.688762759297193,0.969798995989729,False
Qwen/Qwen3-32B,5,500,0.8301102361532025,0.5750141135288659,0.9488466461321811,0.804,5,0.804,0.8465739597284847,0.6198938707628149,0.9651583348793916,0.838663339199677,0.5599533481434467,0.9572916822942211,False
Qwen/Qwen3-32B,6,500,0.7917564342137611,0.5938160575694663,0.9284727375612045,0.698,6,0.698,0.8072228951667412,0.6057964421740536,0.9440269412310217,0.8111557658463403,0.6120527105392228,0.9451318484752315,False
Qwen/Qwen3-32B,7,500,0.7335247516874388,0.5369815933531088,0.9034978287860792,0.666,7,0.666,0.7506692361967523,0.5496382994568522,0.9223997491268197,0.7306214477366493,0.52181264245117,0.9199136781973976,False
Qwen/Qwen3-32B,8,500,0.7673403862964239,0.5643262168921572,0.9048589709605789,0.616,8,0.616,0.7811243418452312,0.5736455653236725,0.9206671089737701,0.7771172210842158,0.5604024119327198,0.9199725051210295,False
Qwen/Qwen3-32B,9,500,0.7197145462672219,0.5396843523327668,0.8679474711623285,0.568,9,0.568,0.7329591082485796,0.543144662149977,0.8953800607362824,0.6852338363001645,0.4746348056893916,0.8645527249646574,False
Qwen/Qwen3-32B,10,500,0.7705649081622924,0.5607683472965694,0.8934761382904748,0.732,10,0.732,0.7843398699444064,0.5722929959440123,0.9175519669720144,0.7624817518248175,0.537294682784686,0.9016595885865958,False
Qwen/Qwen3-32B,11,500,0.6706405986778659,0.4330709371775742,0.858560818019212,0.398,11,0.398,0.6917971451982685,0.4754604246927207,0.8808193210191374,0.653452295086697,0.43867767808199415,0.861599203715992,False
