control_type,model_a,model_b,reference_component,top_k,search_components,observed_statistic,null_mean,null_95th_percentile,null_99th_percentile,empirical_p_value,permutations,seed
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,4,,20,0.6898457253082484,0.1319965411097448,0.18924779843877082,0.21685955079580432,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,5,,20,0.6882928519226665,0.13107000130434154,0.1844810416927202,0.20339385966825918,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,6,,20,0.5051376797520113,0.1309729585425031,0.1815981923576992,0.20308726959339843,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,7,,20,0.7233468942516125,0.13041276927469564,0.1799292092370438,0.2002103149853981,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,8,,20,0.5621241947862522,0.13192882805908843,0.1786290788463982,0.20489366823910274,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,9,,20,0.6446009599063073,0.1318294413844165,0.1855577563657592,0.21430822534889107,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,10,,20,0.4731761046257445,0.1298964529572279,0.18199088704366248,0.2091818438143862,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,11,,20,0.6534142341302444,0.1308432855694889,0.17953859448798037,0.20781604074670382,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,12,,20,0.4870703704936076,0.13019244011317183,0.18424100210304833,0.21490389189370068,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Llama-3.3-70B,13,,20,0.43516040857017996,0.13205121884981508,0.1824358135200391,0.2044854733296353,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,4,,20,0.628242434213033,0.1304211540986617,0.1842393996697085,0.2189027595995037,0.000999000999000999,1000,51001
