model,threshold,smallest_k,cumulative_at_k,cumulative_before_k,descriptive_only
Qwen/Qwen3-32B,0.5,3,0.5644929232237433,0.4775892920798739,False
Qwen/Qwen3-32B,0.6,4,0.6096946848325111,0.5644929232237433,False
Qwen/Qwen3-32B,0.68,7,0.6994403755696066,0.6740791796743577,True
Qwen/Qwen3-32B,0.7,8,0.7208251661076757,0.6994403755696066,False
Qwen/Qwen3-32B,0.75,10,0.7563038164769792,0.7402893259414375,False
Qwen/Qwen3-32B,0.8,15,0.8081034150772511,0.7993188205052236,False
Qwen/Qwen3-32B,0.9,35,0.9021578237054302,0.8995421549866809,False
Qwen/Qwen3-32B,0.95,63,0.9509188782490222,0.9497848246996957,False
Llama-3.3-70B,0.5,7,0.5249102942602297,0.499421453159323,False
Llama-3.3-70B,0.6,11,0.6053814281216178,0.5873495076751941,False
Llama-3.3-70B,0.68,17,0.6828375011580511,0.6723499073176997,True
Llama-3.3-70B,0.7,19,0.7021174055090992,0.6925803735643037,False
Llama-3.3-70B,0.75,25,0.7505105480317623,0.7435556287339958,False
Llama-3.3-70B,0.8,35,0.8037714205200288,0.7991517557474948,False
Llama-3.3-70B,0.9,67,0.9003563681238183,0.8982669741287664,False
Llama-3.3-70B,0.95,103,0.9507589209248674,0.9497844885502758,False
Gemma-2-27B,0.5,5,0.5112175913492188,0.47248103943355907,False
Gemma-2-27B,0.6,9,0.6146822178469635,0.5954881219593146,False
Gemma-2-27B,0.68,14,0.6884844531686141,0.6757458767905277,True
Gemma-2-27B,0.7,15,0.7001110904747162,0.6884844531686141,False
Gemma-2-27B,0.75,21,0.7556208769946937,0.747895208652717,False
Gemma-2-27B,0.8,28,0.8007562310455378,0.7952826128670832,False
Gemma-2-27B,0.9,59,0.9016137172756569,0.8995634946451821,False
Gemma-2-27B,0.95,94,0.9508655146710712,0.949900963313158,False
