K,model,model_family_id,human_profile_id,trait,cluster_size,human_centroid,model_centroid,anchor,residual_model_minus_human,absolute_residual
4,Qwen,MFamily_A,H04_A,traditional,4030.0,0.114448547563,0.708668791922,True,0.594220244359,0.594220244359
4,Qwen,MFamily_A,H04_A,vindictive,4030.0,0.128768004679,0.148437570462,False,0.019669565783000026,0.019669565783000026
4,Qwen,MFamily_B,H04_D,adventurous,2183.0,0.304218847774,0.807319109821,True,0.503100262047,0.503100262047
4,Qwen,MFamily_B,H04_D,agreeable,2183.0,0.207009011899,-0.467394847925,False,-0.6744038598240001,0.6744038598240001
4,Qwen,MFamily_B,H04_D,altruistic,2183.0,0.269587673129,0.633181978616,True,0.363594305487,0.363594305487
4,Qwen,MFamily_B,H04_D,anxious,2183.0,-0.1428292632,0.108152057042,False,0.250981320242,0.250981320242
4,Qwen,MFamily_B,H04_D,artistic,2183.0,0.0810184672373,1.26442178759,False,1.1834033203527,1.1834033203527
4,Qwen,MFamily_B,H04_D,assertive,2183.0,0.417095105049,0.819687463123,False,0.402592358074,0.402592358074
4,Qwen,MFamily_B,H04_D,bitter,2183.0,-0.108247053597,0.701126757726,False,0.809373811323,0.809373811323
4,Qwen,MFamily_B,H04_D,callous,2183.0,-0.0917937077575,0.293789298936,False,0.3855830066935,0.3855830066935
4,Qwen,MFamily_B,H04_D,calm,2183.0,0.414972709886,-0.720716648197,False,-1.1356893580829999,1.1356893580829999
4,Qwen,MFamily_B,H04_D,conscientious,2183.0,0.421585948323,-0.306564326193,False,-0.728150274516,0.728150274516
4,Qwen,MFamily_B,H04_D,creative,2183.0,0.385012799909,1.04646203818,False,0.661449238271,0.661449238271
4,Qwen,MFamily_B,H04_D,curious,2183.0,-0.0286215215651,0.488906150097,False,0.5175276716621,0.5175276716621
4,Qwen,MFamily_B,H04_D,cynical,2183.0,-0.144322296528,0.28259765263,False,0.42691994915799997,0.42691994915799997
4,Qwen,MFamily_B,H04_D,dominant,2183.0,0.417095105049,0.104881493176,False,-0.312213611873,0.312213611873
4,Qwen,MFamily_B,H04_D,dramatic,2183.0,0.331203529174,1.39487279558,False,1.063669266406,1.063669266406
4,Qwen,MFamily_B,H04_D,emotional,2183.0,0.0855650346202,0.770436294709,False,0.6848712600888,0.6848712600888
