K,model_family_id,human_profile_id,representation,pearson_r,spearman_rho
4,MFamily_A,H04_A,qwen,-0.029923692401918656,-0.021146941610338987
4,MFamily_A,H04_A,llama,-0.2884614750642601,-0.2925656314377428
4,MFamily_A,H04_A,gemma,-0.2050235044473815,-0.11587996975883574
4,MFamily_A,H04_A,consensus,-0.17193123075230038,-0.15560459839134166
4,MFamily_B,H04_D,qwen,-0.07658183059760833,-0.11060970393694441
4,MFamily_B,H04_D,llama,0.18837981985096072,0.15092723747441314
4,MFamily_B,H04_D,gemma,-0.054130509925667876,-0.06739352419743545
4,MFamily_B,H04_D,consensus,0.02380872299361473,-0.02885470537485506
4,MFamily_C,H04_B,qwen,0.10814355789612291,0.10626173463388407
4,MFamily_C,H04_B,llama,-0.25471945442071253,-0.27023288001747825
4,MFamily_C,H04_B,gemma,-0.18773323299743067,-0.1625877006053477
4,MFamily_C,H04_B,consensus,-0.12104764890709718,-0.09960802403374626
4,MFamily_D,H04_C,qwen,0.44436204386657796,0.40725979138665297
4,MFamily_D,H04_C,llama,0.5847875708898228,0.5636549296512784
4,MFamily_D,H04_C,gemma,0.47816780822214994,0.4854573605189656
4,MFamily_D,H04_C,consensus,0.5081338546646086,0.5234032744365832
5,MFamily_A,H05_A,qwen,0.3677749030083353,0.4224776839473641
5,MFamily_A,H05_A,llama,0.612628528516725,0.6601666725146634
5,MFamily_A,H05_A,gemma,0.5407854722079939,0.5642478345562411
5,MFamily_A,H05_A,consensus,0.5165390706201678,0.561678579968069
5,MFamily_B,H05_E,qwen,0.3714144517260985,0.40442702350738635
5,MFamily_B,H05_E,llama,0.3073929911607438,0.3743865083226057
5,MFamily_B,H05_E,gemma,0.25352453723944424,0.32787641244441473
5,MFamily_B,H05_E,consensus,0.33242069103124655,0.40225303885585617
5,MFamily_C,H05_D,qwen,-0.10498006993420007,-0.0884745874850008
5,MFamily_C,H05_D,llama,-0.40327316623710646,-0.42899963790195467
5,MFamily_C,H05_D,gemma,-0.34343963906931935,-0.3154254094401964
5,MFamily_C,H05_D,consensus,-0.3006101601245375,-0.27247274299178204
5,MFamily_D,H05_C,qwen,0.3959161260900841,0.3762969796830414
5,MFamily_D,H05_C,llama,0.5474151849694762,0.5433644062369967
5,MFamily_D,H05_C,gemma,0.43446035560914753,0.4593695447006035
5,MFamily_D,H05_C,consensus,0.4636686980977638,0.4974472152637684
6,MFamily_A,H06_A,qwen,0.4816091520993403,0.45607562856192146
6,MFamily_A,H06_A,llama,0.7020222455930251,0.6800619259923033
6,MFamily_A,H06_A,gemma,0.6457717649169039,0.6054876646125409
6,MFamily_A,H06_A,consensus,0.623661914326159,0.5923778783805862
6,MFamily_B,H06_E,qwen,0.3537603132464318,0.37702164123355136
6,MFamily_B,H06_E,llama,0.26552022547665455,0.31878520390165216
6,MFamily_B,H06_E,gemma,0.19657556360278677,0.26990348840361
6,MFamily_B,H06_E,consensus,0.290121850447065,0.34362133158731506
6,MFamily_C,H06_D,qwen,-0.004284500182199059,-0.024045587812379216
6,MFamily_C,H06_D,llama,-0.3516068016116486,-0.384992918289162
6,MFamily_C,H06_D,gemma,-0.29433370145984494,-0.2950031293803675
6,MFamily_C,H06_D,consensus,-0.2313523926557951,-0.22741197021461113
6,MFamily_D,H06_F,qwen,0.5627667139462322,0.5488981853499826
6,MFamily_D,H06_F,llama,0.6911956101699657,0.6847392869092318
6,MFamily_D,H06_F,gemma,0.5922108737379325,0.6046971247392572
6,MFamily_D,H06_F,consensus,0.6239064596661625,0.6526565437184683
7,MFamily_A,H07_B,qwen,0.39029066752633573,0.4157580950244527
7,MFamily_A,H07_B,llama,0.63097779296037,0.6599031592235688
7,MFamily_A,H07_B,gemma,0.5685904418937341,0.5751836361366657
7,MFamily_A,H07_B,consensus,0.5403646362586494,0.56115155338588
7,MFamily_B,H07_G,qwen,0.40615312394707337,0.41786620135320923
7,MFamily_B,H07_G,llama,0.22314510999419768,0.2696399751125155
7,MFamily_B,H07_G,gemma,0.18749609982065762,0.24421094252188977
7,MFamily_B,H07_G,consensus,0.2889289622772117,0.3369017426644036
7,MFamily_C,H07_E,qwen,-0.060942855495769305,-0.07556243622136702
7,MFamily_C,H07_E,llama,-0.3974721323885074,-0.430053691066333
