null,observed_statistic,selected_observed_method,null_mean,null_sd,exceedances,draws,p_value,seed,status
cluster_pairing,-0.16021025075924172,global_intercept_scale,-0.07983289402444259,0.06200774885900845,1861,2000,0.9305347326336831,2026091501,complete
trait_label,-0.16021025075924172,global_intercept_scale,-0.1273359106058445,0.02605298574142364,1799,2000,0.8995502248875562,2026091501,complete
joint_structure,-0.16021025075924172,global_intercept_scale,-0.08135189846194432,0.023174628713502534,2000,2000,1.0,2026091501,complete
