model,model_key,feature_family,feature_count,protocol,n_oof_predictions,mean_pc_r2,aggregate_normalized_geometric_error,mean_normalized_rmse_per_pc,core_pc1_pc3_aggregate_nrmse,secondary_pc4_pc6_aggregate_nrmse,full_pc1_pc6_aggregate_nrmse,scope,selected_alpha_counts,random_real_12_median_error,random_real_12_empirical_percentile,random_real_12_empirical_one_sided_p,random_real_12_relative_improvement,persona_span_12_median_error,persona_span_12_empirical_percentile,persona_span_12_empirical_one_sided_p,persona_span_12_relative_improvement,isotropic_12_median_error,isotropic_12_empirical_percentile,isotropic_12_empirical_one_sided_p,isotropic_12_relative_improvement,null_q05,null_q95
Qwen/Qwen3-32B,qwen,human_supported_12,12,fixed_5fold_seed42,275,0.990600831159,0.167883129145,0.0953477180232,0.167883129145,,,core,"{""0.0001"": 2, ""0.001"": 1, ""0.01"": 2}",0.191665718967,76.2,0.239520958084,0.124083690866,0.215024358949,98,0.0219560878244,0.219236695015,0.821693598313,100,0.00199600798403,0.795686458444,,
Qwen/Qwen3-32B,qwen,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.996416788679,0.104211444293,0.0595199057732,0.104211444293,,,core,"{""0.01"": 4, ""0.1"": 1}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.745462898194,0.874380324771,0.487513680666,0.874380324771,,,core,"{""0.1"": 5}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,direct_semantic_45,45,fixed_5fold_seed42,275,0.997907619198,0.0793381773361,0.0444890911993,0.0793381773361,,,core,"{""0.0001"": 3, ""0.001"": 1, ""0.01"": 1}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,full_real_traits_240,240,fixed_5fold_seed42,275,0.999269304734,0.0469059410202,0.0261995686844,0.0469059410202,,,core,"{""0.001"": 2, ""0.01"": 3}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,random_real_12_median,12,fixed_5fold_seed42_distribution,,,0.191665718967,,,,,core,,,,,,,,,,,,,,0.144523301395,0.274958914785
Qwen/Qwen3-32B,qwen,persona_span_12_median,12,fixed_5fold_seed42_distribution,,,0.215024358949,,,,,core,,,,,,,,,,,,,,0.179043103445,0.265553825498
Qwen/Qwen3-32B,qwen,isotropic_12_median,12,fixed_5fold_seed42_distribution,,,0.821693598313,,,,,core,,,,,,,,,,,,,,0.748386839047,0.902382796353
Qwen/Qwen3-32B,qwen,human_supported_12,12,fixed_5fold_seed42,275,0.907586228554,0.745451643184,0.254998276815,0.167928444815,0.726290706087,0.745451643184,extended,"{""0.0001"": 4, ""0.001"": 1}",0.811172455364,74,0.261477045908,0.0810195313523,0.78354139916,73.6,0.265469061876,0.04861230819,1.55176825217,100,0.00199600798403,0.519611486998,,
Qwen/Qwen3-32B,qwen,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.966633607104,0.450575130739,0.162834775798,0.142962055823,0.427293574765,0.450575130739,extended,"{""0.001"": 2, ""0.01"": 2, ""0.1"": 1}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.538101306069,1.6768256888,0.656636367649,0.874380324771,1.43080517132,1.6768256888,extended,"{""0.1"": 5}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,direct_semantic_45,45,fixed_5fold_seed42,275,0.989898988689,0.248540005713,0.0894931862214,0.0779987739887,0.235983740321,0.248540005713,extended,"{""0.001"": 4, ""0.01"": 1}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,full_real_traits_240,240,fixed_5fold_seed42,275,0.997768981689,0.116211332544,0.0434507711669,0.0469170587148,0.106319628542,0.116211332544,extended,"{""0.001"": 2, ""0.01"": 3}",,,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,random_real_12_median,12,fixed_5fold_seed42_distribution,,,0.811172455364,,,,,extended,,,,,,,,,,,,,,0.655379191618,1.00618855171
Qwen/Qwen3-32B,qwen,persona_span_12_median,12,fixed_5fold_seed42_distribution,,,0.78354139916,,,,,extended,,,,,,,,,,,,,,0.68097720261,0.894499280493
Qwen/Qwen3-32B,qwen,isotropic_12_median,12,fixed_5fold_seed42_distribution,,,1.55176825217,,,,,extended,,,,,,,,,,,,,,1.4666922921,1.64161199449
Llama-3.3-70B,llama,human_supported_12,12,fixed_5fold_seed42,275,0.915778292852,0.508572902543,0.262343514022,0.508572902543,,,core,"{""0.0001"": 2, ""0.01"": 3}",0.455317430949,26,0.740518962076,-0.116963392953,0.443942524632,11.2,0.888223552894,-0.14558275976,1.1206621995,100,0.00199600798403,0.546185369,,
Llama-3.3-70B,llama,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.971861869815,0.294338254843,0.156646793976,0.294338254843,,,core,"{""0.0001"": 2, ""0.01"": 2, ""0.1"": 1}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.670542810731,1.00168111213,0.534940567729,1.00168111213,,,core,"{""0.0001"": 1, ""0.1"": 1, ""1.0"": 3}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,direct_semantic_45,45,fixed_5fold_seed42,275,0.984345366539,0.22238767707,0.118090900276,0.22238767707,,,core,"{""0.1"": 5}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,full_real_traits_240,240,fixed_5fold_seed42,275,0.993204641349,0.146722829339,0.0781206073158,0.146722829339,,,core,"{""0.01"": 1, ""0.1"": 4}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,random_real_12_median,12,fixed_5fold_seed42_distribution,,,0.455317430949,,,,,core,,,,,,,,,,,,,,0.357674266064,0.617561538218
Llama-3.3-70B,llama,persona_span_12_median,12,fixed_5fold_seed42_distribution,,,0.443942524632,,,,,core,,,,,,,,,,,,,,0.36688748509,0.53286063214
Llama-3.3-70B,llama,isotropic_12_median,12,fixed_5fold_seed42_distribution,,,1.1206621995,,,,,core,,,,,,,,,,,,,,1.02049546157,1.21954182074
Llama-3.3-70B,llama,human_supported_12,12,fixed_5fold_seed42,275,0.780102439456,1.16100287106,0.422167673418,0.508346613483,1.04379662155,1.16100287106,extended,"{""0.0001"": 1, ""0.001"": 1, ""0.01"": 2, ""0.1"": 1}",1.20143325017,64.8,0.353293413174,0.0336517897365,1.0688352206,6.8,0.932135728543,-0.0862318612602,1.84676464714,100,0.00199600798403,0.371331440174,,
Llama-3.3-70B,llama,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.879858981558,0.863326149687,0.31315851745,0.341905501025,0.792737452819,0.863326149687,extended,"{""0.0001"": 3, ""0.01"": 1, ""0.1"": 1}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.490838174536,1.76812409403,0.68539543321,1.00028226132,1.45797743795,1.76812409403,extended,"{""0.0001"": 1, ""0.1"": 2, ""1.0"": 2}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,direct_semantic_45,45,fixed_5fold_seed42,275,0.93381985024,0.642659070039,0.225686132058,0.22238767707,0.602954725822,0.642659070039,extended,"{""0.1"": 5}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,full_real_traits_240,240,fixed_5fold_seed42,275,0.981820995253,0.338325947144,0.123863272148,0.139121249796,0.308398645208,0.338325947144,extended,"{""0.001"": 3, ""0.01"": 2}",,,,,,,,,,,,,,
Llama-3.3-70B,llama,random_real_12_median,12,fixed_5fold_seed42_distribution,,,1.20143325017,,,,,extended,,,,,,,,,,,,,,1.03053646548,1.34603071277
Llama-3.3-70B,llama,persona_span_12_median,12,fixed_5fold_seed42_distribution,,,1.0688352206,,,,,extended,,,,,,,,,,,,,,0.982929373361,1.17570066464
Llama-3.3-70B,llama,isotropic_12_median,12,fixed_5fold_seed42_distribution,,,1.84676464714,,,,,extended,,,,,,,,,,,,,,1.76015357992,1.94024686864
Gemma-2-27B,gemma,human_supported_12,12,fixed_5fold_seed42,275,0.946356694416,0.400287169279,0.212185810263,0.400287169279,,,core,"{""0.0001"": 1, ""0.1"": 4}",0.462001140758,85.2,0.149700598802,0.133579695016,0.476016146142,97.4,0.0279441117764,0.159089092832,1.06758889693,100,0.00199600798403,0.625054952868,,
Gemma-2-27B,gemma,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.967766712833,0.310521401301,0.161217532101,0.310521401301,,,core,"{""0.01"": 3, ""0.1"": 2}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.702263452522,0.947287118842,0.545529460391,0.947287118842,,,core,"{""0.1"": 2, ""1.0"": 3}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,direct_semantic_45,45,fixed_5fold_seed42,275,0.978479443596,0.254961527712,0.127869047711,0.254961527712,,,core,"{""0.0001"": 3, ""0.001"": 1, ""0.01"": 1}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,full_real_traits_240,240,fixed_5fold_seed42,275,0.99363196394,0.138298569893,0.0683070019473,0.138298569893,,,core,"{""0.01"": 4, ""0.1"": 1}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,random_real_12_median,12,fixed_5fold_seed42_distribution,,,0.462001140758,,,,,core,,,,,,,,,,,,,,0.377456316537,0.572162050799
Gemma-2-27B,gemma,persona_span_12_median,12,fixed_5fold_seed42_distribution,,,0.476016146142,,,,,core,,,,,,,,,,,,,,0.412245391629,0.567967753788
Gemma-2-27B,gemma,isotropic_12_median,12,fixed_5fold_seed42_distribution,,,1.06758889693,,,,,core,,,,,,,,,,,,,,0.976940835773,1.15215115857
Gemma-2-27B,gemma,human_supported_12,12,fixed_5fold_seed42,275,0.819183245193,1.04778460765,0.375131210007,0.399973907655,0.968438669828,1.04778460765,extended,"{""0.0001"": 1, ""0.01"": 1, ""0.1"": 3}",1.17143413614,87.6,0.125748502994,0.105553974124,1.02154211321,33,0.670658682635,-0.025689097004,1.78495775476,100,0.00199600798403,0.412991929444,,
Gemma-2-27B,gemma,geometry_optimized_real_traits_12,12,fixed_5fold_seed42,275,0.919758897122,0.700590802983,0.259295043898,0.328546148685,0.618776939946,0.700590802983,extended,"{""0.0001"": 2, ""0.1"": 3}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,externally_anchored_big_five_5,5,fixed_5fold_seed42,275,0.496437959135,1.75932445861,0.700027586201,0.942671428761,1.48546057775,1.75932445861,extended,"{""0.1"": 4, ""1.0"": 1}",,,,,,,,,,,,,,
Gemma-2-27B,gemma,direct_semantic_45,45,fixed_5fold_seed42,275,0.956250524639,0.518696674247,0.188129257407,0.255052048792,0.451657715844,0.518696674247,extended,"{""0.0001"": 2, ""0.01"": 3}",,,,,,,,,,,,,,
