feature_family,feature,dimensions,consensus_vector,mean_pairwise_cosine,minimum_pairwise_cosine,maximum_pairwise_cosine,mean_angular_dispersion_degrees,recurrence_classification
human_supported_12,adventurous,3,"[-0.9774644300581555, 0.1542545301047189, 0.14411394073182998]",0.635753772232,0.374879593526,0.976436994376,27.3645539606,MODERATE
human_supported_12,altruistic,3,"[0.2266954681101301, -0.5877168559860837, -0.7766582658596778]",0.797945436786,0.62097758102,0.959061123321,19.3751285449,HIGH CROSS-MODEL RECURRENCE
human_supported_12,forgiving,3,"[-0.1140958372973935, -0.028122921468668013, -0.9930716193706645]",0.776771224575,0.637057915008,0.996068753783,21.2584126697,HIGH CROSS-MODEL RECURRENCE
human_supported_12,grandiose,3,"[-0.7607911260900513, -0.5271006636758715, 0.37863142079743906]",0.929370839896,0.872939820798,0.993807972114,11.5582157073,HIGH CROSS-MODEL RECURRENCE
human_supported_12,impulsive,3,"[-0.6799166523678696, 0.7228864144119304, 0.12307955838209862]",0.976762934941,0.962519231069,0.988873446209,6.9107026733,HIGH CROSS-MODEL RECURRENCE
human_supported_12,manipulative,3,"[-0.7899731175556193, 0.5219424745581706, 0.3217429514248126]",0.88830178489,0.830422074825,0.995585317196,14.9745242781,HIGH CROSS-MODEL RECURRENCE
human_supported_12,optimistic,3,"[0.3871620706581229, -0.08315669774660671, -0.9182540469083673]",0.606241494196,0.262835420489,0.890380593666,27.3552604795,MODERATE
human_supported_12,pessimistic,3,"[-0.4984066831459869, 0.24406512536266722, 0.8318791936195551]",0.691310445486,0.407344676962,0.895428469637,23.3666215673,MODERATE
human_supported_12,traditional,3,"[0.7659451029922398, -0.19181369136943507, -0.6136249726057752]",0.138949990437,-0.382911430152,0.976936792205,45.2359934078,WEAK / MODEL-SPECIFIC
human_supported_12,innovative,3,"[-0.8220393065826643, -0.11819083358463253, 0.5570298962261021]",0.508705747095,0.211690889468,0.989707185682,32.561354013,WEAK / MODEL-SPECIFIC
human_supported_12,introspective,3,"[-0.23256000704012292, -0.8493720007782699, 0.47379641980434667]",0.095723897029,-0.0134021038313,0.286184176476,50.7499157871,WEAK / MODEL-SPECIFIC
human_supported_12,judgmental,3,"[-0.6351093129108689, 0.46604854459226525, 0.6159828851009705]",0.737893268033,0.575757913701,0.996578632553,23.1322266019,MODERATE
externally_anchored_big_five_5,openness,3,"[-0.9199844775242472, 0.12996112277255972, 0.36978191908493]",0.136087388724,-0.35383859512,0.988089221162,45.4614409176,WEAK / MODEL-SPECIFIC
externally_anchored_big_five_5,conscientiousness,3,"[0.572976512170494, -0.8195356424844097, 0.007697220186642361]",0.978844998044,0.967260080363,0.992764188499,6.59964578504,HIGH CROSS-MODEL RECURRENCE
externally_anchored_big_five_5,extraversion,3,"[-0.7331738313042271, 0.6236478322745743, -0.2711448218017546]",0.836743731232,0.738448771822,0.997630810566,18.0915150903,HIGH CROSS-MODEL RECURRENCE
externally_anchored_big_five_5,agreeableness,3,"[0.5139003804614913, -0.2350247451879565, -0.8250271317422662]",0.821808951165,0.666822393878,0.968130907532,18.2002942077,HIGH CROSS-MODEL RECURRENCE
externally_anchored_big_five_5,neuroticism,3,"[-0.6307534834716376, 0.682824320161026, 0.3686475157722175]",0.966268333777,0.933791588699,0.989852880631,7.50010275028,HIGH CROSS-MODEL RECURRENCE
human_supported_12,adventurous,6,"[-0.693790661411696, 0.1716936815168179, 0.1830400893561985, -0.5632727480624167, 0.2734910475312309, -0.25218759240708283]",0.847326439357,0.82922287364,0.876831654374,18.5604347694,HIGH CROSS-MODEL RECURRENCE
human_supported_12,altruistic,6,"[0.14328819945417814, -0.456603466419088, -0.8633260838010504, 0.061148740953670074, 0.1401427642432987, 0.04765161581753866]",0.920086390682,0.877168097278,0.960446946983,12.9951368828,HIGH CROSS-MODEL RECURRENCE
human_supported_12,forgiving,6,"[-0.1485456370051031, 0.05173368416674951, -0.9228592373139995, -0.12658577825508377, 0.25208734206975747, -0.20980147870133345]",0.864059732848,0.812439428525,0.920700481963,17.273527597,HIGH CROSS-MODEL RECURRENCE
human_supported_12,grandiose,6,"[-0.6927544877673355, -0.47587323887483535, 0.4657699662249812, -0.24694537858372284, 0.11901618779918964, 0.03933631657463866]",0.966217089566,0.942161294702,0.988608907795,8.19593346217,HIGH CROSS-MODEL RECURRENCE
human_supported_12,impulsive,6,"[-0.6642425756051111, 0.712385107922495, 0.12119712807097166, 0.1271351203425962, 0.14288922639630774, -0.00445478017753132]",0.907720955207,0.841765335962,0.943912353568,13.6875420562,HIGH CROSS-MODEL RECURRENCE
human_supported_12,manipulative,6,"[-0.7251439820139272, 0.4950281855445889, 0.3881578874981501, -0.2721446962096731, 0.06192075889825084, 0.023448649871591596]",0.974114916968,0.959817711213,0.985409852646,7.35570432328,HIGH CROSS-MODEL RECURRENCE
human_supported_12,optimistic,6,"[0.21877506132271984, -0.0062629556653996665, -0.9313250411132121, 0.14822065727273287, 0.0838112307243178, -0.23608945357038125]",0.800898724549,0.765998787448,0.863123376761,21.2367778221,HIGH CROSS-MODEL RECURRENCE
human_supported_12,pessimistic,6,"[-0.34250266718005556, 0.1568022803426027, 0.886355688406352, -0.16795697204902657, -0.0022954415109553766, 0.21038951488133176]",0.857324941244,0.812528144915,0.921131726643,17.729914441,HIGH CROSS-MODEL RECURRENCE
human_supported_12,traditional,6,"[0.2572112743188364, -0.21313646944560988, -0.41107763543863035, 0.589041201698706, -0.5708592582750931, 0.21582528429421843]",0.879934532134,0.808123113761,0.954520208033,15.8420207927,HIGH CROSS-MODEL RECURRENCE
human_supported_12,innovative,6,"[-0.5008421742167023, 0.007623724002844237, 0.43804464517335767, -0.5643280176527236, 0.4060676736916568, -0.27176978689316345]",0.882335812063,0.858417711043,0.928617167376,16.1143002877,HIGH CROSS-MODEL RECURRENCE
human_supported_12,introspective,6,"[-0.10968586729007905, -0.2607811143653733, 0.18520757000786126, -0.6458015808881086, 0.455388429208422, -0.5110988882637744]",0.741837768223,0.597219471311,0.834397133883,23.8421828367,MODERATE
