model,model_key,feature_budget,bank,subset_seed,traits,scope,n_oof_predictions,mean_pc_r2,aggregate_normalized_geometric_error,mean_normalized_rmse_per_pc,core_pc1_pc3_aggregate_nrmse,secondary_pc4_pc6_aggregate_nrmse,full_pc1_pc6_aggregate_nrmse,selected_alpha_counts,pc1_r2,pc1_rmse,pc1_normalized_rmse,pc1_mae,pc2_r2,pc2_rmse,pc2_normalized_rmse,pc2_mae,pc3_r2,pc3_rmse,pc3_normalized_rmse,pc3_mae,pc4_r2,pc4_rmse,pc4_normalized_rmse,pc4_mae,pc5_r2,pc5_rmse,pc5_normalized_rmse,pc5_mae,pc6_r2,pc6_rmse,pc6_normalized_rmse,pc6_mae
Qwen/Qwen3-32B,qwen,5,0,2026091201,"[""absolutist"", ""adventurous"", ""efficient"", ""fatalistic"", ""reductionist""]",core,275,0.866547196714,0.633021397375,0.338591125415,0.633021397375,,,"{""1.0"": 5}",0.97581526595,4.66930357871,0.155410192943,3.6696990805,0.861183594625,8.0012374502,0.373386530807,6.44465526698,0.762642729567,7.67166207519,0.486976652496,5.89650384544,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,0,2026091201,"[""absolutist"", ""adventurous"", ""efficient"", ""fatalistic"", ""reductionist""]",extended,275,0.642471039732,1.47016436642,0.543923330589,0.633311615097,1.32676285087,1.47016436642,"{""0.1"": 2, ""1.0"": 3}",0.975698528219,4.68055918565,0.155763853463,3.67289318241,0.861243700076,7.99950505387,0.373310450478,6.43931107275,0.762305973724,7.67710231582,0.487299221563,5.9033935027,0.725996050357,5.94463679463,0.527481817263,4.22481985143,0.338305509659,8.26115544452,0.818581182079,5.63952239204,0.191276476353,8.07186356735,0.901103458691,6.56395492025
Qwen/Qwen3-32B,qwen,5,1,2026091201,"[""absolutist"", ""agreeable"", ""anthropocentric"", ""idealistic"", ""inspirational""]",core,275,0.7727732098,0.827434492801,0.474993470655,0.827434492801,,,"{""0.1"": 1, ""1.0"": 4}",0.8150247409,12.9133307578,0.430505182818,10.29175,0.703032243754,11.702843861,0.546342791239,9.3066549306,0.800262644745,7.03749084014,0.448132437908,5.59532116478,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,1,2026091201,"[""absolutist"", ""agreeable"", ""anthropocentric"", ""idealistic"", ""inspirational""]",extended,275,0.524060214435,1.70403282793,0.666747929733,0.827616722654,1.48955645715,1.70403282793,"{""0.1"": 5}",0.814882662999,12.9182891148,0.430659575777,10.2899689025,0.703102533316,11.7014588008,0.546289306726,9.30539798558,0.800016978659,7.04181737572,0.448385729886,5.58960465738,0.195508912019,10.1860905475,0.916206624852,7.10120827065,0.250206202732,8.79392903237,0.870046426481,6.58226869576,0.380643996887,7.06389037088,0.788899914679,5.51287362889
Qwen/Qwen3-32B,qwen,5,2,2026091201,"[""absolutist"", ""altruistic"", ""esoteric"", ""irreverent"", ""structuralist""]",core,275,0.970909182801,0.295504703871,0.170356173392,0.295504703871,,,"{""0.0001"": 1, ""0.1"": 4}",0.974494648961,4.79509378229,0.159798351232,3.70562361516,0.971384342232,3.63277607329,0.168847185011,2.85500667434,0.96684855721,2.86707736552,0.182422983934,2.20297849197,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,2,2026091201,"[""absolutist"", ""altruistic"", ""esoteric"", ""irreverent"", ""structuralist""]",extended,275,0.619737136234,1.52800583924,0.514275799773,0.296026585961,1.49905640493,1.52800583924,"{""0.1"": 4, ""1.0"": 1}",0.974365491404,4.80721948335,0.160183716145,3.71207139366,0.971246724023,3.64150095583,0.16927650922,2.85606681445,0.966811493299,2.86867963993,0.182533230137,2.20415984052,0.0444224878304,11.1014542666,1.00010356752,7.87742437291,0.488364934281,7.26427347922,0.719992202057,5.41067591266,0.273211686566,7.65204900258,0.853565573562,6.11198353728
Qwen/Qwen3-32B,qwen,5,3,2026091201,"[""absolutist"", ""anxious"", ""cosmopolitan"", ""manipulative"", ""relativist""]",core,275,0.710504416351,0.933875551136,0.484501616915,0.933875551136,,,"{""0.1"": 1, ""1.0"": 4}",0.864268740016,11.0616877038,0.369305420329,7.95409888165,0.92716783592,5.79559953793,0.270076876951,4.44187888438,0.340076673117,12.7918964479,0.814122553466,10.1232331602,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,3,2026091201,"[""absolutist"", ""anxious"", ""cosmopolitan"", ""manipulative"", ""relativist""]",extended,275,0.556498662647,1.64572156948,0.628904232143,0.934112968658,1.35492894501,1.64572156948,"{""0.0001"": 2, ""0.1"": 3}",0.864469992515,11.0534839263,0.369084367817,7.94502982995,0.926908180967,5.80592133246,0.270577438608,4.4407092382,0.339540561902,12.7970913597,0.814328936834,10.1013510601,0.157811556369,10.4220116102,0.939702215381,7.22398191601,0.55475162266,6.7766211599,0.667941374935,4.75169255732,0.495510061471,6.37529124229,0.711791059286,5.03441382279
Qwen/Qwen3-32B,qwen,5,4,2026091201,"[""absolutist"", ""anxious"", ""creative"", ""evil"", ""holistic""]",core,275,0.886851574416,0.582389745952,0.326202051919,0.582389745952,,,"{""0.1"": 5}",0.946022731851,6.97568567791,0.23276716302,5.48603772485,0.90128041826,6.74743042703,0.314356015999,5.29280442319,0.813251573135,6.80482045927,0.431482976738,5.50642419607,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,4,2026091201,"[""absolutist"", ""anxious"", ""creative"", ""evil"", ""holistic""]",extended,275,0.647751322545,1.46223273969,0.544947836875,0.582897262328,1.34102772775,1.46223273969,"{""0.1"": 4, ""1.0"": 1}",0.94621714782,6.96311179154,0.232353003657,5.48121573511,0.901777031681,6.73043739866,0.313549490613,5.28516680692,0.812002423395,6.82754105934,0.432975769596,5.52722754837,0.523972013224,7.83543580903,0.698713172318,5.98587520445,0.123711449995,9.50682727181,0.942285772276,6.90922610143,0.578827869155,5.82510271624,0.649809812789,4.64791310789
