pair,source_model,target_model,dimensions,variant,protocol,repeat_seed,fit_roles_only,coordinate_rmse,geometric_rmse,mean_aligned_coordinate_correlation,distance_matrix_correlation,nearest_neighbor_jaccard_k10,pc1_heldout_correlation,pc2_heldout_correlation,pc3_heldout_correlation,pc4_heldout_correlation,pc5_heldout_correlation,pc6_heldout_correlation
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7100,True,401.195384288,694.890789349,0.599679007945,0.868871739889,0.206943156603,0.957263204608,0.934967237181,-0.0931934179542,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7101,True,402.021048004,696.320880856,0.668771643757,0.874020450304,0.238213217498,0.958881296523,0.944156464247,0.1032771705,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7102,True,400.076633107,692.953055462,0.672503994033,0.874230646598,0.24250287724,0.958634604972,0.943789317217,0.115088059911,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7103,True,400.635895133,693.921725706,0.655984880075,0.872572662642,0.232516468427,0.957428296976,0.934822266135,0.0757040771156,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7104,True,400.246510219,693.247291251,0.66520911627,0.873749067618,0.237451772357,0.958173429897,0.941390824389,0.0960630945248,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7105,True,401.077092624,694.685902177,0.660414810406,0.874843093012,0.240075285443,0.958438402153,0.939319617883,0.0834864111806,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7106,True,400.003737953,692.826797352,0.664732252605,0.872976257281,0.247563057701,0.95667728921,0.939116131567,0.0984033370382,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7107,True,402.578316457,697.28609813,0.603144573269,0.870726286721,0.196443920716,0.958452520913,0.940772853798,-0.0897916549032,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7108,True,400.774896679,694.162483447,0.665370852185,0.872786375046,0.244624795413,0.958533420475,0.941226035837,0.0963531002434,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,repeated_5fold,7109,True,399.897599188,692.642959618,0.660934155529,0.872662724246,0.24362074458,0.957545828423,0.937044732365,0.0882119057991,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,raw_pc_scores,qwen_canonical_role_family_holdout,,True,495.244214048,857.788140886,0.53579386918,0.89959802338,0.262578915596,0.962704316743,0.955527134729,-0.310849843932,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7100,True,0.685244537616,1.18687835476,0.777140145529,0.699577793705,0.193639398098,0.964565288771,0.928808290442,0.438046857376,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7101,True,0.661987489759,1.14659596624,0.786925701648,0.716889191493,0.193944607164,0.966441530613,0.93127112764,0.463064446692,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7102,True,0.660864777014,1.14465137072,0.784997931801,0.71622128194,0.188650489517,0.966844794446,0.930164808952,0.457984192004,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7103,True,0.716368139683,1.24078601485,0.768152567206,0.684663474858,0.182479780282,0.96018030935,0.930221889916,0.414055502352,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7104,True,0.672147284208,1.16419324642,0.781876376018,0.706794535219,0.190470771059,0.965923465998,0.92985773602,0.449847926035,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7105,True,0.682021321575,1.18129558081,0.778340864965,0.702129415982,0.191381741753,0.964953646247,0.930246266756,0.439822681893,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7106,True,0.683968039849,1.18466739577,0.777866236495,0.699143185224,0.18443859546,0.964676290013,0.926738402023,0.442184017449,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7107,True,0.673153278483,1.16593567961,0.785466089264,0.713029289136,0.191889489939,0.965516995155,0.927057929136,0.463823343501,,,
