model,model_key,feature_budget,bank,fold_seed_min,fold_seed_max,direction_generation_used_pc_targets,scope,n_oof_predictions,mean_pc_r2,aggregate_normalized_geometric_error,mean_normalized_rmse_per_pc,core_pc1_pc3_aggregate_nrmse,secondary_pc4_pc6_aggregate_nrmse,full_pc1_pc6_aggregate_nrmse,selected_alpha_counts,pc1_r2,pc1_rmse,pc1_normalized_rmse,pc1_mae,pc2_r2,pc2_rmse,pc2_normalized_rmse,pc2_mae,pc3_r2,pc3_rmse,pc3_normalized_rmse,pc3_mae,pc4_r2,pc4_rmse,pc4_normalized_rmse,pc4_mae,pc5_r2,pc5_rmse,pc5_normalized_rmse,pc5_mae,pc6_r2,pc6_rmse,pc6_normalized_rmse,pc6_mae
Qwen/Qwen3-32B,qwen,5,0,30000000,30000004,False,core,275,0.545960976019,1.16856619214,0.6709010931,1.16856619214,,,"{""1.0"": 2, ""10.0"": 3}",0.663323399399,17.4215952468,0.581677142652,13.7121363971,0.544557003412,14.4928492898,0.675011554548,10.596255255,0.430002525247,11.8884342682,0.756014582101,9.26136592539,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,0,30000000,30000004,False,extended,275,0.36568242507,1.96428786735,0.791042679184,1.1676863453,1.57953645885,1.96428786735,"{""10.0"": 5}",0.666399329391,17.3418294334,0.578962348355,13.6917219368,0.542765008377,14.5213332249,0.67633578944,10.6295701968,0.431111203207,11.8768667955,0.755555358736,9.25046164867,0.199446963999,10.1611290751,0.916533270532,7.19151576449,0.143421381306,9.39930299395,0.928920661363,6.72348690447,0.21095066414,7.97307508785,0.889948646679,6.17145417564
Qwen/Qwen3-32B,qwen,5,1,30000100,30000104,False,core,275,0.559699649644,1.15050897431,0.659374296199,1.15050897431,,,"{""1.0"": 3, ""10.0"": 2}",0.706206492542,16.2743087095,0.545866049103,12.51152033,0.481766651643,15.4596422637,0.719394093917,11.2741560322,0.491125804747,11.23293923,0.712862745577,8.66728661769,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,1,30000100,30000104,False,extended,275,0.35798425328,1.97510250093,0.792169741026,1.14908707825,1.60643355785,1.97510250093,"{""1.0"": 1, ""10.0"": 4}",0.708430863316,16.2125835931,0.543883659771,12.4735327848,0.484183039682,15.4235579954,0.717765315472,11.270708743,0.489965324767,11.2457402109,0.713725878713,8.67245080014,0.118836154674,10.6604429039,0.95885496321,7.66643704994,0.285169102089,8.58645094164,0.849269873411,6.52125977105,0.0613210351536,8.69625603412,0.969518755577,6.89851850236
Qwen/Qwen3-32B,qwen,5,2,30000200,30000204,False,core,275,0.506330103037,1.21903304627,0.696705043341,1.21903304627,,,"{""1.0"": 1, ""10.0"": 4}",0.663394226803,17.4197626406,0.580064891098,13.6648625182,0.525495200044,14.7930275782,0.686321305992,11.3009312585,0.330100882262,12.8882187289,0.823728932934,10.1867468811,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,2,30000200,30000204,False,extended,275,0.338571890495,1.99949591827,0.804990482583,1.22105079056,1.58335684355,1.99949591827,"{""1.0"": 1, ""10.0"": 4}",0.663720519138,17.4113175788,0.579763186219,13.7004170525,0.523189092139,14.8289312921,0.687931446217,11.3269742104,0.326883170391,12.9191344995,0.82558464517,10.2095225325,0.325338259559,9.32803044558,0.828580449765,7.02920481566,0.10914163045,9.5855352164,0.947613362766,6.96416209008,0.0831586712925,8.59450494469,0.960469805359,6.78148484403
Qwen/Qwen3-32B,qwen,5,3,30000300,30000304,False,core,275,0.533569113633,1.18338688359,0.681811511282,1.18338688359,,,"{""1.0"": 1, ""10.0"": 4}",0.551106138077,20.1165400581,0.668303800984,16.0982404504,0.597109834164,13.6310746219,0.635982012864,10.0689355331,0.452491368659,11.6515493814,0.741148719997,9.30871594709,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,3,30000300,30000304,False,extended,275,0.356273967943,1.97145359078,0.795915190825,1.18410041123,1.57624093232,1.97145359078,"{""10.0"": 5}",0.55021039337,20.1366008181,0.668958605542,16.1367504063,0.595847559989,13.6524113274,0.636973658788,10.0992750819,0.452928180783,11.6469005473,0.740845952918,9.30160539077,0.219377082796,10.0338490277,0.890369848685,7.39067476035,0.216143115861,8.99146427859,0.887356675191,6.8123171704,0.103137474863,8.50034815264,0.950986403828,6.60214741021
Qwen/Qwen3-32B,qwen,5,4,30000400,30000404,False,core,275,0.497145206837,1.23349175078,0.706504728349,1.23349175078,,,"{""1.0"": 1, ""10.0"": 4}",0.665796249164,17.3574975554,0.580202248004,13.6354869092,0.422284617622,16.3227649796,0.761698868096,12.4131289074,0.403354753725,12.1631562964,0.777613068947,9.34221940556,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,4,30000400,30000404,False,extended,275,0.346392011373,1.99285167697,0.804418311793,1.23366936619,1.56509351201,1.99285167697,"{""10.0"": 5}",0.66399092233,17.4043159284,0.581839327188,13.6762311449,0.421639494736,16.3318760848,0.762113468378,12.4202063894,0.405568628811,12.1405693954,0.776264235761,9.32045445507,0.31146212341,9.42346955226,0.839902956133,6.58656258604,0.205483142115,9.05239702096,0.898733895657,6.78701451189,0.0702077568356,8.65499326414,0.967655987639,6.95900804342
Qwen/Qwen3-32B,qwen,5,5,30000500,30000504,False,core,275,0.534084652027,1.18462662594,0.676895908914,1.18462662594,,,"{""1.0"": 3, ""10.0"": 2}",0.677788771005,17.0432254364,0.568822998279,13.5705047956,0.570837124263,14.0685013075,0.655911042782,11.1503231533,0.353628060812,12.6598757168,0.805953685682,9.72487148311,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,5,30000500,30000504,False,extended,275,0.377701840944,1.94518403759,0.783364085317,1.18235251604,1.54459815742,1.94518403759,"{""1.0"": 1, ""10.0"": 4}",0.682304782051,16.9233677441,0.564822680998,13.5318218027,0.570431876647,14.0751420046,0.656324074995,11.1831036105,0.355161003189,12.6448546594,0.805091000936,9.71303937032,0.20291628635,10.1390877447,0.913633512563,7.35784123937,0.179260076793,9.20057170734,0.909362073899,6.69887243231,0.276137020635,7.63663366811,0.850951168512,6.01078769514
Qwen/Qwen3-32B,qwen,5,6,30000600,30000604,False,core,275,0.453500326492,1.28463195199,0.74052584843,1.28463195199,,,"{""1.0"": 2, ""10.0"": 3}",0.530342441429,20.5765287321,0.689464973467,16.2615575688,0.379540878163,16.9158314364,0.790884053332,12.1874283961,0.450617659884,11.6714695823,0.741228518491,9.25732237224,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,6,30000600,30000604,False,extended,275,0.349727344346,1.99439531927,0.809742649405,1.2787740903,1.53047362457,1.99439531927,"{""10.0"": 5}",0.532499669169,20.5292183609,0.687882910731,16.2227055004,0.387092186425,16.8125791095,0.786280299524,12.1634111255,0.456404672484,11.6098351354,0.737457500963,9.21235253642,0.162775997999,10.3912489339,0.943343183443,7.00377320084,0.329857645722,8.31372334343,0.824262790297,6.39893029225,0.229733894278,7.87760442357,0.87922921147,6.19300627981
Qwen/Qwen3-32B,qwen,5,7,30000700,30000704,False,core,275,0.543729144599,1.17573994579,0.673657922063,1.17573994579,,,"{""1.0"": 1, ""10.0"": 4}",0.65807375837,17.5568932771,0.586949904329,13.6464895795,0.58357736375,13.8581075191,0.647578467299,10.2384357587,0.389536311678,12.3032008298,0.786445394559,9.46520682224,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,7,30000700,30000704,False,extended,275,0.323085890915,2.02969334897,0.814392304882,1.17615740267,1.65417920886,2.02969334897,"{""10.0"": 5}",0.65893854769,17.5346770442,0.586219521926,13.6624446029,0.583309102147,13.8625705325,0.647789650416,10.2447089076,0.388021293612,12.3184581019,0.787439824231,9.47467406931,0.0905235138313,10.830353979,0.971125101206,7.6573441502,0.116090895523,9.5480753679,0.94342164787,7.26999623171,0.101631992685,8.50747954482,0.950358083644,6.88668328531
Qwen/Qwen3-32B,qwen,5,8,30000800,30000804,False,core,275,0.593709027553,1.1077031434,0.629053860397,1.1077031434,,,"{""1.0"": 2, ""10.0"": 3}",0.771338639414,14.3574675881,0.482507813912,10.7719720253,0.587993484536,13.7844297336,0.640414201343,10.3835646021,0.421794958708,11.973720934,0.764239565935,9.36235271285,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,8,30000800,30000804,False,extended,275,0.383946135189,1.9380598065,0.772398733347,1.10732268219,1.59056980075,1.9380598065,"{""1.0"": 3, ""10.0"": 2}",0.772281523243,14.3278355414,0.481509005525,10.7459183947,0.588128779126,13.7821662841,0.640312439172,10.3742009911,0.421531429826,11.9764492584,0.764403414646,9.37798444538,0.0941729545235,10.808602749,0.973218439699,7.4758031805,0.321514684736,8.36531426603,0.826090496982,6.27402262606,0.106047439677,8.48654681165,0.948858604059,6.64297564468
