record_type,model,model_key,scope,trait_family,trait,human_support_tier,support_code,mean_squared_pc_correlation,max_absolute_pc_correlation,support_utility_spearman,n_traits,kruskal_h,kruskal_p,high_mean_utility,moderate_mean_utility,high_vs_moderate_mannwhitney_p
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.288834750034,0.841028506561,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.162352158172,0.841028506561,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.305394775478,0.845879130297,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.156050584247,0.845879130297,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.314776194974,0.82822871983,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.164564067498,0.82822871983,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.322050784692,0.835977412828,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.16436031413,0.835977412828,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.32668558125,0.829792956022,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.163558226913,0.829792956022,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.319889770765,0.881314269063,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.162935913309,0.881314269063,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.281208528785,0.864204892462,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.15531392542,0.864204892462,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.29190051793,0.912643479974,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.158017328287,0.912643479974,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.21885734743,0.54895873343,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,3,0.154471393767,0.54895873343,,,,,,,
trait,Qwen/Qwen3-32B,qwen,core,human_supported_12,innovative,MODERATE SUPPORT,2,0.24437469886,0.692816661717,,,,,,,
trait,Qwen/Qwen3-32B,qwen,extended,human_supported_12,innovative,MODERATE SUPPORT,2,0.159716884868,0.692816661717,,,,,,,
