model,model_key,feature_budget,bank,fold_seed_min,fold_seed_max,outer_training_role_only,direction_generation_used_pc_targets,scope,n_oof_predictions,mean_pc_r2,aggregate_normalized_geometric_error,mean_normalized_rmse_per_pc,core_pc1_pc3_aggregate_nrmse,secondary_pc4_pc6_aggregate_nrmse,full_pc1_pc6_aggregate_nrmse,selected_alpha_counts,pc1_r2,pc1_rmse,pc1_normalized_rmse,pc1_mae,pc2_r2,pc2_rmse,pc2_normalized_rmse,pc2_mae,pc3_r2,pc3_rmse,pc3_normalized_rmse,pc3_mae,pc4_r2,pc4_rmse,pc4_normalized_rmse,pc4_mae,pc5_r2,pc5_rmse,pc5_normalized_rmse,pc5_mae,pc6_r2,pc6_rmse,pc6_normalized_rmse,pc6_mae
Qwen/Qwen3-32B,qwen,5,0,50000000,50000004,True,False,core,275,0.915125031547,0.50601661228,0.266303258269,0.50601661228,,,"{""0.0001"": 2, ""0.1"": 2, ""1.0"": 1}",0.983330412015,3.87653657366,0.129794889621,3.0588902772,0.939482584422,5.28295545019,0.246953978785,4.02736737251,0.822562098203,6.63302129716,0.422160906401,5.0716193047,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,0,50000000,50000004,True,False,extended,275,0.63749997648,1.48460342197,0.532153589599,0.50805349559,1.39496557884,1.48460342197,"{""0.01"": 1, ""0.1"": 2, ""1.0"": 2}",0.983303753665,3.87963505405,0.129885416167,3.05412982165,0.939052119816,5.30171117227,0.24786277169,4.02559204058,0.8210467715,6.66128421602,0.424042662309,5.09317066154,0.617244340144,7.02599318857,0.635355844328,5.34516770737,0.272789515081,8.66048274569,0.856919977996,6.67635086731,0.191563358672,8.07043175519,0.898854865106,6.3494411703
Qwen/Qwen3-32B,qwen,5,1,50000100,50000104,True,False,core,275,0.863649987349,0.645667271085,0.339557989332,0.645667271085,,,"{""0.0001"": 1, ""0.1"": 2, ""1.0"": 2}",0.975698906522,4.68052275419,0.157452256286,3.40845818556,0.894049205766,6.99018822595,0.327548754231,4.96687548565,0.721201849759,8.3144425929,0.533672957478,5.87185791702,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,1,50000100,50000104,True,False,extended,275,0.562050005239,1.63703957235,0.604076329568,0.648910166208,1.50293518078,1.63703957235,"{""0.1"": 4, ""1.0"": 1}",0.975759833383,4.6746516495,0.157201442817,3.42138039628,0.893456222814,7.00972219407,0.32848966066,4.99317443325,0.717755302468,8.36567697143,0.537090916906,5.92862576169,0.348673371281,9.16529252679,0.825960468513,6.33140602307,0.217046132607,8.98628362459,0.891075973927,6.63103989821,0.219609168882,7.92920879367,0.884639514582,6.2293205552
Qwen/Qwen3-32B,qwen,5,2,50000200,50000204,True,False,core,275,0.848285634551,0.67283224909,0.3445251939,0.67283224909,,,"{""0.1"": 3, ""1.0"": 2}",0.970057280361,5.19549671837,0.172015355393,3.51813514533,0.926896054752,5.80640292486,0.269580018319,4.37633408888,0.647903568541,9.34370259875,0.591980207987,6.79560328025,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,2,50000200,50000204,True,False,extended,275,0.594753993573,1.56533402089,0.577276687906,0.673077970049,1.41323623049,1.56533402089,"{""0.1"": 3, ""1.0"": 2}",0.970515926137,5.15555231501,0.170664051912,3.49280022155,0.927179566499,5.79513279032,0.269126311949,4.37170711114,0.646796292065,9.3583831519,0.592856444147,6.79347667531,0.55205626837,7.6007884569,0.675622089673,5.70475734028,0.228881689292,8.91810420767,0.883706038292,6.65138356175,0.243094219076,7.80898675026,0.871685191463,6.28073650517
Qwen/Qwen3-32B,qwen,5,3,50000300,50000304,True,False,core,275,0.856810134109,0.655904673817,0.352355569952,0.655904673817,,,"{""0.1"": 3, ""1.0"": 2}",0.970024469966,5.19834247901,0.172449769368,3.5330329633,0.859540134253,8.04846178637,0.374490874886,5.63110935352,0.740865798108,8.01586812515,0.510126065603,5.81269113265,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,3,50000300,50000304,True,False,extended,275,0.651427028042,1.462306572,0.551778959378,0.657505131402,1.3061498814,1.462306572,"{""0.01"": 1, ""1.0"": 4}",0.97013485334,5.18876233461,0.17213183178,3.5335130852,0.858874408343,8.06751255124,0.375390268475,5.63964423104,0.73930633841,8.03995153985,0.511630507927,5.80912011331,0.481263187937,8.17938118373,0.74305051106,5.59450887111,0.566411944127,6.68729820296,0.664341994754,4.84230236213,0.292571436094,7.54944578292,0.844128642271,5.91984274822
Qwen/Qwen3-32B,qwen,5,4,50000400,50000404,True,False,core,275,0.864355322433,0.64213877768,0.319402583582,0.64213877768,,,"{""0.1"": 4, ""1.0"": 1}",0.978606269659,4.39161956859,0.147225129786,3.18439873278,0.947551089564,4.91818654378,0.229678106753,3.8363233273,0.666908608077,9.08803309206,0.581304514208,6.39806043685,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,4,50000400,50000404,True,False,extended,275,0.571272906063,1.61788596562,0.587074765629,0.641563576947,1.48524448307,1.61788596562,"{""0.1"": 3, ""1.0"": 2}",0.978612985356,4.3909302288,0.147201836965,3.18372855814,0.947341361963,4.92800991637,0.230117499767,3.84921330129,0.667890855994,9.07462342062,0.580500972231,6.38842551955,0.443657953018,8.47067181273,0.761504565776,6.06829389241,0.174682158197,9.22619547494,0.916299527318,6.9323617959,0.215452121848,7.95029970917,0.88682419172,6.34896096366
