model,model_key,role,trait,raw_cosine,within_model_z_score,within_model_percentile
Qwen/Qwen3-32B,qwen,designer,adventurous,-0.0728893501914,-0.242078816209,43.795620438
Qwen/Qwen3-32B,qwen,destroyer,adventurous,0.00231207998375,0.961915041913,82.1167883212
Qwen/Qwen3-32B,qwen,detective,adventurous,-0.0934010243172,-0.570475890703,34.6715328467
Qwen/Qwen3-32B,qwen,devils_advocate,adventurous,-0.0374053748528,0.326028575763,59.1240875912
Qwen/Qwen3-32B,qwen,dilettante,adventurous,-0.0134194518794,0.710049250292,69.3430656934
Qwen/Qwen3-32B,qwen,dispatcher,adventurous,-0.128122302317,-1.12637230598,13.8686131387
Qwen/Qwen3-32B,qwen,divorcee,adventurous,-0.0354237227349,0.357755325818,59.4890510949
Qwen/Qwen3-32B,qwen,doctor,adventurous,-0.15909185808,-1.62220270229,4.3795620438
Qwen/Qwen3-32B,qwen,dreamer,adventurous,0.0170324666325,1.19759214371,87.5912408759
Qwen/Qwen3-32B,qwen,echo,adventurous,-0.00347512279818,0.86926046621,76.2773722628
Qwen/Qwen3-32B,qwen,economist,adventurous,-0.127854941478,-1.12209179153,14.9635036496
Qwen/Qwen3-32B,qwen,ecosystem,adventurous,-0.0895949661783,-0.509539940254,36.8613138686
Qwen/Qwen3-32B,qwen,editor,adventurous,-0.159277904271,-1.62518134872,4.01459854015
Qwen/Qwen3-32B,qwen,egregore,adventurous,-0.0100151896797,0.764552346449,72.9927007299
Qwen/Qwen3-32B,qwen,elder,adventurous,-0.0405249984164,0.276082615939,58.0291970803
Qwen/Qwen3-32B,qwen,eldritch,adventurous,0.0272988304342,1.36195921669,90.5109489051
Qwen/Qwen3-32B,qwen,emissary,adventurous,-0.111049641486,-0.853034701435,25.9124087591
Qwen/Qwen3-32B,qwen,empath,adventurous,-0.044498100132,0.212472255709,55.4744525547
Qwen/Qwen3-32B,qwen,engineer,adventurous,-0.112011043928,-0.868426996937,25.1824817518
Qwen/Qwen3-32B,qwen,entrepreneur,adventurous,-0.0241306210627,0.538560730993,65.6934306569
