model,model_key,scope,trait,pc,full_data_descriptive_alpha,standardized_ridge_coefficient,leave_one_trait_out_delta_aggregate_nrmse,leave_one_trait_out_delta_mean_pc_r2,conditional_permutation_delta_aggregate_nrmse,conditional_permutation_delta_mean_pc_r2
Qwen/Qwen3-32B,qwen,core,adventurous,PC1,0.01,-0.622987208862,0.012216511524,0.00141502114325,1.11949201762,0.542737916389
Qwen/Qwen3-32B,qwen,core,adventurous,PC2,0.01,0.633398334919,0.012216511524,0.00141502114325,1.11949201762,0.542737916389
Qwen/Qwen3-32B,qwen,core,adventurous,PC3,0.01,-0.238795529982,0.012216511524,0.00141502114325,1.11949201762,0.542737916389
Qwen/Qwen3-32B,qwen,core,altruistic,PC1,0.01,-0.0784629828761,0.00799161774886,0.000896643995277,0.164770832735,0.0273988305503
Qwen/Qwen3-32B,qwen,core,altruistic,PC2,0.01,-0.123047788995,0.00799161774886,0.000896643995277,0.164770832735,0.0273988305503
Qwen/Qwen3-32B,qwen,core,altruistic,PC3,0.01,-0.166025786132,0.00799161774886,0.000896643995277,0.164770832735,0.0273988305503
Qwen/Qwen3-32B,qwen,core,forgiving,PC1,0.01,-0.327907643138,0.0176893400683,0.00208653652633,1.07487852177,0.50115385409
Qwen/Qwen3-32B,qwen,core,forgiving,PC2,0.01,-0.12194038754,0.0176893400683,0.00208653652633,1.07487852177,0.50115385409
Qwen/Qwen3-32B,qwen,core,forgiving,PC3,0.01,-0.726365121614,0.0176893400683,0.00208653652633,1.07487852177,0.50115385409
Qwen/Qwen3-32B,qwen,core,grandiose,PC1,0.01,-0.512957322183,0.165901539989,0.0276851665737,1.71724896659,1.17353675294
Qwen/Qwen3-32B,qwen,core,grandiose,PC2,0.01,-1.2159331137,0.165901539989,0.0276851665737,1.71724896659,1.17353675294
Qwen/Qwen3-32B,qwen,core,grandiose,PC3,0.01,0.128884892201,0.165901539989,0.0276851665737,1.71724896659,1.17353675294
Qwen/Qwen3-32B,qwen,core,impulsive,PC1,0.01,-0.700706101713,0.0217555190262,0.00258975501237,0.834062401775,0.324774032429
Qwen/Qwen3-32B,qwen,core,impulsive,PC2,0.01,-0.109018192469,0.0217555190262,0.00258975501237,0.834062401775,0.324774032429
Qwen/Qwen3-32B,qwen,core,impulsive,PC3,0.01,-0.0975752901866,0.0217555190262,0.00258975501237,0.834062401775,0.324774032429
Qwen/Qwen3-32B,qwen,core,manipulative,PC1,0.01,-0.0713839729238,0.00376950720207,0.000414562110582,0.30197065391,0.0641792428403
Qwen/Qwen3-32B,qwen,core,manipulative,PC2,0.01,0.205927079365,0.00376950720207,0.000414562110582,0.30197065391,0.0641792428403
Qwen/Qwen3-32B,qwen,core,manipulative,PC3,0.01,-0.239229608105,0.00376950720207,0.000414562110582,0.30197065391,0.0641792428403
Qwen/Qwen3-32B,qwen,core,optimistic,PC1,0.01,0.646038557054,0.0496430226212,0.00634814239218,3.54266720569,4.56185817536
Qwen/Qwen3-32B,qwen,core,optimistic,PC2,0.01,1.11368858008,0.0496430226212,0.00634814239218,3.54266720569,4.56185817536
Qwen/Qwen3-32B,qwen,core,optimistic,PC3,0.01,2.09630162034,0.0496430226212,0.00634814239218,3.54266720569,4.56185817536
Qwen/Qwen3-32B,qwen,core,pessimistic,PC1,0.01,0.155007466708,0.0764690112465,0.0104833373285,3.50810964625,4.47078531969
Qwen/Qwen3-32B,qwen,core,pessimistic,PC2,0.01,0.897181211083,0.0764690112465,0.0104833373285,3.50810964625,4.47078531969
Qwen/Qwen3-32B,qwen,core,pessimistic,PC3,0.01,2.50225267574,0.0764690112465,0.0104833373285,3.50810964625,4.47078531969
Qwen/Qwen3-32B,qwen,core,traditional,PC1,0.01,-0.150302062585,0.00162730360512,0.000182586415216,0.171814990255,0.0290552945986
Qwen/Qwen3-32B,qwen,core,traditional,PC2,0.01,0.0426990941096,0.00162730360512,0.000182586415216,0.171814990255,0.0290552945986
Qwen/Qwen3-32B,qwen,core,traditional,PC3,0.01,0.1538743665,0.00162730360512,0.000182586415216,0.171814990255,0.0290552945986
Qwen/Qwen3-32B,qwen,core,innovative,PC1,0.01,0.308450720562,0.00316017807908,0.000353114745918,0.746617769173,0.268966782639
Qwen/Qwen3-32B,qwen,core,innovative,PC2,0.01,-0.249332403043,0.00316017807908,0.000353114745918,0.746617769173,0.268966782639
Qwen/Qwen3-32B,qwen,core,innovative,PC3,0.01,0.494866149029,0.00316017807908,0.000353114745918,0.746617769173,0.268966782639
Qwen/Qwen3-32B,qwen,core,introspective,PC1,0.01,0.0357536790493,0.00051571095119,5.726810727e-05,0.0436561117771,0.00550685515108
Qwen/Qwen3-32B,qwen,core,introspective,PC2,0.01,0.00664160508962,0.00051571095119,5.726810727e-05,0.0436561117771,0.00550685515108
Qwen/Qwen3-32B,qwen,core,introspective,PC3,0.01,-0.0836012709779,0.00051571095119,5.726810727e-05,0.0436561117771,0.00550685515108
Qwen/Qwen3-32B,qwen,core,judgmental,PC1,0.01,0.469662891898,0.0258924985582,0.00313108326049,0.935620163634,0.394920308482
Qwen/Qwen3-32B,qwen,core,judgmental,PC2,0.01,0.452396976604,0.0258924985582,0.00313108326049,0.935620163634,0.394920308482
Qwen/Qwen3-32B,qwen,core,judgmental,PC3,0.01,-0.408809704299,0.0258924985582,0.00313108326049,0.935620163634,0.394920308482
Qwen/Qwen3-32B,qwen,extended,adventurous,PC1,0.01,-0.622987208862,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,adventurous,PC2,0.01,0.633398334919,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,adventurous,PC3,0.01,-0.238795529982,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,adventurous,PC4,0.01,-0.50907153305,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,adventurous,PC5,0.01,-4.59230097374,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,adventurous,PC6,0.01,-0.685734209116,0.0934800896224,0.0244709969338,6.27408169544,8.21679258672
Qwen/Qwen3-32B,qwen,extended,altruistic,PC1,0.01,-0.0784629828761,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,altruistic,PC2,0.01,-0.123047788995,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,altruistic,PC3,0.01,-0.166025786132,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,altruistic,PC4,0.01,-0.0251149610783,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,altruistic,PC5,0.01,-0.407954454236,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,altruistic,PC6,0.01,0.596438436714,0.0184657266916,0.00474200685156,0.556107640411,0.188020839373
Qwen/Qwen3-32B,qwen,extended,forgiving,PC1,0.01,-0.327907643138,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
Qwen/Qwen3-32B,qwen,extended,forgiving,PC2,0.01,-0.12194038754,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
Qwen/Qwen3-32B,qwen,extended,forgiving,PC3,0.01,-0.726365121614,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
Qwen/Qwen3-32B,qwen,extended,forgiving,PC4,0.01,-0.972304840296,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
Qwen/Qwen3-32B,qwen,extended,forgiving,PC5,0.01,0.410085472816,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
Qwen/Qwen3-32B,qwen,extended,forgiving,PC6,0.01,0.0117729145826,0.00831676092943,0.00203941196135,1.3602614417,0.645373011843
