model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,707,229,243,100,0.5426354938684115,0.5289440334871371
Consensus_C1_C3,707,229,243,100,0.14136398110820092,0.724741357242018
BigFive_plus_Consensus_C1_C3,707,229,243,100,0.5432705094925852,0.5285767067808856
