fit,axis,weight
full_corrected_common,C1,0.04831481567648951
full_corrected_common,C2,0.30244517396830234
full_corrected_common,C3,0.3268714898715108
train_validation,C1,0.015682275345799718
train_validation,C2,0.29193622756301996
train_validation,C3,0.31823464478852204
