role,semantic_cluster,activation_cluster,cluster_margin,best_centroid_cosine,second_centroid_cosine,second_cluster,cross_cluster_neighbors_top8,top8_neighbor_mean_cosine,nearest_neighbors
spy,2,grounded_social,0.0006148563247825867,0.187373088630448,0.1867582323056654,6,7,0.46122297066997653,"rogue:0.639, mycorrhizal:0.553, robot:0.455, interviewer:0.445, hacker:0.417"
amnesiac,2,other,0.0034779116489881967,0.28839861694974916,0.28492070530076097,4,7,0.40838856527665596,"orphan:0.558, workaholic:0.479, improviser:0.421, echo:0.409, hoarder:0.368"
sage,6,mythic_spiritual,0.005950462408363555,0.3127773493713113,0.30682688696294774,4,7,0.5193115233481386,"guru:0.677, elder:0.605, pilgrim:0.540, hermit:0.521, absurdist:0.467"
guardian,3,procedural_professional,0.008103401675012833,0.39233271693442234,0.3842293152594095,2,5,0.47968281099582644,"martyr:0.586, altruist:0.527, zealot:0.513, angel:0.472, narcissist:0.457"
merchant,5,procedural_professional,0.013024888550065117,0.5079629305444797,0.4949380419944146,1,4,0.6703322242345138,"entrepreneur:0.778, smuggler:0.689, navigator:0.685, networker:0.669, marketer:0.667"
emissary,5,procedural_professional,0.01958226824716125,0.3697938235314365,0.3502115552842753,0,8,0.6541828282025319,"mediator:0.763, interpreter:0.762, negotiator:0.745, translator:0.667, ambassador:0.656"
technologist,1,procedural_professional,0.01991812564663803,0.38923887032329524,0.3693207446766572,2,3,0.5495947846836247,"evangelist:0.734, visionary:0.676, hacker:0.558, futurist:0.538, programmer:0.532"
scout,5,procedural_professional,0.021579355339939266,0.320384550590546,0.2988051952506067,2,4,0.4246006332961621,"recruiter:0.630, virtuoso:0.478, retiree:0.433, entrepreneur:0.428, screener:0.389"
dilettante,2,trickster_chaos,0.02250980336010508,0.22994497819650303,0.20743517483639795,1,6,0.4585456368510532,"generalist:0.732, amateur:0.647, polymath:0.521, student:0.453, prodigy:0.439"
addict,4,grounded_social,0.024655464076186295,0.4283345164198203,0.403679052343634,0,6,0.5061818730053358,"prisoner:0.565, cosmopolitan:0.548, exile:0.532, stoic:0.520, provincial:0.516"
mechanic,5,grounded_social,0.026994902475389382,0.3712805698606951,0.3442856673853057,1,6,0.5224132864139239,"engineer:0.796, debugger:0.698, mathematician:0.532, caveman:0.474, saboteur:0.459"
surfer,3,grounded_social,0.02716310145594636,0.41468784020618943,0.38752473875024307,4,6,0.4757064118781254,"leviathan:0.628, pirate:0.547, whale:0.513, minimalist:0.442, ancient:0.433"
alien,3,mythic_spiritual,0.02842685068629197,0.38903868547606996,0.360611834789778,0,6,0.6183456469878262,"cyborg:0.729, demon:0.683, anthropologist:0.663, geographer:0.591, luddite:0.584"
mystic,1,mythic_spiritual,0.03134609534766991,0.343568338922574,0.3122222435749041,2,6,0.5647640787245709,"shaman:0.810, guru:0.698, pilgrim:0.616, healer:0.608, ascetic:0.541"
toddler,4,other,0.0329672775711321,0.22163075437055746,0.18866347679942536,6,7,0.46030210160606766,"infant:0.645, caveman:0.484, poet:0.457, physicist:0.446, grandparent:0.434"
advocate,0,procedural_professional,0.03472042013426732,0.2612319602542303,0.22651154011996297,2,5,0.3593460553259157,"devils_advocate:0.606, idealist:0.423, activist:0.385, martyr:0.343, procrastinator:0.300"
chameleon,2,grounded_social,0.03855652072940369,0.36809751274839575,0.32954099201899206,0,5,0.4412054301006736,"cosmopolitan:0.585, hybrid:0.520, presenter:0.453, addict:0.420, actor:0.399"
lawyer,1,procedural_professional,0.03887357121732049,0.43247876556589454,0.39360519434857405,5,4,0.5104556202318065,"vigilante:0.705, pharmacist:0.597, criminal:0.588, smuggler:0.532, navigator:0.460"
actor,2,grounded_social,0.03927924489872847,0.33802303854406796,0.2987437936453395,0,5,0.5490836588060238,"shapeshifter:0.835, interpreter:0.686, translator:0.554, fixer:0.505, synthesizer:0.473"
proofreader,5,editorial,0.042411163467533514,0.2808371409384518,0.2384259774709183,6,5,0.4791039796764316,"editor:0.839, perfectionist:0.599, writer:0.536, blogger:0.452, playwright:0.433"
jester,3,trickster_chaos,0.043070469846505866,0.28318781661199394,0.24011734676548807,6,7,0.5085635830871136,"fool:0.866, trickster:0.684, comedian:0.680, bard:0.436, absurdist:0.373"
interpreter,2,procedural_professional,0.04315154693598111,0.34971441217314786,0.30656286523716675,6,7,0.6119814643438115,"translator:0.821, emissary:0.762, actor:0.686, presenter:0.544, synthesizer:0.533"
maverick,0,combative_iconoclast,0.044931345368058484,0.28408535104697225,0.23915400567891376,2,4,0.5023163594164709,"rebel:0.913, visionary:0.532, revolutionary:0.499, contrarian:0.482, provocateur:0.453"
peacekeeper,0,procedural_professional,0.04676325081042365,0.386618025901629,0.3398547750912054,2,5,0.5722500025717134,"negotiator:0.851, mediator:0.813, pacifist:0.706, ambassador:0.633, emissary:0.620"
ecosystem,0,procedural_professional,0.048262526390110194,0.4737655954037378,0.4255030690136276,3,6,0.4886129936213588,"symbiont:0.770, mycorrhizal:0.517, coral_reef:0.502, parasite:0.459, networker:0.429"
ancient,4,mythic_spiritual,0.04918041546679386,0.3781166208267262,0.32893620535993234,3,4,0.4959267250823548,"leviathan:0.731, echo:0.544, elder:0.519, wind:0.502, survivor:0.472"
negotiator,2,procedural_professional,0.04928901499004923,0.3269935550181008,0.27770454002805156,5,6,0.5998800017831776,"mediator:0.901, peacekeeper:0.851, emissary:0.745, ambassador:0.623, entrepreneur:0.474"
archivist,0,procedural_professional,0.052518425135678726,0.41989594039614314,0.3673775152604644,1,4,0.5882780283453043,"conservator:0.901, collector:0.884, librarian:0.555, historian:0.525, purist:0.509"
futurist,1,procedural_professional,0.053587929367774845,0.35672033658753405,0.3031324072197592,5,6,0.5612003547233844,"forecaster:0.893, visionary:0.613, oracle:0.602, technologist:0.538, economist:0.518"
planner,1,procedural_professional,0.053988499745411256,0.3537785634196702,0.2997900636742589,5,5,0.5775744972353009,"strategist:0.866, organizer:0.677, coach:0.586, trainer:0.583, scheduler:0.503"
detective,1,procedural_professional,0.055839186561813636,0.39899329253295507,0.34315410597114143,5,6,0.625520181023594,"scientist:0.794, researcher:0.704, judge:0.676, skeptic:0.660, analyst:0.658"
navigator,5,procedural_professional,0.061546272075987174,0.6567092071544003,0.5951629350784131,1,3,0.6079321959076511,"smuggler:0.771, merchant:0.685, pilot:0.652, marketer:0.587, pharmacist:0.570"
smuggler,1,grounded_social,0.0638988294390031,0.48879978455494344,0.42490095511594034,5,3,0.5970119673356054,"navigator:0.771, merchant:0.689, chemist:0.618, cartographer:0.548, architect:0.547"
archaeologist,6,procedural_professional,0.06496588110485652,0.40559411443173804,0.3406282333268815,1,8,0.4900518650013931,"scholar:0.585, detective:0.571, scientist:0.520, anthropologist:0.483, echo:0.483"
musician,2,mythic_spiritual,0.0655975172233178,0.2875897900424192,0.2219922728191014,3,5,0.4362979657764817,"composer:0.645, empath:0.615, therapist:0.427, counselor:0.408, bohemian:0.406"
forecaster,5,procedural_professional,0.06668981026546594,0.4260862302727216,0.35939642000725563,1,3,0.601654099180668,"futurist:0.893, consultant:0.618, economist:0.613, oracle:0.611, statistician:0.606"
moderator,2,other,0.06893236416530826,0.29834712697821186,0.2294147628129036,6,6,0.4741449047389697,"facilitator:0.941, podcaster:0.581, auctioneer:0.535, secretary:0.453, workaholic:0.370"
ghost,3,mythic_spiritual,0.06936393424833132,0.32899953914724306,0.25963560489891174,4,4,0.46196548026225875,"wraith:0.821, revenant:0.789, void:0.498, spirit:0.440, simulacrum:0.291"
vegan,1,procedural_professional,0.0698909373257435,0.24799598114743193,0.17810504382168843,0,4,0.3704621854904817,"nutritionist:0.536, naturalist:0.403, veterinarian:0.366, crystalline:0.348, pragmatist:0.346"
anthropologist,0,procedural_professional,0.07162366896401862,0.42941672117128366,0.35779305220726504,1,5,0.5837582010908927,"sociologist:0.763, geographer:0.739, alien:0.663, psychologist:0.609, cyborg:0.518"
