semantic_cluster,cluster_size,rank,role,cosine_to_cluster_centroid,activation_label_distribution,top_terms
1,44,8,chemist,0.560415,"{""grounded_social"": 6, ""mythic_spiritual"": 3, ""other"": 1, ""procedural_professional"": 34}","bring, knowledge, specializes, expertise, someone, extensive, deep, bring_deep, bring_extensive, creating, complex, excels, comprehensive, approaches"
1,44,9,librarian,0.552751,"{""grounded_social"": 6, ""mythic_spiritual"": 3, ""other"": 1, ""procedural_professional"": 34}","bring, knowledge, specializes, expertise, someone, extensive, deep, bring_deep, bring_extensive, creating, complex, excels, comprehensive, approaches"
1,44,10,polymath,0.541605,"{""grounded_social"": 6, ""mythic_spiritual"": 3, ""other"": 1, ""procedural_professional"": 34}","bring, knowledge, specializes, expertise, someone, extensive, deep, bring_deep, bring_extensive, creating, complex, excels, comprehensive, approaches"
6,30,1,narrator,0.678576,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,2,writer,0.654640,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,3,podcaster,0.631786,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,4,blogger,0.592462,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,5,auctioneer,0.586751,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,6,bard,0.579198,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,7,journalist,0.565323,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,8,novelist,0.549799,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,9,presenter,0.548145,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
6,30,10,reporter,0.546087,"{""grounded_social"": 5, ""mythic_spiritual"": 7, ""other"": 4, ""procedural_professional"": 14}","through, bring, specializes, events, information, stories, skilled, excels, experiences, expertise, use, creating, compelling, engaging"
3,40,1,dreamer,0.670775,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,2,whale,0.642588,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,3,eldritch,0.634023,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,4,chimera,0.633711,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,5,crystalline,0.607777,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,6,egregore,0.556102,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,7,demon,0.554623,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,8,void,0.550965,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,9,golem,0.533225,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
3,40,10,spirit,0.513857,"{""grounded_social"": 1, ""mythic_spiritual"": 25, ""other"": 5, ""procedural_professional"": 7, ""trickster_chaos"": 2}","someone, through, whose, entity, embody, consciousness, embody_someone, reality, existence, human, has, someone_whose, ancient, exists"
0,36,1,purist,0.671377,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,2,traditionalist,0.654115,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,3,anarchist,0.584068,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,4,pacifist,0.583878,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,5,luddite,0.580788,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,6,revolutionary,0.560520,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,7,hoarder,0.535549,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,8,idealist,0.510633,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,9,cosmopolitan,0.510398,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
0,36,10,artisan,0.488529,"{""combative_iconoclast"": 4, ""grounded_social"": 2, ""mythic_spiritual"": 9, ""other"": 3, ""procedural_professional"": 18}","someone, all, cultural, between, systems, embody, embody_someone, bring, social, through, believes, dedicated, human, values"
2,43,1,guide,0.578522,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,2,realist,0.548364,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,3,optimist,0.536626,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,4,narcissist,0.518943,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,5,improviser,0.515336,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,6,guru,0.513111,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,7,caregiver,0.509576,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,8,counselor,0.504965,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,9,trickster,0.496874,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
2,43,10,martyr,0.484714,"{""combative_iconoclast"": 4, ""grounded_social"": 7, ""mythic_spiritual"": 6, ""other"": 5, ""procedural_professional"": 17, ""trickster_chaos"": 4}","others, through, someone, people, use, thinking, bring, specializes, helps, different, emotional, own, any, without"
