k,activation_cluster,original_prompt_cluster,no_label_prompt_cluster,intersection_n,activation_containment,roles
5,procedural_professional,2,1,26,0.2047244094488189,"accountant, anthropologist, archivist, biologist, chemist, collector, conservator, debugger, doctor, economist, engineer, geographer, historian, lawyer, linguist, mathematician, paramedic, pharmacist, physicist, pilot, programmer, sociologist, strategist, theorist, translator, veterinarian"
5,grounded_social,1,3,21,0.4666666666666667,"celebrity, criminal, divorcee, exile, expatriate, graduate, grandparent, immigrant, newlywed, orphan, parent, patient, pirate, prisoner, refugee, retiree, soldier, surfer, survivor, veteran, widow"
5,procedural_professional,2,4,21,0.16535433070866143,"architect, builder, cartographer, coordinator, curator, designer, dispatcher, entrepreneur, librarian, marketer, merchant, navigator, nutritionist, organizer, planner, producer, publisher, scheduler, secretary, supervisor, writer"
5,mythic_spiritual,4,0,15,0.2459016393442623,"alien, angel, ascetic, chimera, demon, dreamer, eldritch, familiar, golem, leviathan, virtuoso, void, whale, wraith, zeitgeist"
5,procedural_professional,3,1,13,0.10236220472440945,"analyst, archaeologist, consultant, cyborg, detective, forecaster, futurist, psychologist, researcher, scholar, scientist, skeptic, statistician"
5,procedural_professional,0,2,12,0.09448818897637795,"altruist, caregiver, coach, collaborator, counselor, empath, evangelist, guide, optimist, realist, technologist, therapist"
5,procedural_professional,3,4,11,0.08661417322834646,"auditor, critic, evaluator, journalist, judge, observer, recruiter, reporter, reviewer, summarizer, validator"
5,mythic_spiritual,1,3,10,0.16393442622950818,"ancient, elder, flaneur, hermit, nomad, parasite, predator, revenant, vampire, wind"
5,procedural_professional,0,4,10,0.07874015748031496,"ambassador, emissary, facilitator, mediator, mentor, negotiator, networker, peacekeeper, scout, synthesizer"
5,procedural_professional,0,0,9,0.07086614173228346,"ecosystem, egregore, guardian, hive, pacifist, revolutionary, swarm, symbiont, tulpa"
5,procedural_professional,4,1,9,0.07086614173228346,"assistant, generalist, healer, instructor, polymath, prodigy, teacher, trainer, tutor"
5,grounded_social,2,4,7,0.15555555555555556,"auctioneer, bartender, chef, playwright, saboteur, smuggler, sommelier"
5,mythic_spiritual,4,3,6,0.09836065573770492,"avatar, ghost, pilgrim, sage, spirit, wanderer"
5,combative_iconoclast,3,2,5,0.625,"contrarian, devils_advocate, maverick, provocateur, rebel"
5,mythic_spiritual,1,0,5,0.08196721311475409,"aberration, echo, romantic, stoic, tree"
5,other,1,0,5,0.22727272727272727,"amnesiac, hoarder, infant, prey, procrastinator"
5,editorial,3,4,4,0.8,"examiner, grader, proofreader, screener"
5,mythic_spiritual,3,0,4,0.06557377049180328,"bohemian, purist, simulacrum, traditionalist"
5,grounded_social,0,4,3,0.06666666666666667,"blogger, influencer, presenter"
5,mythic_spiritual,0,0,3,0.04918032786885246,"coral_reef, musician, mycorrhizal"
5,mythic_spiritual,0,2,3,0.04918032786885246,"loner, martyr, warrior"
5,mythic_spiritual,4,1,3,0.04918032786885246,"homunculus, shaman, witch"
5,mythic_spiritual,4,2,3,0.04918032786885246,"guru, mystic, oracle"
5,other,0,4,3,0.13636363636363635,"gossip, moderator, podcaster"
5,other,1,3,3,0.13636363636363635,"adolescent, gamer, teenager"
5,procedural_professional,1,0,3,0.023622047244094488,"cosmopolitan, hybrid, idealist"
5,procedural_professional,2,0,3,0.023622047244094488,"activist, anarchist, destroyer"
5,grounded_social,0,0,2,0.044444444444444446,"amateur, chameleon"
5,grounded_social,0,2,2,0.044444444444444446,"fixer, vigilante"
5,grounded_social,0,3,2,0.044444444444444446,"actor, daredevil"
5,grounded_social,1,0,2,0.044444444444444446,"addict, provincial"
5,grounded_social,2,1,2,0.044444444444444446,"hacker, mechanic"
5,mythic_spiritual,1,2,2,0.03278688524590164,"photographer, prophet"
5,mythic_spiritual,2,4,2,0.03278688524590164,"composer, novelist"
5,other,1,2,2,0.09090909090909091,"caveman, toddler"
5,other,3,2,2,0.09090909090909091,"comedian, fool"
5,procedural_professional,1,1,2,0.015748031496062992,"naturalist, specialist"
5,procedural_professional,1,3,2,0.015748031496062992,"minimalist, witness"
5,procedural_professional,3,0,2,0.015748031496062992,"perfectionist, vegan"
5,procedural_professional,3,2,2,0.015748031496062992,"pragmatist, visionary"
5,trickster_chaos,3,2,2,0.2857142857142857,"jester, trickster"
7,procedural_professional,2,5,23,0.18110236220472442,"accountant, architect, archivist, biologist, builder, cartographer, chemist, collector, coordinator, designer, dispatcher, entrepreneur, lawyer, librarian, marketer, merchant, navigator, organizer, pharmacist, pilot, planner, scheduler, secretary"
7,grounded_social,1,3,21,0.4666666666666667,"celebrity, criminal, daredevil, divorcee, exile, expatriate, graduate, grandparent, immigrant, newlywed, orphan, parent, pirate, prisoner, refugee, retiree, soldier, surfer, survivor, veteran, widow"
7,mythic_spiritual,4,0,18,0.29508196721311475,"aberration, alien, angel, chimera, demon, dreamer, eldritch, familiar, golem, homunculus, leviathan, tree, virtuoso, void, whale, witch, wraith, zeitgeist"
7,procedural_professional,3,1,14,0.11023622047244094,"analyst, archaeologist, detective, engineer, forecaster, futurist, mathematician, physicist, programmer, psychologist, researcher, scholar, scientist, statistician"
7,mythic_spiritual,1,3,11,0.18032786885245902,"ancient, elder, flaneur, ghost, hermit, nomad, parasite, revenant, vampire, wanderer, wind"
7,procedural_professional,0,0,8,0.06299212598425197,"ecosystem, egregore, guardian, hive, pacifist, swarm, symbiont, tulpa"
7,procedural_professional,2,1,8,0.06299212598425197,"anthropologist, economist, geographer, linguist, sociologist, strategist, theorist, translator"
7,procedural_professional,0,2,7,0.05511811023622047,"altruist, collaborator, evangelist, guide, optimist, peacekeeper, realist"
7,procedural_professional,0,5,7,0.05511811023622047,"ambassador, emissary, mediator, mentor, negotiator, networker, scout"
7,procedural_professional,5,5,7,0.05511811023622047,"auditor, critic, debugger, evaluator, recruiter, reviewer, supervisor"
7,combative_iconoclast,3,2,5,0.625,"contrarian, devils_advocate, maverick, provocateur, rebel"
