role,activation_cluster,dominant_original_cluster,dominant_no_label_cluster,original_prompt_k7,no_label_prompt_k7
contrarian,combative_iconoclast,3,2,3,2
devils_advocate,combative_iconoclast,3,2,3,2
maverick,combative_iconoclast,3,2,3,2
provocateur,combative_iconoclast,3,2,3,2
rebel,combative_iconoclast,3,2,3,2
examiner,editorial,5,5,5,5
grader,editorial,5,5,5,5
screener,editorial,5,5,5,5
celebrity,grounded_social,1,3,1,3
criminal,grounded_social,1,3,1,3
daredevil,grounded_social,1,3,1,3
divorcee,grounded_social,1,3,1,3
exile,grounded_social,1,3,1,3
expatriate,grounded_social,1,3,1,3
graduate,grounded_social,1,3,1,3
grandparent,grounded_social,1,3,1,3
immigrant,grounded_social,1,3,1,3
newlywed,grounded_social,1,3,1,3
orphan,grounded_social,1,3,1,3
parent,grounded_social,1,3,1,3
pirate,grounded_social,1,3,1,3
prisoner,grounded_social,1,3,1,3
refugee,grounded_social,1,3,1,3
retiree,grounded_social,1,3,1,3
soldier,grounded_social,1,3,1,3
surfer,grounded_social,1,3,1,3
survivor,grounded_social,1,3,1,3
veteran,grounded_social,1,3,1,3
widow,grounded_social,1,3,1,3
aberration,mythic_spiritual,4,0,4,0
alien,mythic_spiritual,4,0,4,0
angel,mythic_spiritual,4,0,4,0
chimera,mythic_spiritual,4,0,4,0
demon,mythic_spiritual,4,0,4,0
dreamer,mythic_spiritual,4,0,4,0
eldritch,mythic_spiritual,4,0,4,0
familiar,mythic_spiritual,4,0,4,0
golem,mythic_spiritual,4,0,4,0
homunculus,mythic_spiritual,4,0,4,0
leviathan,mythic_spiritual,4,0,4,0
tree,mythic_spiritual,4,0,4,0
virtuoso,mythic_spiritual,4,0,4,0
void,mythic_spiritual,4,0,4,0
whale,mythic_spiritual,4,0,4,0
witch,mythic_spiritual,4,0,4,0
wraith,mythic_spiritual,4,0,4,0
zeitgeist,mythic_spiritual,4,0,4,0
infant,other,6,0,6,0
accountant,procedural_professional,2,5,2,5
architect,procedural_professional,2,5,2,5
archivist,procedural_professional,2,5,2,5
biologist,procedural_professional,2,5,2,5
builder,procedural_professional,2,5,2,5
cartographer,procedural_professional,2,5,2,5
chemist,procedural_professional,2,5,2,5
collector,procedural_professional,2,5,2,5
coordinator,procedural_professional,2,5,2,5
designer,procedural_professional,2,5,2,5
dispatcher,procedural_professional,2,5,2,5
entrepreneur,procedural_professional,2,5,2,5
lawyer,procedural_professional,2,5,2,5
librarian,procedural_professional,2,5,2,5
marketer,procedural_professional,2,5,2,5
merchant,procedural_professional,2,5,2,5
navigator,procedural_professional,2,5,2,5
organizer,procedural_professional,2,5,2,5
pharmacist,procedural_professional,2,5,2,5
pilot,procedural_professional,2,5,2,5
planner,procedural_professional,2,5,2,5
scheduler,procedural_professional,2,5,2,5
secretary,procedural_professional,2,5,2,5
jester,trickster_chaos,6,2,6,2
trickster,trickster_chaos,6,2,6,2
