role,activation_cluster,original_prompt_k7,dominant_original_cluster_for_activation,no_label_prompt_k7,dominant_no_label_cluster_for_activation,original_migrates_from_activation_dominant,no_label_migrates_from_activation_dominant,original_to_no_label_cluster_changed,semantic_bridge_margin,cross_cluster_neighbors_top8,bridge_score
proofreader,editorial,6,5,4,5,True,True,True,0.042411163467533514,5,5
mechanic,grounded_social,5,1,1,3,True,True,True,0.026994902475389382,6,5
spy,grounded_social,3,1,4,3,True,True,True,0.0006148563247825867,7,5
sage,mythic_spiritual,6,4,1,0,True,True,True,0.005950462408363555,7,5
advocate,procedural_professional,5,2,4,5,True,True,True,0.03472042013426732,5,5
interpreter,procedural_professional,0,2,1,5,True,True,True,0.04315154693598111,7,5
peacekeeper,procedural_professional,0,2,2,5,True,True,True,0.04676325081042365,5,5
dilettante,trickster_chaos,4,6,1,2,True,True,True,0.02250980336010508,6,5
actor,grounded_social,0,1,3,3,True,False,True,0.03927924489872847,5,4
addict,grounded_social,1,1,0,3,False,True,True,0.024655464076186295,6,4
chameleon,grounded_social,0,1,0,3,True,True,False,0.03855652072940369,5,4
ancient,mythic_spiritual,1,4,3,0,True,True,True,0.04918041546679386,4,4
mystic,mythic_spiritual,4,4,6,0,False,True,True,0.03134609534766991,6,4
amnesiac,other,1,6,0,0,True,False,True,0.0034779116489881967,7,4
moderator,other,0,6,4,0,True,True,True,0.06893236416530826,6,4
toddler,other,6,6,2,0,False,True,True,0.0329672775711321,7,4
archaeologist,procedural_professional,3,2,1,5,True,True,True,0.06496588110485652,8,4
detective,procedural_professional,3,2,1,5,True,True,True,0.055839186561813636,6,4
ecosystem,procedural_professional,0,2,0,5,True,True,False,0.048262526390110194,6,4
emissary,procedural_professional,0,2,5,5,True,False,True,0.01958226824716125,8,4
futurist,procedural_professional,3,2,1,5,True,True,True,0.053587929367774845,6,4
guardian,procedural_professional,0,2,0,5,True,True,False,0.008103401675012833,5,4
negotiator,procedural_professional,0,2,5,5,True,False,True,0.04928901499004923,6,4
technologist,procedural_professional,3,2,2,5,True,True,True,0.01991812564663803,3,4
workaholic,combative_iconoclast,5,3,0,2,True,True,True,,0,3
auctioneer,grounded_social,2,1,4,3,True,True,True,,0,3
bartender,grounded_social,2,1,5,3,True,True,True,,0,3
blogger,grounded_social,6,1,4,3,True,True,True,,0,3
chef,grounded_social,2,1,5,3,True,True,True,,0,3
fixer,grounded_social,3,1,2,3,True,True,True,,0,3
hacker,grounded_social,2,1,4,3,True,True,True,,0,3
influencer,grounded_social,6,1,4,3,True,True,True,,0,3
patient,grounded_social,5,1,6,3,True,True,True,,0,3
playwright,grounded_social,6,1,4,3,True,True,True,,0,3
presenter,grounded_social,6,1,4,3,True,True,True,,0,3
rogue,grounded_social,3,1,2,3,True,True,True,,0,3
saboteur,grounded_social,2,1,5,3,True,True,True,,0,3
