analysis_tier,component,raw_eigenvalue,psd_eigenvalue,variance_fraction,cumulative_variance_fraction,parallel_analysis_p95,exceeds_parallel_p95
accept_direct,1,8.81413442,8.81413441,0.19586965,0.19586965,1.71222075,True
accept_direct,2,5.11481245,5.11481245,0.1136625,0.30953215,1.62896879,True
accept_direct,3,4.84933323,4.84933322,0.10776296,0.41729511,1.56579477,True
accept_direct,4,3.11966657,3.11966657,0.06932592,0.48662104,1.51928845,True
accept_direct,5,3.02963043,3.02963043,0.06732512,0.55394616,1.47530149,True
accept_direct,6,1.76238527,1.76238526,0.03916412,0.59311027,1.44197084,True
accept_direct,7,1.32642043,1.32642043,0.02947601,0.62258628,1.40294397,False
accept_direct,8,1.16886122,1.16886121,0.02597469,0.64856098,1.37242481,False
accept_direct,9,1.14876424,1.14876424,0.02552809,0.67408907,1.33808682,False
accept_direct,10,1.04819593,1.04819593,0.02329324,0.69738231,1.30958443,False
accept_direct,11,0.93951438,0.93951438,0.0208781,0.71826041,1.28046037,False
accept_direct,12,0.85316459,0.85316459,0.01895921,0.73721963,1.25298502,False
accept_direct,13,0.85073098,0.85073098,0.01890513,0.75612476,1.22549387,False
accept_direct,14,0.81299772,0.81299772,0.01806662,0.77419137,1.1989208,False
accept_direct,15,0.73762388,0.73762388,0.01639164,0.79058302,1.17207542,False
accept_direct,16,0.69663555,0.69663555,0.01548079,0.80606381,1.14755367,False
accept_direct,17,0.67975774,0.67975774,0.01510573,0.82116953,1.12531554,False
accept_direct,18,0.65727065,0.65727065,0.01460601,0.83577555,1.10180054,False
accept_direct,19,0.61391529,0.61391529,0.01364256,0.84941811,1.07888725,False
accept_direct,20,0.57403366,0.57403366,0.0127563,0.86217441,1.05704133,False
accept_direct,21,0.54064845,0.54064845,0.01201441,0.87418882,1.03413821,False
accept_direct,22,0.50658739,0.50658739,0.0112575,0.88544632,1.01186343,False
accept_direct,23,0.49742176,0.49742176,0.01105382,0.89650014,0.99182252,False
accept_direct,24,0.4849013,0.4849013,0.01077558,0.90727572,0.97115266,False
accept_direct,25,0.41671447,0.41671447,0.00926032,0.91653604,0.94870231,False
accept_direct,26,0.41424284,0.41424284,0.0092054,0.92574144,0.92780298,False
accept_direct,27,0.38934123,0.38934123,0.00865203,0.93439347,0.90716752,False
accept_direct,28,0.3343414,0.3343414,0.00742981,0.94182328,0.88857254,False
accept_direct,29,0.32058543,0.32058543,0.00712412,0.9489474,0.86698554,False
accept_direct,30,0.30426654,0.30426654,0.00676148,0.95570888,0.84715595,False
accept_direct,31,0.28702479,0.28702479,0.00637833,0.9620872,0.82885879,False
accept_direct,32,0.25169334,0.25169334,0.00559319,0.96768039,0.81047014,False
accept_direct,33,0.21203857,0.21203857,0.00471197,0.97239236,0.78991074,False
accept_direct,34,0.20652142,0.20652142,0.00458936,0.97698172,0.76952559,False
accept_direct,35,0.18980713,0.18980713,0.00421794,0.98119966,0.75077827,False
accept_direct,36,0.17440239,0.17440239,0.00387561,0.98507527,0.73128894,False
accept_direct,37,0.16013354,0.16013354,0.00355852,0.98863379,0.71204697,False
accept_direct,38,0.14379066,0.14379066,0.00319535,0.99182914,0.69067722,False
accept_direct,39,0.10650718,0.10650718,0.00236683,0.99419597,0.67357789,False
accept_direct,40,0.08834239,0.08834239,0.00196316,0.99615913,0.65274331,False
accept_direct,41,0.0751963,0.0751963,0.00167103,0.99783016,0.63174952,False
accept_direct,42,0.06206795,0.06206795,0.00137929,0.99920945,0.61165599,False
accept_direct,43,0.02599017,0.02599017,0.00057756,0.99978701,0.58787161,False
accept_direct,44,0.00958474,0.00958474,0.00021299,1.0,0.56403535,False
accept_direct,45,-0.0,1e-08,0.0,1.0,0.53374851,False
accept_direct_plus_close,1,12.85720107,12.84612215,0.17359625,0.17359625,1.93455604,True
accept_direct_plus_close,2,7.81616312,7.81182179,0.10556516,0.2791614,1.85059196,True
accept_direct_plus_close,3,6.80540843,6.80045794,0.09189808,0.37105948,1.79293623,True
accept_direct_plus_close,4,5.43285732,5.43041938,0.07338405,0.44444353,1.7495319,True
accept_direct_plus_close,5,4.11980386,4.11705888,0.05563593,0.50007946,1.69731579,True
accept_direct_plus_close,6,2.59923005,2.59759067,0.03510258,0.53518204,1.66244846,True
accept_direct_plus_close,7,2.1506159,2.14946455,0.02904682,0.56422886,1.62613968,True
accept_direct_plus_close,8,1.93718114,1.93626467,0.02616574,0.59039459,1.59374996,True
accept_direct_plus_close,9,1.75023455,1.74934832,0.02363984,0.61403444,1.56588489,True
accept_direct_plus_close,10,1.67601138,1.67502415,0.02263546,0.6366699,1.5374233,True
accept_direct_plus_close,11,1.60520788,1.6045332,0.02168288,0.65835278,1.50768709,True
accept_direct_plus_close,12,1.46703607,1.46628279,0.01981463,0.67816741,1.4804848,False
accept_direct_plus_close,13,1.30308128,1.3023533,0.01759937,0.69576678,1.45473443,False
accept_direct_plus_close,14,1.19492773,1.19425235,0.01613855,0.71190533,1.42739951,False
accept_direct_plus_close,15,1.16123296,1.16023908,0.01567891,0.72758423,1.40451916,False
accept_direct_plus_close,16,1.1144205,1.11388569,0.01505251,0.74263674,1.38113878,False
