run_id,role,subset,n,published_pc1,published_pc2,published_pc3,centroid_pc1,centroid_pc2,centroid_pc3,centroid_distance_to_published,mean_response_distance_to_published,median_response_distance_to_published,sd_pc1,sd_pc2,sd_pc3,cloud_volume_proxy_sd_product,anisotropy_ratio,largest_eigenvalue,largest_eigenvector_pc1,largest_eigenvector_pc2,largest_eigenvector_pc3,score0,score1,score2,score3,retention_ge2_count,retention_eq3_count,retention_ge2_rate,retention_eq3_rate,generic_assistant_collapse_count,theatrical_overexpression_count
amateur_a100_cloud_60,amateur,all,60,-0.258632816025379,40.070455881847,-24.428541419933254,-1.6212863420477956,38.46016335218537,-16.303681091036857,8.394237429757384,24.912256940997317,23.411964297121628,16.921735697009524,15.281252793480062,11.886649801490432,3073.713153230903,3.416281317115059,368.1012560041699,-0.7540850709990312,0.5550189118472459,-0.3511548279438651,0,1,25,34,59,34,0.9833333333333333,0.5666666666666667,1,0
amateur_a100_cloud_60,amateur,score_ge2,59,-0.258632816025379,40.070455881847,-24.428541419933254,-2.0173280265791633,38.91357338304852,-16.150239469741198,8.541760306763743,24.72588408395545,23.247547657868115,16.78418677204176,14.999844255977177,11.928600254934102,3003.14663731793,3.5652764249075406,359.91158037712324,-0.7534304144050622,0.5304544989368924,-0.3885365300805415,0,1,25,34,59,34,0.9833333333333333,0.5666666666666667,1,0
amateur_a100_cloud_60,amateur,score_eq3,34,-0.258632816025379,40.070455881847,-24.428541419933254,-8.86100626741064,42.1125628007921,-17.27839097244227,11.37082587533803,24.19301274424522,24.08346934719152,15.20601625629336,14.432938082797268,11.235704068570957,2465.8717828184144,3.199678138871933,260.4029826519765,0.9018922735290642,-0.034017381115101386,0.4306194894923418,0,1,25,34,59,34,0.9833333333333333,0.5666666666666667,1,0
editor_matched64_1024,editor,all,64,34.6198141862948,-2.1147398337502397,-5.09515845039308,24.95472136108338,8.081047146042826,-5.964654063422393,14.075656790301062,28.291141328316137,25.762791516586212,18.206528004679345,17.498711536654117,14.414790873990805,4592.419491691579,5.4187589857315785,528.1094979156932,-0.6831501923786636,0.5356049161295164,-0.49642037475398665,3,25,34,2,36,2,0.5625,0.03125,28,0
editor_matched64_1024,editor,score_ge2,36,34.6198141862948,-2.1147398337502397,-5.09515845039308,26.901298419381803,0.9126462962829753,-5.268466495685274,8.29280339227725,24.156515147383605,22.178140252680205,18.05808254206154,14.878034324479415,13.211847761254452,3549.6109124809177,6.277922762257106,466.29453140916723,-0.7448111506242846,0.4402083218276691,-0.5014708199879598,3,25,34,2,36,2,0.5625,0.03125,28,0
editor_matched64_1024,editor,score_eq3,2,34.6198141862948,-2.1147398337502397,-5.09515845039308,29.53527012772298,-16.005678433665484,1.2008535667142453,16.07639669794613,19.387905231254045,19.387905231254045,10.315596815157848,12.334922390478349,7.6432200500171685,972.5392638875999,316980660765003.3,316.98066076500334,-0.5793993133951953,-0.6928193968694596,-0.42929910197741433,3,25,34,2,36,2,0.5625,0.03125,28,0
editor_phase1_128,editor,all,128,34.6198141862948,-2.1147398337502397,-5.09515845039308,25.50203864754421,8.010257027020103,-4.857667962880239,13.627391310786779,30.308729699326292,27.206324167924166,21.187814001169993,17.68035680513676,15.206740477348331,5696.568331705487,5.370464041154409,636.5911007660422,-0.7707936694762908,0.4376433100590658,-0.46297456977227003,8,63,54,3,57,3,0.4453125,0.0234375,71,0
editor_phase1_128,editor,score_ge2,57,34.6198141862948,-2.1147398337502397,-5.09515845039308,27.142704838923006,3.4937815002465284,-2.6614973320552204,9.658435804278097,26.948627486085947,24.556448437016574,19.613968938050228,16.975059558281334,13.261416054384753,4415.365810190494,4.6057131410784535,500.03714914062516,-0.7742350890838685,0.4813443444744976,-0.41093509082787083,8,63,54,3,57,3,0.4453125,0.0234375,71,0
editor_phase1_128,editor,score_eq3,3,34.6198141862948,-2.1147398337502397,-5.09515845039308,21.89402561884856,21.18347399096123,-2.4843900167023563,26.67524271491598,33.00261658977863,34.65239034332705,14.397165970169493,25.354828765144084,9.317771989088152,3401.33784988416,923632788673902.2,923.6327886739023,-0.4690147700925192,0.8317602902987264,-0.29698478903344505,8,63,54,3,57,3,0.4453125,0.0234375,71,0
playwright_a100_cloud_60,playwright,all,60,-9.81757782466405,4.585625092149062,4.301204997865276,-8.507922491963175,11.929763913080157,4.3104351512242935,7.460003840971534,27.916286844249125,26.79602431178881,24.371576299728357,13.07159121547707,10.005566736746003,3187.5262514009733,6.3709000165576875,617.5180556527833,-0.9747291589779083,0.22294630552167274,0.01407165564020302,3,3,5,49,54,49,0.9,0.8166666666666667,6,0
