permutation,permutation_seed,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,mean_pc_r2,selected_alphas_by_outer_fold
0,20260911,-0.06289484895518149,-0.08823232127451572,-0.12143331121433311,534.150622496763,457.974902760819,-0.008478664517969081,0.03835275146325891,0.01705374917053749,384.1059745447911,296.14024748751194,-0.014257194745262325,0.001686329283140128,0.041735668330400155,256.91893800492204,186.83530980942285,650.0451578556814,614.867603004153,706.3013718663302,1.5960798494813113,1.4819942818190457,1.7720763987111952,-0.028543569406137632,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
1,20260911,-0.029467622317608466,-0.04143402641567652,-0.039424136637719626,525.6842118045149,447.93807717128135,-0.02921354363927464,-0.02489327006438899,-0.0818637661925507,388.0345992560595,298.71847593081065,-0.018881065916298567,-0.011258415233832959,-0.022035717376878913,257.5039026540002,189.11257551198554,644.2210611692209,617.9100194371202,702.2983700980557,1.5881454831385833,1.4768321400966267,1.7628100574430041,-0.025854077291060557,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
2,20260911,-0.035320937522631324,-0.10896310870229746,-0.11998557456507314,527.1765530604063,448.61672251453456,-0.022517040809403976,-0.030040801103585625,-0.03172326245636306,386.7701797819513,298.72257251449435,-0.031932365198257484,-0.07830826761986853,-0.09211044112980006,259.1478955728514,189.1742824415372,644.7466045397757,614.2003951955857,703.3234830752148,1.5883277947050949,1.4611975085914974,1.7679634350781503,-0.029923447843430928,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
3,20260911,-0.0385789977930826,-0.0964604955661802,-0.09536712731888866,528.0053896952867,447.0041846828521,-0.04563200229808384,-0.0749865726241321,-0.08843945644961197,391.11740105651745,299.5034344933802,-0.020137985184742746,0.01091769458402118,-3.000490464787513e-05,257.6626855923913,190.05509023028137,644.9186076184038,617.3108453739774,705.7992437677727,1.5908962815338414,1.4249234145950749,1.7692649798329902,-0.03478299509196973,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
4,20260911,-0.05940801760807668,-0.16401709604848091,-0.16011713453160611,533.2737610055665,455.2835535465481,-0.033198865351035334,-0.1124728642100634,-0.11568679495686797,388.7851473711887,297.66882857084914,-0.021880886574611846,-0.049463373540662985,-0.04387467182135541,257.88269945813425,188.7890967288824,650.6859591370655,620.5262166736156,708.5465980959002,1.5997965330058046,1.471129484860871,1.7789082543616186,-0.03816258984457462,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
5,20260911,-0.04790965342259157,-0.14682208049544468,-0.16157987363319004,530.3719023060737,451.0785936416394,-0.019036038386531118,0.02033247593522437,-0.05034361385995788,386.11126863793004,298.8310029551557,-0.03372854631106814,-0.13392269896885622,-0.08502293644153372,259.37333388409695,187.68893938699807,646.4081339534971,630.0877296328113,705.4436851054139,1.5929758598251897,1.4351291550628413,1.771169458109941,-0.03355807937339694,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
6,20260911,-0.005389415658160646,0.06521305381520288,0.0803237067597588,519.5002275143786,440.0171893455081,-0.038053706346370175,-0.08136669487050655,-0.1071088543319581,389.69749739082596,301.42625260333347,-0.043144932365388744,-0.06587369676086147,-0.06682438475520038,260.55199083833725,190.92942596760108,642.5610874488398,601.1187774331233,699.7370690409256,1.593946895430763,1.440063465261158,1.7687664097365274,-0.028862684789973187,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
7,20260911,-0.0148544530830923,-0.009699266847852397,-0.026778800380831483,521.9398645533627,442.90078826635937,-0.03716175741431216,-0.008065275185537749,-0.013533366030985835,389.5300373820443,301.05119625171176,-0.009519432671605932,0.08814568540258597,0.02874354461787023,256.3181803292225,192.09949814672427,644.3343474143423,615.515054133127,699.8956220752658,1.5960160595870623,1.4847267733116296,1.7640138725466856,-0.020511881056336796,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
8,20260911,-0.029133345148851353,-0.07440850626193818,-0.06906090418626122,525.5988577373791,448.0214217486807,-0.0315369566400705,-0.018154938499798972,0.028768356365944436,388.47233950890234,298.1136100616701,-0.0479556933069929,-0.0696696511451888,-0.04993739361241741,261.1521047152257,190.38289766103128,645.3364066692072,625.4505901903934,703.8219516437022,1.6036691747811789,1.4576895899253162,1.789478067673729,-0.036208665031971586,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
9,20260911,-0.02375889220837979,0.022795226498410814,0.03255936066472404,524.2246412645593,444.8873463618263,-0.018399285370609864,-0.04897991237930023,-0.04493696084936961,385.9906173930044,297.23268543812014,-0.08503125196198491,-0.25515693316595983,-0.2509310175701797,265.73159435136733,195.34402436787113,643.8359191496204,604.0539213147254,703.1454411861804,1.5969566094265106,1.4410522048534598,1.7775072946731567,-0.04239647651365819,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
10,20260911,-0.03182232063566226,-0.06999026650656241,-0.08185568794899166,526.285066406903,448.77569233688735,-0.037363234165484815,-0.05049974634823079,-0.014541992441072099,389.56787016696273,298.26492819076634,-0.01811139802941253,0.014129932048293693,0.02391102391737111,257.40662440715886,185.65751560998117,644.5790245210757,618.8864622324456,703.5604216256269,1.5890150588268428,1.4292080004670196,1.7704955818672268,-0.0290989842768532,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
