axis,removed_trait,test_r2,delta_vs_primary
C1,theatrical,0.5475414236257727,0.0006822548280080998
C1,optimistic,0.548089637745703,0.0012304689479383235
C1,pessimistic,0.5466316453161866,-0.00022752348157806246
C2,stoic,0.5478012217168935,0.0009420529191288551
C2,optimistic,0.545271091458455,-0.001588077339309657
C2,pessimistic,0.5473869345637472,0.0005277657659825685
C3,bitter,0.5448153283024947,-0.002043840495269955
C3,optimistic,0.543936279770414,-0.002922889027350606
C3,pessimistic,0.5437004019330443,-0.003158766864720386
