variant,metric,value
primary,test_r2,0.5468591687977646
C3_five_factor_subspace,test_r2,0.5566759393348466
six_factor_subspace,test_r2,0.5630228653108317
future_safe_direct_plus_close_C1,zero_order_r,-0.20764584152988783
future_safe_direct_plus_close_C2,zero_order_r,0.29815772361551457
future_safe_direct_plus_close_C3,zero_order_r,0.39870938292883523
future_safe_direct_unique_C1,zero_order_r,-0.30134336528761
future_safe_direct_unique_C2,zero_order_r,0.3410311610185978
future_safe_direct_unique_C3,zero_order_r,0.3557305005439512
remove_C1_theatrical,test_r2,0.5475414236257727
remove_C1_optimistic,test_r2,0.548089637745703
remove_C1_pessimistic,test_r2,0.5466316453161866
remove_C2_stoic,test_r2,0.5478012217168935
remove_C2_optimistic,test_r2,0.545271091458455
remove_C2_pessimistic,test_r2,0.5473869345637472
remove_C3_bitter,test_r2,0.5448153283024947
remove_C3_optimistic,test_r2,0.543936279770414
remove_C3_pessimistic,test_r2,0.5437004019330443
