axis,zero_order_r,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,sign_stability,vif,n
C1,-0.3013433652876101,0.01150053419698087,-0.06608170940386042,0.08878178781442055,0.616,3.638848858780516,1179
C2,0.3410311610185977,0.05408657637334398,0.0012780921709034387,0.10698996299773297,0.978,2.1381349762478306,1179
C3,0.3557305005439515,0.12492808505790665,0.04472417457933638,0.20146492480177577,0.999,3.2612176972335813,1179
