family,outer_fold,k,preceding_families,inner_increment,heldout_increment_r2,heldout_macro_r2
EPQr:EPQ:N,1,1,,0.0033950137716941,0.0023584557138406625,0.19573705722575782
PS:PS:S,1,2,EPQr:EPQ:N,0.0019193138304195723,0.0013377024410351213,0.19707475966679294
HEXACO:H:X:L,1,3,EPQr:EPQ:N;PS:PS:S,0.0013098630631158958,0.001559748267780492,0.19863450793457343
IPIPneo:E6:CH,1,4,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,-0.00016430427543923098,0.00043000133035492327,0.19906450926492836
IPIPneo:N6:VU,1,5,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,-0.00021161132952907113,0.0001371978248448369,0.1992017070897732
MPQ:MPQ:WB,1,6,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,-0.00029218234075503724,-0.00022762987644753263,0.19897407721332566
BFAS:BFAS:N:W,1,7,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,-0.00034935040338798795,-0.00036291143955419214,0.19861116577377147
HEXACO:H:E:A,1,8,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,-0.000481960384463076,-0.0006015895235145785,0.1980095762502569
EPQr:EPQ:N,2,1,,0.00303217660334848,0.0029011715181172237,0.18534851638236144
PS:PS:S,2,2,EPQr:EPQ:N,0.001885753382713573,0.00213889845234283,0.18748741483470427
HEXACO:H:X:L,2,3,EPQr:EPQ:N;PS:PS:S,0.001279369558315424,0.0017586224895231595,0.18924603732422743
IPIPneo:E6:CH,2,4,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.0004763908112824511,-0.00018122688745628168,0.18906481043677115
IPIPneo:N6:VU,2,5,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,-5.091188402639446e-06,-0.00021284259138951156,0.18885196784538164
MPQ:MPQ:WB,2,6,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,-0.00044783961575270426,-0.00024876806864240764,0.18860319977673923
HEXACO:H:E:A,2,7,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,-0.0005663767959733501,-0.0005773568604063029,0.18802584291633292
