family,concept,rank_distinct_final,standalone_delta_profile_r2,standalone_ci_low,standalone_ci_high,standalone_delta_macro_r,dimensions_improved,top_improved_dimensions,bigfive_secondary_delta_r2,hifwb_secondary_delta_r2,respondent_coverage_n,missing_fraction,item_count,maximum_residual_r_with_preceding,outer_top5_frequency,split_top5_frequency,status
EPQr:EPQ:N,Broad negative emotionality,1.0,0.003014235751458,0.0023945576243987,0.0036726804479421,0.0035974271905415,51,BFAS:BFAS:N:V;HEXACO:H:E:D;IPIPneo:N1:ANX;IPIPneo:N4:SC;IPIPneo:N5:IM,0.031841336970965,0.0278772228392392,11724,0.504877739769416,21,0.0,1.0,1.0,distinct_final_order
PS:PS:S,Behavioral and emotional self-regulation,2.0,0.0027196283569175,0.0021247595963251,0.0033135410531105,0.0034112513767258,55,HEXACO:H:C:PR;BFAS:BFAS:C:I;IPIPneo:C6:CA;HEXACO:H:O:C;IPIPneo:C3:DU,0.0126249518730101,0.0121225339521099,7727,0.673677097850416,14,0.269018574781232,1.0,1.0,distinct_final_order
HEXACO:H:X:L,Energy and stamina,3.0,0.0016902968508918,0.0012235878197046,0.0021710012477851,0.0018575263388785,45,IPIPneo:E4:AL;EPQr:EPQ:E;HEXACO:H:X:S;HEXACO:H:C:D;IPIPneo:C4:AS,0.0207422111137967,0.0174335082983336,6413,0.7291693061362389,6,0.1688317438608732,1.0,1.0,distinct_final_order
IPIPneo:E6:CH,Cheerfulness and amusement,4.0,0.0004476500220825,8.709388415591161e-05,0.0008064782630788,0.0005885036355201,35,QB6:QB6:X;IPIPneo:E5:ES;IPIPneo:N5:IM;IPIPneo:O1:IM;HEXACO:H:X:E,0.0017346012866318,0.0005569561917747,3041,0.8715739684952912,6,0.1072395149030704,1.0,0.8,distinct_final_order
IPIPneo:N6:VU,Coping under pressure,5.0,0.0003148368794178,1.631847245448618e-05,0.0006500632238396,0.0003527375519709,36,IPIPneo:C5:SD;BFAS:BFAS:O:I;IPIPneo:C1:SE;IPIPneo:N1:ANX;IPIPneo:N4:SC,0.0033851571169288,0.0005337934658871,1758,0.9257569998733056,4,0.2424258595490815,1.0,0.9,distinct_final_order
MPQ:MPQ:WB,Positive expectations and perceived good fortune,6.0,-0.000422746782111,-0.0006270996650888,-0.0002041288464338,-0.0004343610505634,22,IPIPneo:E5:ES;MPQ:MPQ:HA;EPQr:EPQ:E;IPIPneo:C5:SD;IPIPneo:E1:FR,0.0013702803201944,0.0025408475749184,1182,0.9500823514506525,3,0.298755656343023,0.0,0.15,distinct_final_order
HEXACO:H:E:A,Worry and intrusive anxious thoughts,7.0,-0.0003456623580258,-0.0005513384088445,-0.000151789391277,-0.0003888846136111,20,IPIPneo:C5:SD;IPIPneo:N1:ANX;IPIPneo:N4:SC;IPIPneo:O3:EM;IPIPneo:C1:SE,0.0008193802016686,0.0003977175849798,910,0.961569323028844,3,0.3520525106693021,0.0,0.0,distinct_final_order
BFAS:BFAS:N:W,Discouragement and self-doubt,8.0,-5.626919763460081e-05,-0.0003046071145133,0.0001861088019794,-1.5351689063691776e-05,28,HEXACO:H:O:C;IPIPneo:N4:SC;HEXACO:H:E:D;QB6:QB6:O;IPIPneo:C1:SE,0.0020978201671169,0.0009259319505141,890,0.9624139532919463,3,0.5158638791659182,0.0,0.15,distinct_final_order
QB6:QB6:ES,Broad emotional stability,,0.0001457200589135,-0.0001189072051036,0.0003880946887125,0.0001960738828401,28,IPIPneo:N1:ANX;IPIPneo:N4:SC;HEXACO:H:E:D;HEXACO:H:A:FL;IPIPneo:C2:OR,0.0025654022687352,0.0038219951515752,2363,0.9002069344144601,5,0.0,0.0,0.0,redundant_group_alternative
