fold,analysis,macro_r2,alpha
1,bridge_only,0.07004590523845995,100.0
1,bigfive_only,0.18495138262665134,10.0
1,bridge_plus_bigfive,0.19337860151191716,100.0
1,distinct_k0,0.19337860151191716,100.0
1,distinct_k1,0.19573705722575782,100.0
1,distinct_k2,0.19707475966679294,100.0
1,distinct_k3,0.19863450793457343,100.0
1,distinct_k4,0.19906450926492836,100.0
1,distinct_k5,0.1992017070897732,100.0
1,distinct_k6,0.19897407721332566,100.0
1,distinct_k7,0.19861116577377147,100.0
1,distinct_k8,0.1980095762502569,100.0
1,unrestricted_k0,0.19337860151191716,100.0
1,unrestricted_k1,0.19573705722575782,100.0
1,unrestricted_k2,0.19707475966679294,100.0
1,unrestricted_k3,0.19863450793457343,100.0
1,unrestricted_k4,0.19906450926492836,100.0
1,unrestricted_k5,0.1992017070897732,100.0
1,unrestricted_k6,0.19897407721332566,100.0
1,unrestricted_k7,0.19861116577377147,100.0
1,unrestricted_k8,0.19826938805497957,100.0
1,residual_0.70_k0,0.19337860151191716,100.0
1,residual_0.70_k1,0.19573705722575782,100.0
1,residual_0.70_k2,0.19707475966679294,100.0
1,residual_0.70_k3,0.19863450793457343,100.0
1,residual_0.70_k4,0.19906450926492836,100.0
1,residual_0.70_k5,0.1992017070897732,100.0
1,residual_0.70_k6,0.19897407721332566,100.0
1,residual_0.70_k7,0.19861116577377147,100.0
1,residual_0.70_k8,0.1980095762502569,100.0
1,residual_0.90_k0,0.19337860151191716,100.0
1,residual_0.90_k1,0.19573705722575782,100.0
1,residual_0.90_k2,0.19707475966679294,100.0
1,residual_0.90_k3,0.19863450793457343,100.0
1,residual_0.90_k4,0.19906450926492836,100.0
1,residual_0.90_k5,0.1992017070897732,100.0
1,residual_0.90_k6,0.19897407721332566,100.0
1,residual_0.90_k7,0.19861116577377147,100.0
1,residual_0.90_k8,0.1980095762502569,100.0
2,bridge_only,0.06653436097719552,100.0
2,bigfive_only,0.17651237812294465,10.0
2,bridge_plus_bigfive,0.18244734486424422,100.0
2,distinct_k0,0.18244734486424422,100.0
2,distinct_k1,0.18534851638236144,100.0
2,distinct_k2,0.18748741483470427,100.0
2,distinct_k3,0.18924603732422743,100.0
2,distinct_k4,0.18906481043677115,100.0
2,distinct_k5,0.18885196784538164,100.0
2,distinct_k6,0.18860319977673923,100.0
2,distinct_k7,0.18802584291633292,100.0
2,distinct_k8,0.18785667924630275,100.0
2,unrestricted_k0,0.18244734486424422,100.0
2,unrestricted_k1,0.18534851638236144,100.0
2,unrestricted_k2,0.18748741483470427,100.0
2,unrestricted_k3,0.18924603732422743,100.0
2,unrestricted_k4,0.18906481043677115,100.0
2,unrestricted_k5,0.18885196784538164,100.0
2,unrestricted_k6,0.18895659212988652,100.0
2,unrestricted_k7,0.18871902168175125,100.0
2,unrestricted_k8,0.18807545397820974,100.0
2,residual_0.70_k0,0.18244734486424422,100.0
2,residual_0.70_k1,0.18534851638236144,100.0
2,residual_0.70_k2,0.18748741483470427,100.0
2,residual_0.70_k3,0.18924603732422743,100.0
2,residual_0.70_k4,0.18906481043677115,100.0
2,residual_0.70_k5,0.18885196784538164,100.0
2,residual_0.70_k6,0.18860319977673923,100.0
2,residual_0.70_k7,0.18802584291633292,100.0
2,residual_0.70_k8,0.18785667924630275,100.0
2,residual_0.90_k0,0.18244734486424422,100.0
2,residual_0.90_k1,0.18534851638236144,100.0
2,residual_0.90_k2,0.18748741483470427,100.0
2,residual_0.90_k3,0.18924603732422743,100.0
2,residual_0.90_k4,0.18906481043677115,100.0
2,residual_0.90_k5,0.18885196784538164,100.0
2,residual_0.90_k6,0.18860319977673923,100.0
2,residual_0.90_k7,0.18802584291633292,100.0
2,residual_0.90_k8,0.18785667924630275,100.0
3,bridge_only,0.06937942062045396,100.0
3,bigfive_only,0.1826585428518575,10.0
3,bridge_plus_bigfive,0.1871675168242186,100.0
3,distinct_k0,0.1871675168242186,100.0
3,distinct_k1,0.1917904060685119,100.0
3,distinct_k2,0.194071533816319,100.0
3,distinct_k3,0.19565270033006346,100.0
3,distinct_k4,0.19563022099823613,100.0
3,distinct_k5,0.19629642978255066,100.0
3,distinct_k6,0.19580868055714076,100.0
3,distinct_k7,0.19575791844922796,100.0
3,distinct_k8,0.19555850494902371,100.0
3,unrestricted_k0,0.1871675168242186,100.0
3,unrestricted_k1,0.1917904060685119,100.0
3,unrestricted_k2,0.194071533816319,100.0
3,unrestricted_k3,0.19565270033006346,100.0
3,unrestricted_k4,0.19563022099823613,100.0
3,unrestricted_k5,0.19629642978255066,100.0
3,unrestricted_k6,0.19580868055714076,100.0
3,unrestricted_k7,0.19567054127797584,100.0
3,unrestricted_k8,0.19562761972548456,100.0
3,residual_0.70_k0,0.1871675168242186,100.0
3,residual_0.70_k1,0.1917904060685119,100.0
3,residual_0.70_k2,0.194071533816319,100.0
3,residual_0.70_k3,0.19565270033006346,100.0
3,residual_0.70_k4,0.19563022099823613,100.0
3,residual_0.70_k5,0.19629642978255066,100.0
3,residual_0.70_k6,0.19580868055714076,100.0
3,residual_0.70_k7,0.19575791844922796,100.0
3,residual_0.70_k8,0.19555850494902371,100.0
3,residual_0.90_k0,0.1871675168242186,100.0
3,residual_0.90_k1,0.1917904060685119,100.0
3,residual_0.90_k2,0.194071533816319,100.0
3,residual_0.90_k3,0.19565270033006346,100.0
3,residual_0.90_k4,0.19563022099823613,100.0
3,residual_0.90_k5,0.19629642978255066,100.0
3,residual_0.90_k6,0.19580868055714076,100.0
3,residual_0.90_k7,0.19575791844922796,100.0
3,residual_0.90_k8,0.19555850494902371,100.0
4,bridge_only,0.07994195923418036,100.0
4,bigfive_only,0.19271331052168253,10.0
4,bridge_plus_bigfive,0.20020746894474667,100.0
4,distinct_k0,0.20020746894474667,100.0
4,distinct_k1,0.20156579511989897,100.0
4,distinct_k2,0.2031676594000121,100.0
4,distinct_k3,0.2046971232359424,100.0
4,distinct_k4,0.20583662613852927,100.0
4,distinct_k5,0.20608392217115906,100.0
4,distinct_k6,0.2061614269319471,100.0
4,distinct_k7,0.20542122194056184,100.0
4,distinct_k8,0.2052790373600808,100.0
4,unrestricted_k0,0.20020746894474667,100.0
4,unrestricted_k1,0.20156579511989897,100.0
4,unrestricted_k2,0.2031676594000121,100.0
4,unrestricted_k3,0.2046971232359424,100.0
4,unrestricted_k4,0.20583662613852927,100.0
4,unrestricted_k5,0.20608392217115906,100.0
4,unrestricted_k6,0.2061949575448047,100.0
4,unrestricted_k7,0.20628315020416105,100.0
4,unrestricted_k8,0.2055520367323201,100.0
4,residual_0.70_k0,0.20020746894474667,100.0
4,residual_0.70_k1,0.20156579511989897,100.0
4,residual_0.70_k2,0.2031676594000121,100.0
4,residual_0.70_k3,0.2046971232359424,100.0
4,residual_0.70_k4,0.20583662613852927,100.0
4,residual_0.70_k5,0.20608392217115906,100.0
4,residual_0.70_k6,0.2061614269319471,100.0
4,residual_0.70_k7,0.20542122194056184,100.0
4,residual_0.70_k8,0.2052790373600808,100.0
4,residual_0.90_k0,0.20020746894474667,100.0
4,residual_0.90_k1,0.20156579511989897,100.0
4,residual_0.90_k2,0.2031676594000121,100.0
4,residual_0.90_k3,0.2046971232359424,100.0
4,residual_0.90_k4,0.20583662613852927,100.0
4,residual_0.90_k5,0.20608392217115906,100.0
4,residual_0.90_k6,0.2061614269319471,100.0
4,residual_0.90_k7,0.20542122194056184,100.0
4,residual_0.90_k8,0.2052790373600808,100.0
5,bridge_only,0.07014084984178202,100.0
5,bigfive_only,0.18297908935896556,10.0
5,bridge_plus_bigfive,0.18902250465153742,100.0
5,distinct_k0,0.18902250465153742,100.0
5,distinct_k1,0.19288688499803233,100.0
5,distinct_k2,0.19540066098099362,100.0
5,distinct_k3,0.19641665484526927,100.0
5,distinct_k4,0.1961729943333118,100.0
5,distinct_k5,0.19659619384395066,100.0
5,distinct_k6,0.19628736407646086,100.0
5,distinct_k7,0.19567227789129218,100.0
5,distinct_k8,0.19535903112612588,100.0
5,unrestricted_k0,0.18902250465153742,100.0
5,unrestricted_k1,0.19288688499803233,100.0
5,unrestricted_k2,0.19540066098099362,100.0
5,unrestricted_k3,0.19641665484526927,100.0
5,unrestricted_k4,0.1961729943333118,100.0
5,unrestricted_k5,0.19659619384395066,100.0
5,unrestricted_k6,0.19628736407646086,100.0
5,unrestricted_k7,0.19567227789129218,100.0
5,unrestricted_k8,0.19535903112612588,100.0
5,residual_0.70_k0,0.18902250465153742,100.0
5,residual_0.70_k1,0.19288688499803233,100.0
5,residual_0.70_k2,0.19540066098099362,100.0
5,residual_0.70_k3,0.19641665484526927,100.0
5,residual_0.70_k4,0.1961729943333118,100.0
5,residual_0.70_k5,0.19659619384395066,100.0
5,residual_0.70_k6,0.19628736407646086,100.0
5,residual_0.70_k7,0.19567227789129218,100.0
5,residual_0.70_k8,0.19535903112612588,100.0
5,residual_0.90_k0,0.18902250465153742,100.0
5,residual_0.90_k1,0.19288688499803233,100.0
5,residual_0.90_k2,0.19540066098099362,100.0
5,residual_0.90_k3,0.19641665484526927,100.0
5,residual_0.90_k4,0.1961729943333118,100.0
5,residual_0.90_k5,0.19659619384395066,100.0
5,residual_0.90_k6,0.19628736407646086,100.0
5,residual_0.90_k7,0.19567227789129218,100.0
5,residual_0.90_k8,0.19535903112612588,100.0
