family,target,baseline_r2,candidate_r2,delta_r2
BFAS:BFAS:N:W,BFAS:BFAS:A:C,0.2752415204521521,0.27501892408771755,-0.00022259636443455744
BFAS:BFAS:N:W,BFAS:BFAS:A:P,0.13728131607445693,0.1379331720374991,0.0006518559630421805
BFAS:BFAS:N:W,BFAS:BFAS:C:I,0.27240724578999154,0.27254914340987746,0.0001418976198859223
BFAS:BFAS:N:W,BFAS:BFAS:C:O,0.1802797798388266,0.18021544853152183,-6.433130730476577e-05
BFAS:BFAS:N:W,BFAS:BFAS:E:A,0.29742663863956864,0.2973583549625839,-6.828367698474835e-05
BFAS:BFAS:N:W,BFAS:BFAS:N:V,0.2220636365578451,0.21944658753350843,-0.0026170490243366817
BFAS:BFAS:N:W,BFAS:BFAS:O:I,0.22619625289866152,0.2259799321580609,-0.00021632074060062845
BFAS:BFAS:N:W,BFAS:BFAS:O:O,0.10948438645703873,0.10912953184686225,-0.00035485461017648046
BFAS:BFAS:N:W,EPQr:EPQ:E,0.27248820570127386,0.27251003418965103,2.182848837717355e-05
BFAS:BFAS:N:W,EPQr:EPQ:P,0.10918889288382172,0.10918150047486674,-7.392408954975949e-06
BFAS:BFAS:N:W,HEXACO:H:A:FL,0.1375707921994529,0.13753534032781511,-3.545187163778163e-05
BFAS:BFAS:N:W,HEXACO:H:A:FO,0.13812147068819935,0.13856567042999024,0.00044419974179088495
BFAS:BFAS:N:W,HEXACO:H:A:G,0.17446791762969982,0.17455873957206725,9.082194236742502e-05
BFAS:BFAS:N:W,HEXACO:H:A:P,0.27481013792268094,0.2732368392001937,-0.0015732987224872375
BFAS:BFAS:N:W,HEXACO:H:C:D,0.2785292149075048,0.27833588832036815,-0.00019332658713666628
BFAS:BFAS:N:W,HEXACO:H:C:O,0.22200936290656825,0.2228024147684463,0.000793051861878058
BFAS:BFAS:N:W,HEXACO:H:C:PE,0.12335784611714795,0.12302159826643466,-0.00033624785071328933
BFAS:BFAS:N:W,HEXACO:H:C:PR,0.18559993815070053,0.18638707195645332,0.0007871338057527932
BFAS:BFAS:N:W,HEXACO:H:E:D,0.13759616213087955,0.13971501138404552,0.0021188492531659664
