outer_fold,path_type,k,added_family,selected_families,inner_macro_r2,inner_increment,alpha,outer_macro_r2,distinct_group_count
1,distinct,0,,,0.1825672310209744,0.0,100.0,0.19337860151191716,8
1,distinct,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1859622447926685,0.0033950137716941,100.0,0.19573705722575782,8
1,distinct,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18788155862308809,0.0019193138304195723,100.0,0.19707475966679294,8
1,distinct,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.18919142168620398,0.0013098630631158958,100.0,0.19863450793457343,8
1,distinct,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.18902711741076475,-0.00016430427543923098,100.0,0.19906450926492836,8
1,distinct,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18881550608123568,-0.00021161132952907113,100.0,0.1992017070897732,8
1,distinct,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.18852332374048064,-0.00029218234075503724,100.0,0.19897407721332566,8
1,distinct,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,0.18817397333709265,-0.00034935040338798795,100.0,0.19861116577377147,8
1,distinct,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W;HEXACO:H:E:A,0.18769201295262958,-0.000481960384463076,100.0,0.1980095762502569,8
1,unrestricted,0,,,0.1825672310209744,0.0,100.0,0.19337860151191716,8
1,unrestricted,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1859622447926685,0.0033950137716941,100.0,0.19573705722575782,8
1,unrestricted,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18788155862308809,0.0019193138304195723,100.0,0.19707475966679294,8
1,unrestricted,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.18919142168620398,0.0013098630631158958,100.0,0.19863450793457343,8
1,unrestricted,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.18902711741076475,-0.00016430427543923098,100.0,0.19906450926492836,8
