family,outer_selected_top5_frequency,outer_selected_first_frequency,outer_mean_rank,split_selected_top5_frequency,split_selected_first_frequency,split_mean_rank,outer_folds,split_replicates
BFAS:BFAS:N:W,0.0,0.0,7.0,0.15,0.0,6.85,5,20
HEXACO:H:E:A,0.0,0.0,7.4,0.0,0.0,7.2,5,20
HEXACO:H:X:L,1.0,0.0,3.0,1.0,0.0,2.85,5,20
QB6:QB6:ES,0.0,0.0,,0.0,0.0,,5,20
MPQ:MPQ:WB,0.0,0.0,6.6,0.15,0.0,6.55,5,20
IPIPneo:E6:CH,1.0,0.0,4.2,0.8,0.0,4.65,5,20
IPIPneo:N6:VU,1.0,0.0,4.8,0.9,0.0,4.75,5,20
EPQr:EPQ:N,1.0,1.0,1.0,1.0,0.75,1.3,5,20
PS:PS:S,1.0,0.0,2.0,1.0,0.25,1.85,5,20
