dimension,source_scale_id,instrument,source_items,item_count,respondent_total,observed_at_least_one_n,documented_at_least_two_n,one_item_scores_retained_by_code,missing_fraction_two_item_rule,inventory_rule,manifest_rule,code_rule,applied_reverse_count,exact_official_keys,bridge41_overlap,bridge45_overlap,bigfive_overlap,status
IPIP100_B5_A,IPIP100:B5:A,IPIP100,q_140;q_146;q_150;q_195;q_200;q_217;q_838;q_844;q_1041;q_1053;q_1162;q_1163;q_1206;q_1364;q_1385;q_1419;q_1705;q_1763;q_1792;q_1832,20,23679,23231,21264,1967,0.10198910426960597,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,IPIP100agree,4,4,20,REJECTED_AS_FROZEN_TARGET
IPIP100_B5_C,IPIP100:B5:C,IPIP100,q_76;q_124;q_530;q_619;q_626;q_904;q_931;q_962;q_1254;q_1255;q_1290;q_1333;q_1374;q_1397;q_1422;q_1452;q_1483;q_1507;q_1696;q_1949,20,23679,22408,18584,3824,0.2151695595253178,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,IPIP100consc,3,3,20,REJECTED_AS_FROZEN_TARGET
IPIP100_B5_E,IPIP100:B5:E,IPIP100,q_55;q_241;q_254;q_262;q_403;q_690;q_698;q_712;q_815;q_819;q_901;q_1114;q_1180;q_1205;q_1410;q_1480;q_1742;q_1768;q_1803;q_1913,20,23679,22190,17655,4535,0.25440263524642087,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,,3,3,19,REJECTED_AS_FROZEN_TARGET
IPIP100_B5_ES,IPIP100:B5:ES,IPIP100,q_108;q_177;q_248;q_497;q_890;q_952;q_960;q_974;q_979;q_986;q_995;q_1020;q_1099;q_1479;q_1505;q_1585;q_1677;q_1683;q_1775;q_1989,20,23679,21671,15458,6213,0.3471852696482115,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,IPIP100stability,3,3,20,REJECTED_AS_FROZEN_TARGET
IPIP100_B5_O,IPIP100:B5:O,IPIP100,q_128;q_132;q_194;q_240;q_316;q_422;q_492;q_493;q_609;q_1050;q_1058;q_1083;q_1088;q_1090;q_1388;q_1392;q_1738;q_1861;q_1893;q_1964,20,23679,22935,20167,2768,0.14831707420076862,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,IPIP100intel,1,1,20,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_A_C,BFAS:BFAS:A:C,BFAS,q_146;q_195;q_460;q_668;q_844;q_1162;q_1307;q_1763;q_1766;q_1774,10,23679,20709,12799,7910,0.45947886312766584,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFAScomp,3,3,5,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_A_P,BFAS:BFAS:A:P,BFAS,q_225;q_319;q_364;q_1031;q_1163;q_1359;q_1556;q_1624;q_1663;q_1765,10,23679,17041,8389,8652,0.645719836141729,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASpolite,3,3,1,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_C_I,BFAS:BFAS:C:I,BFAS,q_44;q_107;q_491;q_706;q_904;q_930;q_988;q_1429;q_1521;q_1949,10,23679,16488,7000,9488,0.7043794079141855,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASindustry,1,1,2,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_C_O,BFAS:BFAS:C:O,BFAS,q_169;q_170;q_582;q_931;q_1201;q_1255;q_1290;q_1657;q_1915;q_1917,10,23679,20837,13087,7750,0.44731618733899237,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASorder,1,1,3,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_E_A,BFAS:BFAS:E:A,BFAS,q_260;q_455;q_1055;q_1151;q_1205;q_1242;q_1652;q_1768;q_1913;q_2161,10,23679,21318,13939,7379,0.4113349381308332,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASassert,2,2,3,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_N_V,BFAS:BFAS:N:V,BFAS,q_52;q_176;q_413;q_497;q_952;q_965;q_995;q_1185;q_1585;q_1588,10,23679,16077,6514,9563,0.7249039233075721,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASvolatile,4,4,4,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_O_I,BFAS:BFAS:O:I,BFAS,q_240;q_316;q_322;q_422;q_946;q_1050;q_1088;q_1253;q_1327;q_1834,10,23679,20846,13216,7630,0.44186832214198235,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASintel,0,0,5,REJECTED_AS_FROZEN_TARGET
BFAS_BFAS_O_O,BFAS:BFAS:O:O,BFAS,q_348;q_612;q_776;q_964;q_1389;q_1441;q_1648;q_1675;q_1682;q_1687,10,23679,16887,7147,9740,0.6981713754803834,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,BFASopen,2,2,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_A_FL,HEXACO:H:A:FL,HEXACO,q_39;q_80;q_134;q_139;q_141;q_142;q_477;q_997;q_1601;q_1957,10,23679,15824,6309,9515,0.733561383504371,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HAFlex,0,0,0,REJECTED_AS_FROZEN_TARGET
