fold,train_n,test_n,train_index_hash,test_index_hash,distinct_max_k,seconds
1,17879,4470,f43765524ea98f41748bb45134f0c817e6acbda0d1d1381734c7639ed2609c01,00a46c54e52741ae2185f69047d727c4d4e63bbb0d5b8d59ecd5795fd6e96e2c,8,5.794841051101685
2,17879,4470,2322aded5c8103fda205aaff1de5a41cad75f78aaa58313c65f286288981087f,ac733aa5d378edd4be6a0099ce9148e9dd9f70ab08d18cd2e3f9bc631cbac4c3,8,6.044429063796997
3,17879,4470,6bfa7bb7f739060ea6b94da348c79f0eb6970897fa78d3a81b9f815efd43e183,09510d9f94e73c1fbc2d0dd00ba1072a3286239c7fb2e8bba0b3ccaa3c1b9696,8,5.895699977874756
4,17879,4470,c2a549dea0ba14f8ffa2c98453fb5f29714d020b67ed321794a0d790592c6f41,c4b3eec5cbfb4e1a2bfde754f5f6ba8e6a79810356e44f6e344ece4f8d62ee61,8,5.946329832077026
5,17880,4469,405b500e0e9290edd1445969db22667ef5785f54d955bfc455c713d5b6f15ab7,0c6502c417f3f78d02a982dd17cd1f6db1532ffeca4813800071892f9adc3300,8,5.870909929275513
