family,concept,official_key,items,signs,item_count,original_key_item_count,observed_ge2_n,missing_fraction,included,reason
BFAS:BFAS:E:E,BFAS:E:E,BFASenthus,q_1583;q_2160,q_1583:-1;q_2160:-1,2,10,334,0.9858946746061912,False,coverage_below_2_percent
BFAS:BFAS:N:W,Discouragement and self-doubt,BFASwithdraw,q_105;q_126;q_332,q_105:+1;q_126:+1;q_332:+1,3,10,890,0.9624139532919465,True,retained
HEXACO:H:E:A,Worry and intrusive anxious thoughts,HEAnxiety,q_1495;q_1596;q_994,q_1495:-1;q_1596:+1;q_994:-1,3,10,910,0.9615693230288441,True,retained
HEXACO:H:X:L,Energy and stamina,HXLiveliness,q_1104;q_1393;q_1709;q_1848;q_279;q_861,q_1104:+1;q_1393:+1;q_1709:+1;q_1848:-1;q_279:+1;q_861:+1,6,10,6413,0.7291693061362389,True,retained
QB6:QB6:ES,Broad emotional stability,QB6resilient,q_1596;q_1610;q_2786;q_549;q_811,q_1596:+1;q_1610:+1;q_2786:-1;q_549:-1;q_811:-1,5,8,2363,0.9002069344144601,True,retained
MPQ:MPQ:WB,Positive expectations and perceived good fortune,MPQwb,q_1175;q_1567;q_839,q_1175:+1;q_1567:+1;q_839:+1,3,10,1182,0.9500823514506525,True,retained
IPIPneo:E6:CH,Cheerfulness and amusement,NEOe6,q_1244;q_1248;q_1567;q_175;q_296;q_799,q_1244:+1;q_1248:+1;q_1567:-1;q_175:-1;q_296:+1;q_799:+1,6,10,3041,0.8715739684952912,True,retained
IPIPneo:N6:VU,Coping under pressure,NEOn6,q_1209;q_332;q_423;q_469,q_1209:-1;q_332:+1;q_423:-1;q_469:+1,4,10,1758,0.9257569998733055,True,retained
EPQr:EPQ:N,Broad negative emotionality,EPQn,q_4224;q_4228;q_4232;q_4235;q_4239;q_4242;q_4246;q_4252;q_4258;q_4263;q_4269;q_4273;q_4277;q_4280;q_4282;q_4285;q_4287;q_4290;q_4294;q_4298;q_4300,q_4224:+1;q_4228:+1;q_4232:+1;q_4235:+1;q_4239:+1;q_4242:+1;q_4246:+1;q_4252:+1;q_4258:+1;q_4263:+1;q_4269:+1;q_4273:+1;q_4277:+1;q_4280:+1;q_4282:+1;q_4285:+1;q_4287:+1;q_4290:+1;q_4294:+1;q_4298:+1;q_4300:+1,21,24,11724,0.504877739769416,True,retained
PS:PS:S,Stress reactivity,PSs,q_1022;q_1477;q_1697;q_1798;q_1840;q_201;q_26;q_2821;q_3691;q_824;q_878;q_919;q_920;q_978,q_1022:-1;q_1477:-1;q_1697:-1;q_1798:-1;q_1840:+1;q_201:-1;q_26:-1;q_2821:-1;q_3691:-1;q_824:+1;q_878:-1;q_919:-1;q_920:-1;q_978:-1,14,20,7727,0.673677097850416,True,retained
