comparison_set,role_or_run,filter_condition,matched_n,usable_matched_n,original_n,mean_distance_to_centroid_median,mean_distance_to_centroid_ci_low,mean_distance_to_centroid_ci_high,median_distance_to_centroid_median,median_distance_to_centroid_ci_low,median_distance_to_centroid_ci_high,rms_radius_median,rms_radius_ci_low,rms_radius_ci_high,anisotropy_ratio_2d_l1_l2_median,anisotropy_ratio_2d_l1_l2_ci_low,anisotropy_ratio_2d_l1_l2_ci_high,anisotropy_ratio_3d_l1_mean_rest_median,anisotropy_ratio_3d_l1_mean_rest_ci_low,anisotropy_ratio_3d_l1_mean_rest_ci_high,first_pc_explained_variance_2d_median,first_pc_explained_variance_2d_ci_low,first_pc_explained_variance_2d_ci_high,first_pc_explained_variance_3d_median,first_pc_explained_variance_3d_ci_low,first_pc_explained_variance_3d_ci_high,orientation_angle_median,orientation_abs_deviation_median,orientation_abs_deviation_p95,orientation_stability_width_p90,ellipse_area_95_pc1_pc2_median,ellipse_area_95_pc1_pc2_ci_low,ellipse_area_95_pc1_pc2_ci_high,convex_hull_area_pc1_pc2_median,convex_hull_area_pc1_pc2_ci_low,convex_hull_area_pc1_pc2_ci_high,ellipsoid_volume_95_pc123_median,ellipsoid_volume_95_pc123_ci_low,ellipsoid_volume_95_pc123_ci_high
all_response_clouds_only,amateur,all,60,True,60,23.5127871680239,20.714804214947854,25.98001741635922,21.92679438593893,17.859677349354698,26.17426153903444,25.315855252830488,22.492827631232164,27.88679865137779,1.8971720888391328,1.2262582499297006,3.518026686233253,2.617550033374284,1.7631526422416783,4.04959054110163,0.6548358287432106,0.5508153111531328,0.7786643237565931,0.5668698455325014,0.46852721647072576,0.6693881793534684,144.5,7.615788240992416,27.976064848099224,55.95212969619845,4545.763201867983,3392.4047953972913,5793.101091270623,2938.791760990345,2154.0311626010866,3311.849617512392,231814.36128701075,170451.29507690857,306890.0666561862
all_response_clouds_only,editor_matched64_1024,all,60,True,64,26.367657017268797,23.108608040242643,29.25930217393109,24.238125419441996,21.365345833030993,27.321178400985026,28.511376061145782,24.56877350035593,31.676604083728936,2.1051646693124337,1.4539007114980655,3.216350854835712,3.4762080447619974,2.375837425124314,5.241569639797196,0.6779557848514461,0.5924657276720324,0.7628268378831926,0.6347837796776213,0.5429351949546172,0.7238167744456292,141.75,8.16830490735262,25.60018162811409,51.20036325622818,5441.426237533927,3951.3216829077433,6608.8161559144355,3425.0412975038726,2412.842540858909,3830.5625773875463,286355.0570042876,197510.464664293,367724.8697904513
all_response_clouds_only,editor_phase1_128,all,60,True,128,28.347281020323788,25.05826532170962,31.97093053164421,26.637545250976085,22.9240188771962,30.15910569656561,31.036918040842046,27.407372539015114,35.03915416358025,2.3703733193024403,1.544548474041917,3.633004086919321,3.719440635105341,2.453701097026528,5.614917817953073,0.7032969574189301,0.6070028321468265,0.7841572207230338,0.6503154115824847,0.5509282245452245,0.7373511671796573,147.75,6.076251940543045,21.844945776435665,43.68989155287133,6451.429998612541,4894.5024208859495,8277.336063665027,4304.868309450521,3085.0068179931077,5333.238588450781,365081.68037197634,266737.6148097678,490169.8604877352
all_response_clouds_only,playwright,all,60,True,60,26.798302389671512,24.216585744074916,29.361065215732804,26.098148562658416,22.372477682373123,29.42879546246213,28.7754560575963,26.034937297998784,31.856298598245377,4.33109777090929,3.071548020233805,5.831171400147874,5.255814574529406,3.7166503654706453,7.236173543067884,0.8124213068074636,0.7543931675958587,0.8535815627892023,0.7243588991501826,0.6501445278278319,0.783459827038397,167.5,3.4510717582514303,10.090565082154187,20.181130164308374,5471.485726965293,4449.26321688941,6657.739882454288,3158.0301971629306,2320.003291258794,3433.6505813596127,254275.0576993145,183976.8169200985,327029.619377967
all_response_clouds_only,trickster_phase1_1200,all,60,True,1200,19.95619757548678,17.94509000902274,21.88356909776346,19.765134034900548,16.941054295158942,22.342589780649895,21.494018327170735,19.28079868633782,23.374306922002706,1.6009261889439255,1.1354953987502499,2.713776838414486,2.464935546603218,1.7369079672861085,3.652865714834994,0.6155215541966539,0.5317232348406973,0.7307323342919367,0.5520652007724083,0.464798110896357,0.6461902667209907,88.75,11.977574522899971,44.02919589974957,88.05839179949913,3296.282181253435,2650.610817790325,4059.7978008222153,2221.0839642144106,1743.4218993322258,2829.004908720597,131070.68814575957,97872.6318812794,173275.22014161537
gpt41_score_ge2_filtered_clouds,amateur,gpt41_ge2,36,True,59,22.900736242236665,19.505563090509604,26.41277147093384,21.454098281310266,16.808396289878765,26.248070032583872,24.699887441582373,21.44615504558624,28.225918167264762,1.9541719392810095,1.1791781888432513,3.8400109175207264,2.6910586871593067,1.7806796242852394,4.912730738759192,0.6614956673601917,0.5411104203466436,0.7933888342263361,0.5736570072168661,0.4709945273164377,0.7106775924415094,143.75,11.170793251825046,40.53212026494129,81.06424052988258,4331.67942784815,2939.826401434845,6091.866139760393,2516.428745912342,1577.3476627296654,3199.934369907737,213808.89885241014,142523.16594461043,297564.4013343738
gpt41_score_ge2_filtered_clouds,editor_matched64_1024,gpt41_ge2,36,True,36,23.379191096773376,19.035627805383577,28.08049413876139,21.842162430777577,17.09017657706178,26.411093274112073,26.10873682166474,20.9392679231243,31.098739978903883,2.174537661224365,1.225675301104698,4.612581108242591,3.861265531025111,2.2350716568429445,6.9470755395347235,0.6849932007196105,0.5506981146612875,0.8218273386683659,0.6587767623412266,0.5277442660490252,0.7764628337819974,153.25,8.545270653709906,37.28291758588967,74.56583517177934,4563.666700070378,3007.710538099428,6360.165752082732,2614.4921621371655,1602.855582067911,3360.2619009675295,205321.39420556132,121477.29060499866,295562.8370624224
gpt41_score_ge2_filtered_clouds,editor_phase1_128,gpt41_ge2,36,True,57,25.61922014533871,21.618216485193678,30.660982869278424,24.573419884885105,20.020784375176298,29.444213767240214,28.334929125793533,23.440788501947235,33.486771855754455,2.1048404039138364,1.314432790575988,3.755619130313336,3.2425328022839324,1.9816982499978448,5.329238633126388,0.6779222417488016,0.5679286108520625,0.7897155977110285,0.6185050097579046,0.49769314910193396,0.7271203218225186,154.5,12.272480144976385,39.843150581714724,79.68630116342945,5736.271290711984,3720.512956252935,8202.791249541038,3332.6321192826763,1888.7311804308406,4472.660047877921,293927.17108576174,180589.57857899516,456671.7781295486
gpt41_score_ge2_filtered_clouds,playwright,gpt41_ge2,36,True,54,25.354744733826273,22.438780203198917,28.25620221511257,24.052409136537605,19.965044440139298,28.573994536755183,26.865701529053236,23.930739406677887,29.735714657845225,3.981606553458394,2.608908610308505,6.469210075688868,4.689127969674283,3.112340950770218,7.584095775197826,0.7992615445522293,0.7229079104525442,0.8661043002620248,0.7010073564801664,0.6087896387978373,0.7913199902851296,166.5,4.808489185680145,13.913865263991639,27.827730527983277,4893.67376397744,3713.844487917013,5983.179530880201,2243.7210386248726,1735.28087885654,2617.6145104155407,216796.86154286747,135704.6735727994,297020.16381838295
gpt41_score_ge2_filtered_clouds,trickster_phase1_1200,gpt41_ge2,36,True,1200,19.86184643153146,17.284979969462206,22.640919652222287,19.708228390797444,15.97579832469974,23.262673804960272,21.40683714590908,18.7049304399121,24.058957808565616,1.6784759163418248,1.1201518738964014,3.0395505527063733,2.5844211621518776,1.7332182427547038,4.577284132980092,0.6266533484140313,0.5283356462706158,0.7524460558009193,0.5637399075231626,0.46426919766400143,0.6959231244192247,93.5,14.175024415799257,65.15642016485378,130.31284032970757,3274.6673001279996,2389.1059361507027,4385.474348374757,1886.2290623786973,1346.302276981583,2469.1416537156224,129151.70041286615,87425.86324029253,187213.94477096538
