model,trait,primary_factor,primary_loading,secondary_factor,secondary_loading,communality,assignment_confidence,stability,clean_loading,cross_loading,weakly_explained,cross_loading_stability
Qwen,absolutist,Qwen_F3,-0.8214257159155501,Qwen_F5,0.43398187731785004,0.9626081127521863,0.3874438385977001,1.0,False,True,False,1.0
Qwen,abstract,Qwen_F3,-0.7146551551380553,Qwen_F2,-0.42163549313235915,0.9546760785988087,0.2930196620056962,1.0,False,True,False,1.0
Qwen,accessible,Qwen_F2,0.6213499933917394,Qwen_F1,-0.3356381481647551,0.9630574719364509,0.28571184522698423,1.0,False,True,False,1.0
Qwen,accommodating,Qwen_F5,-0.5624060651734024,Qwen_F2,0.47811565536024037,0.9745220306317302,0.08429040981316205,1.0,False,True,False,1.0
Qwen,acerbic,Qwen_F1,-0.931966649501086,Qwen_F5,0.2105155527472248,0.9677339571150266,0.7214510967538612,1.0,True,False,False,0.05
Qwen,adaptable,Qwen_F3,0.5558960992004778,Qwen_F2,0.529646898280328,0.9688786038779761,0.026249200920149818,0.55,False,True,False,1.0
Qwen,adventurous,Qwen_F1,-0.7372915893102048,Qwen_F4,-0.37596748504482014,0.978768592370932,0.36132410426538464,1.0,False,True,False,1.0
Qwen,agreeable,Qwen_F1,0.8267466337116306,Qwen_F5,-0.39987767767923116,0.9762525044334911,0.42686895603239944,0.95,False,True,False,0.95
Qwen,altruistic,Qwen_F1,0.6563972662218105,Qwen_F3,-0.5273545391468103,0.9205732524698599,0.1290427270750002,0.85,False,True,False,1.0
Qwen,analytical,Qwen_F3,0.4907173008738225,Qwen_F1,0.48120336943107245,0.9806392715835943,0.009513931442750034,0.6,False,True,False,1.0
Qwen,animated,Qwen_F1,-0.757608454743082,Qwen_F2,0.2920715075399734,0.9516362705147593,0.4655369472031086,1.0,True,False,False,0.5
Qwen,anthropocentric,Qwen_F5,0.6243725941550063,Qwen_F3,0.4777493849923944,0.8449583502927401,0.14662320916261196,1.0,False,True,False,1.0
Qwen,anxious,Qwen_F1,-0.9842541715353166,Qwen_F3,0.23847787808554763,0.9644913345713886,0.7457762934497689,1.0,True,False,False,0.0
Qwen,arrogant,Qwen_F1,-0.754004218666263,Qwen_F5,0.33992344009241665,0.9808917271086719,0.41408077857384634,1.0,False,True,False,0.95
Qwen,artistic,Qwen_F3,-0.5229124152041507,Qwen_F1,-0.44592547307474717,0.9741294285222242,0.07698694212940349,0.95,False,True,False,1.0
Qwen,ascetic,Qwen_F3,-0.9503858767524757,Qwen_F1,0.24187007983389303,0.8998843284586109,0.7085157969185827,1.0,True,False,False,0.1
Qwen,assertive,Qwen_F1,-0.667277553558476,Qwen_F5,0.4838210230175631,0.9788262761829313,0.18345653054091288,0.85,False,True,False,1.0
Qwen,avoidant,Qwen_F4,0.6749151275572466,Qwen_F3,0.3784688579839853,0.9170218662408145,0.2964462695732613,1.0,False,True,False,0.95
Qwen,benevolent,Qwen_F5,-0.5541635648527011,Qwen_F2,0.5355360929512805,0.9733155954938496,0.018627471901420667,0.7,False,True,False,1.0
Qwen,big_picture,Qwen_F3,-0.6763754563774786,Qwen_F1,0.5468171453048442,0.9074955087928103,0.1295583110726345,0.85,False,True,False,1.0
Qwen,bitter,Qwen_F1,-0.9356720047756607,Qwen_F3,-0.11715699613611913,0.9840554155822032,0.8185150086395416,1.0,True,False,False,0.0
Qwen,blunt,Qwen_F1,-0.6421359033906676,Qwen_F5,0.568608403973341,0.9439465437027652,0.07352749941732661,0.65,False,True,False,1.0
Qwen,bombastic,Qwen_F3,-0.6942780856122363,Qwen_F1,-0.3744007607083552,0.9289704359040262,0.31987732490388104,1.0,False,True,False,0.8
Qwen,calculating,Qwen_F1,0.846684393356844,Qwen_F2,-0.25945919701609915,0.9408915536339888,0.5872251963407449,1.0,True,False,False,0.4
Qwen,callous,Qwen_F5,0.5300851742948037,Qwen_F1,-0.5179564313867318,0.9789816259749755,0.012128742908071977,0.55,False,True,False,1.0
Qwen,calm,Qwen_F1,0.9076165735070677,Qwen_F2,-0.12083316966871904,0.9837244884085018,0.7867834038383487,1.0,True,False,False,0.0
Qwen,casual,Qwen_F1,-0.7585370801358938,Qwen_F2,0.37938143898558185,0.9830124322950708,0.379155641150312,1.0,False,True,False,1.0
Qwen,cautious,Qwen_F2,-0.6995506274450912,Qwen_F1,0.3689817873289292,0.9547297169122841,0.330568840116162,1.0,False,True,False,0.9
Qwen,challenging,Qwen_F1,-0.671254116211178,Qwen_F2,-0.4234579519516042,0.9545659447841057,0.24779616425957385,0.95,False,True,False,1.0
Qwen,chaotic,Qwen_F1,-0.759973750866268,Qwen_F4,-0.3670859420636589,0.9722932176570316,0.39288780880260904,1.0,False,True,False,1.0
Qwen,charismatic,Qwen_F1,-0.5753309183340302,Qwen_F4,-0.3852282433865139,0.9605277479339664,0.19010267494751626,1.0,False,True,False,1.0
Qwen,chill,Qwen_F5,-0.60333596033196,Qwen_F1,0.4996311129785227,0.9663541217938444,0.10370484735343732,0.8,False,True,False,0.95
Qwen,circumspect,Qwen_F1,0.6860530407654811,Qwen_F5,-0.6747065597310167,0.970907732202079,0.01134648103446445,0.65,False,True,False,1.0
Qwen,closure_seeking,Qwen_F5,0.99467965692181,Qwen_F4,0.25610097847204033,0.9232155305407203,0.7385786784497697,1.0,True,False,False,0.2
