model,variant,factors,factor_a,factor_b,correlation
Qwen,full_shrinkage,3,1,1,1.0000000000000002
Qwen,full_shrinkage,3,1,2,-0.025403929508311593
Qwen,full_shrinkage,3,1,3,0.1726115852624648
Qwen,full_shrinkage,3,2,1,-0.025403929508311593
Qwen,full_shrinkage,3,2,2,1.0000000000000004
Qwen,full_shrinkage,3,2,3,0.07039817846989549
Qwen,full_shrinkage,3,3,1,0.1726115852624648
Qwen,full_shrinkage,3,3,2,0.07039817846989549
Qwen,full_shrinkage,3,3,3,0.9999999999999999
Qwen,full_shrinkage,4,1,1,1.0000000000000002
Qwen,full_shrinkage,4,1,2,-0.023448570918632446
Qwen,full_shrinkage,4,1,3,0.17381147391665627
Qwen,full_shrinkage,4,1,4,0.1610553222425354
Qwen,full_shrinkage,4,2,1,-0.023448570918632446
Qwen,full_shrinkage,4,2,2,1.0000000000000002
Qwen,full_shrinkage,4,2,3,0.028180307052848342
Qwen,full_shrinkage,4,2,4,0.18788596505390331
Qwen,full_shrinkage,4,3,1,0.17381147391665627
Qwen,full_shrinkage,4,3,2,0.028180307052848342
Qwen,full_shrinkage,4,3,3,1.0
Qwen,full_shrinkage,4,3,4,0.2522886966430729
Qwen,full_shrinkage,4,4,1,0.1610553222425354
Qwen,full_shrinkage,4,4,2,0.18788596505390331
Qwen,full_shrinkage,4,4,3,0.2522886966430729
Qwen,full_shrinkage,4,4,4,1.0000000000000002
Qwen,full_shrinkage,5,1,1,1.0
Qwen,full_shrinkage,5,1,2,-0.24833957462048797
Qwen,full_shrinkage,5,1,3,0.1643686334772504
Qwen,full_shrinkage,5,1,4,0.26997372631478744
Qwen,full_shrinkage,5,1,5,-0.09425729848176329
Qwen,full_shrinkage,5,2,1,-0.24833957462048797
Qwen,full_shrinkage,5,2,2,1.0000000000000002
Qwen,full_shrinkage,5,2,3,-0.03418718492268752
Qwen,full_shrinkage,5,2,4,-0.0024803261123173053
Qwen,full_shrinkage,5,2,5,-0.48919937852584194
Qwen,full_shrinkage,5,3,1,0.1643686334772504
Qwen,full_shrinkage,5,3,2,-0.03418718492268752
Qwen,full_shrinkage,5,3,3,1.0
Qwen,full_shrinkage,5,3,4,0.26787604452492086
Qwen,full_shrinkage,5,3,5,-0.07898852989163803
Qwen,full_shrinkage,5,4,1,0.26997372631478744
Qwen,full_shrinkage,5,4,2,-0.0024803261123173053
Qwen,full_shrinkage,5,4,3,0.26787604452492086
Qwen,full_shrinkage,5,4,4,1.0
Qwen,full_shrinkage,5,4,5,0.059001322941407516
Qwen,full_shrinkage,5,5,1,-0.09425729848176329
Qwen,full_shrinkage,5,5,2,-0.48919937852584194
Qwen,full_shrinkage,5,5,3,-0.07898852989163803
Qwen,full_shrinkage,5,5,4,0.059001322941407516
Qwen,full_shrinkage,5,5,5,1.0
Qwen,full_shrinkage,6,1,1,1.0
Qwen,full_shrinkage,6,1,2,0.4468244484643452
Qwen,full_shrinkage,6,1,3,0.031168303752211517
Qwen,full_shrinkage,6,1,4,0.3205929321048843
Qwen,full_shrinkage,6,1,5,-0.5182518117427829
Qwen,full_shrinkage,6,1,6,-0.25174279703124747
Qwen,full_shrinkage,6,2,1,0.4468244484643452
Qwen,full_shrinkage,6,2,2,1.0000000000000002
Qwen,full_shrinkage,6,2,3,0.1858686307515037
Qwen,full_shrinkage,6,2,4,0.2229792397069197
Qwen,full_shrinkage,6,2,5,-0.04238793860687874
Qwen,full_shrinkage,6,2,6,0.3096011251862322
Qwen,full_shrinkage,6,3,1,0.031168303752211517
Qwen,full_shrinkage,6,3,2,0.1858686307515037
Qwen,full_shrinkage,6,3,3,0.9999999999999999
Qwen,full_shrinkage,6,3,4,0.2649239602985153
Qwen,full_shrinkage,6,3,5,-0.10290306579185562
Qwen,full_shrinkage,6,3,6,-0.007779982700533689
Qwen,full_shrinkage,6,4,1,0.3205929321048843
Qwen,full_shrinkage,6,4,2,0.2229792397069197
Qwen,full_shrinkage,6,4,3,0.2649239602985153
Qwen,full_shrinkage,6,4,4,0.9999999999999999
Qwen,full_shrinkage,6,4,5,-0.100983271760713
Qwen,full_shrinkage,6,4,6,-0.19568380025010393
Qwen,full_shrinkage,6,5,1,-0.5182518117427829
Qwen,full_shrinkage,6,5,2,-0.04238793860687874
Qwen,full_shrinkage,6,5,3,-0.10290306579185562
Qwen,full_shrinkage,6,5,4,-0.100983271760713
Qwen,full_shrinkage,6,5,5,1.0000000000000002
Qwen,full_shrinkage,6,5,6,0.3848149715524818
Qwen,full_shrinkage,6,6,1,-0.25174279703124747
Qwen,full_shrinkage,6,6,2,0.3096011251862322
Qwen,full_shrinkage,6,6,3,-0.007779982700533689
Qwen,full_shrinkage,6,6,4,-0.19568380025010393
Qwen,full_shrinkage,6,6,5,0.3848149715524818
Qwen,full_shrinkage,6,6,6,0.9999999999999999
Qwen,full_shrinkage,7,1,1,0.9999999999999999
Qwen,full_shrinkage,7,1,2,0.37748555171909665
Qwen,full_shrinkage,7,1,3,0.2081553448903968
Qwen,full_shrinkage,7,1,4,0.12832477723749186
Qwen,full_shrinkage,7,1,5,0.044563168190582536
Qwen,full_shrinkage,7,1,6,-0.6162798518425023
Qwen,full_shrinkage,7,1,7,0.08828872470377766
Qwen,full_shrinkage,7,2,1,0.37748555171909665
Qwen,full_shrinkage,7,2,2,1.0000000000000002
Qwen,full_shrinkage,7,2,3,0.015350347592934717
Qwen,full_shrinkage,7,2,4,0.2096407760173328
Qwen,full_shrinkage,7,2,5,-0.4622196087473511
Qwen,full_shrinkage,7,2,6,-0.05465434732658292
Qwen,full_shrinkage,7,2,7,-0.2315722079998356
Qwen,full_shrinkage,7,3,1,0.2081553448903968
Qwen,full_shrinkage,7,3,2,0.015350347592934717
Qwen,full_shrinkage,7,3,3,1.0
Qwen,full_shrinkage,7,3,4,0.1611344369390181
Qwen,full_shrinkage,7,3,5,0.12403484149902072
Qwen,full_shrinkage,7,3,6,-0.4601982537388623
Qwen,full_shrinkage,7,3,7,-0.506067705088339
Qwen,full_shrinkage,7,4,1,0.12832477723749186
Qwen,full_shrinkage,7,4,2,0.2096407760173328
Qwen,full_shrinkage,7,4,3,0.1611344369390181
Qwen,full_shrinkage,7,4,4,1.0
Qwen,full_shrinkage,7,4,5,0.01600335619087243
Qwen,full_shrinkage,7,4,6,-0.07146800236300387
Qwen,full_shrinkage,7,4,7,-0.18750674706625825
Qwen,full_shrinkage,7,5,1,0.044563168190582536
Qwen,full_shrinkage,7,5,2,-0.4622196087473511
Qwen,full_shrinkage,7,5,3,0.12403484149902072
Qwen,full_shrinkage,7,5,4,0.01600335619087243
Qwen,full_shrinkage,7,5,5,0.9999999999999999
Qwen,full_shrinkage,7,5,6,-0.21272190994118326
Qwen,full_shrinkage,7,5,7,0.20820210709402848
Qwen,full_shrinkage,7,6,1,-0.6162798518425023
Qwen,full_shrinkage,7,6,2,-0.05465434732658292
Qwen,full_shrinkage,7,6,3,-0.4601982537388623
Qwen,full_shrinkage,7,6,4,-0.07146800236300387
Qwen,full_shrinkage,7,6,5,-0.21272190994118326
Qwen,full_shrinkage,7,6,6,1.0000000000000002
Qwen,full_shrinkage,7,6,7,-0.0320963793676863
Qwen,full_shrinkage,7,7,1,0.08828872470377766
Qwen,full_shrinkage,7,7,2,-0.2315722079998356
Qwen,full_shrinkage,7,7,3,-0.506067705088339
Qwen,full_shrinkage,7,7,4,-0.18750674706625825
Qwen,full_shrinkage,7,7,5,0.20820210709402848
Qwen,full_shrinkage,7,7,6,-0.0320963793676863
Qwen,full_shrinkage,7,7,7,1.0
Qwen,full_shrinkage,8,1,1,0.9999999999999999
Qwen,full_shrinkage,8,1,2,0.35956918432511353
Qwen,full_shrinkage,8,1,3,-0.14971383409541922
Qwen,full_shrinkage,8,1,4,0.28614377693261134
Qwen,full_shrinkage,8,1,5,0.10359983007063597
Qwen,full_shrinkage,8,1,6,-0.5549286069473576
Qwen,full_shrinkage,8,1,7,-0.09678457788948508
Qwen,full_shrinkage,8,1,8,-0.5363359446995003
Qwen,full_shrinkage,8,2,1,0.35956918432511353
Qwen,full_shrinkage,8,2,2,1.0000000000000002
Qwen,full_shrinkage,8,2,3,-0.048000861301788815
Qwen,full_shrinkage,8,2,4,0.1759412183554939
Qwen,full_shrinkage,8,2,5,-0.4482544979998786
Qwen,full_shrinkage,8,2,6,-0.154237891434551
Qwen,full_shrinkage,8,2,7,-0.33768909767893174
Qwen,full_shrinkage,8,2,8,0.013545714858067541
Qwen,full_shrinkage,8,3,1,-0.14971383409541922
Qwen,full_shrinkage,8,3,2,-0.048000861301788815
Qwen,full_shrinkage,8,3,3,1.0000000000000002
Qwen,full_shrinkage,8,3,4,0.1392583359300098
Qwen,full_shrinkage,8,3,5,0.06809418035903048
Qwen,full_shrinkage,8,3,6,-0.2659994753966621
Qwen,full_shrinkage,8,3,7,-0.5840035729757521
Qwen,full_shrinkage,8,3,8,-0.1260816581649741
Qwen,full_shrinkage,8,4,1,0.28614377693261134
Qwen,full_shrinkage,8,4,2,0.1759412183554939
Qwen,full_shrinkage,8,4,3,0.1392583359300098
Qwen,full_shrinkage,8,4,4,1.0000000000000002
Qwen,full_shrinkage,8,4,5,0.08322040164304625
Qwen,full_shrinkage,8,4,6,-0.40196748263015636
Qwen,full_shrinkage,8,4,7,-0.1883451399935252
Qwen,full_shrinkage,8,4,8,0.03678999391030696
Qwen,full_shrinkage,8,5,1,0.10359983007063597
Qwen,full_shrinkage,8,5,2,-0.4482544979998786
