model,factor_a,factor_b,correlation
Qwen,Qwen_F1,Qwen_F1,1.0
Qwen,Qwen_F1,Qwen_F2,-0.24833957462048797
Qwen,Qwen_F1,Qwen_F3,0.1643686334772504
Qwen,Qwen_F1,Qwen_F4,0.26997372631478744
Qwen,Qwen_F1,Qwen_F5,-0.09425729848176329
Qwen,Qwen_F2,Qwen_F1,-0.24833957462048797
Qwen,Qwen_F2,Qwen_F2,1.0000000000000002
Qwen,Qwen_F2,Qwen_F3,-0.03418718492268752
Qwen,Qwen_F2,Qwen_F4,-0.0024803261123173053
Qwen,Qwen_F2,Qwen_F5,-0.48919937852584194
Qwen,Qwen_F3,Qwen_F1,0.1643686334772504
Qwen,Qwen_F3,Qwen_F2,-0.03418718492268752
Qwen,Qwen_F3,Qwen_F3,1.0
Qwen,Qwen_F3,Qwen_F4,0.26787604452492086
Qwen,Qwen_F3,Qwen_F5,-0.07898852989163803
Qwen,Qwen_F4,Qwen_F1,0.26997372631478744
Qwen,Qwen_F4,Qwen_F2,-0.0024803261123173053
Qwen,Qwen_F4,Qwen_F3,0.26787604452492086
Qwen,Qwen_F4,Qwen_F4,1.0
Qwen,Qwen_F4,Qwen_F5,0.059001322941407516
Qwen,Qwen_F5,Qwen_F1,-0.09425729848176329
Qwen,Qwen_F5,Qwen_F2,-0.48919937852584194
Qwen,Qwen_F5,Qwen_F3,-0.07898852989163803
Qwen,Qwen_F5,Qwen_F4,0.059001322941407516
Qwen,Qwen_F5,Qwen_F5,1.0
Llama,Llama_F1,Llama_F1,0.9999999999999999
Llama,Llama_F1,Llama_F2,0.235442507489315
Llama,Llama_F1,Llama_F3,-0.1356416843317573
Llama,Llama_F1,Llama_F4,0.13647838436187634
Llama,Llama_F1,Llama_F5,0.015858235061709334
Llama,Llama_F1,Llama_F6,0.4901216906461506
Llama,Llama_F2,Llama_F1,0.235442507489315
Llama,Llama_F2,Llama_F2,0.9999999999999999
Llama,Llama_F2,Llama_F3,0.009633040798121998
Llama,Llama_F2,Llama_F4,0.37083786701831734
Llama,Llama_F2,Llama_F5,-0.2246034322649331
Llama,Llama_F2,Llama_F6,-0.08724817016199345
Llama,Llama_F3,Llama_F1,-0.1356416843317573
Llama,Llama_F3,Llama_F2,0.009633040798121998
Llama,Llama_F3,Llama_F3,1.0
Llama,Llama_F3,Llama_F4,-0.07740470732508628
Llama,Llama_F3,Llama_F5,0.14977907691198156
Llama,Llama_F3,Llama_F6,-0.31184411964513997
Llama,Llama_F4,Llama_F1,0.13647838436187634
Llama,Llama_F4,Llama_F2,0.37083786701831734
Llama,Llama_F4,Llama_F3,-0.07740470732508628
Llama,Llama_F4,Llama_F4,0.9999999999999999
Llama,Llama_F4,Llama_F5,-0.2627105641460049
Llama,Llama_F4,Llama_F6,-0.18105923372623603
Llama,Llama_F5,Llama_F1,0.015858235061709334
Llama,Llama_F5,Llama_F2,-0.2246034322649331
Llama,Llama_F5,Llama_F3,0.14977907691198156
Llama,Llama_F5,Llama_F4,-0.2627105641460049
Llama,Llama_F5,Llama_F5,1.0
Llama,Llama_F5,Llama_F6,0.019366571855742903
Llama,Llama_F6,Llama_F1,0.4901216906461506
Llama,Llama_F6,Llama_F2,-0.08724817016199345
Llama,Llama_F6,Llama_F3,-0.31184411964513997
Llama,Llama_F6,Llama_F4,-0.18105923372623603
Llama,Llama_F6,Llama_F5,0.019366571855742903
Llama,Llama_F6,Llama_F6,1.0
Gemma,Gemma_F1,Gemma_F1,1.0000000000000002
Gemma,Gemma_F1,Gemma_F2,-0.4219679614540545
Gemma,Gemma_F1,Gemma_F3,0.43876439857166044
Gemma,Gemma_F1,Gemma_F4,-0.12013501830166534
Gemma,Gemma_F1,Gemma_F5,-0.24156829169136396
Gemma,Gemma_F1,Gemma_F6,-0.26045919273817225
Gemma,Gemma_F2,Gemma_F1,-0.4219679614540545
Gemma,Gemma_F2,Gemma_F2,1.0
Gemma,Gemma_F2,Gemma_F3,-0.10570423514818407
Gemma,Gemma_F2,Gemma_F4,0.14486963698383507
Gemma,Gemma_F2,Gemma_F5,0.3552082728947603
Gemma,Gemma_F2,Gemma_F6,0.005458101210690985
Gemma,Gemma_F3,Gemma_F1,0.43876439857166044
Gemma,Gemma_F3,Gemma_F2,-0.10570423514818407
Gemma,Gemma_F3,Gemma_F3,1.0000000000000002
Gemma,Gemma_F3,Gemma_F4,-0.1890626015516095
Gemma,Gemma_F3,Gemma_F5,0.057192498532386456
Gemma,Gemma_F3,Gemma_F6,-0.3031771858517848
Gemma,Gemma_F4,Gemma_F1,-0.12013501830166534
Gemma,Gemma_F4,Gemma_F2,0.14486963698383507
Gemma,Gemma_F4,Gemma_F3,-0.1890626015516095
Gemma,Gemma_F4,Gemma_F4,1.0000000000000004
Gemma,Gemma_F4,Gemma_F5,-0.07619886336825799
Gemma,Gemma_F4,Gemma_F6,-0.059955959356907396
Gemma,Gemma_F5,Gemma_F1,-0.24156829169136396
Gemma,Gemma_F5,Gemma_F2,0.3552082728947603
Gemma,Gemma_F5,Gemma_F3,0.057192498532386456
Gemma,Gemma_F5,Gemma_F4,-0.07619886336825799
Gemma,Gemma_F5,Gemma_F5,1.0
Gemma,Gemma_F5,Gemma_F6,-0.09012020750413247
Gemma,Gemma_F6,Gemma_F1,-0.26045919273817225
Gemma,Gemma_F6,Gemma_F2,0.005458101210690985
Gemma,Gemma_F6,Gemma_F3,-0.3031771858517848
Gemma,Gemma_F6,Gemma_F4,-0.059955959356907396
Gemma,Gemma_F6,Gemma_F5,-0.09012020750413247
Gemma,Gemma_F6,Gemma_F6,1.0
