model_a,model_b,factor_a,factor_b,tucker_congruence,loading_vector_correlation,matched,sign_correction,shared_subspace_canonical_min,shared_subspace_canonical_mean,largest_principal_angle_deg,matched_mean_abs_congruence,permutation_p,permutation_null_p95,largest_disagreement_traits
Qwen,Llama,Qwen_F1,Llama_F1,0.7319299362290353,0.7250838835505874,True,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,extroverted;animated;divergent;forgiving;playful;gregarious;creative;humble
Qwen,Llama,Qwen_F1,Llama_F2,0.14777136213317296,0.04214731529003926,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,reverent;serene;solemn;ritualistic;meditative;introverted;anxious;earnest
Qwen,Llama,Qwen_F1,Llama_F3,-0.49118183239566165,-0.5341267427229431,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,wry;challenging;urgent;earnest;acerbic;cruel;sardonic;sarcastic
Qwen,Llama,Qwen_F1,Llama_F4,0.4659309217945906,0.39526231132514333,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,anxious;resilient;neurotic;nonchalant;cosmopolitan;earnest;patient;petty
Qwen,Llama,Qwen_F1,Llama_F5,-0.21843891799789758,-0.17927373448655087,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,circumspect;urgent;sassy;assertive;extroverted;hostile;serene;tactful
Qwen,Llama,Qwen_F1,Llama_F6,0.5555453366082092,0.5992979509814915,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,charismatic;literal;descriptive;challenging;assertive;avoidant;deconstructionist;introspective
Qwen,Llama,Qwen_F2,Llama_F1,0.22833629484939535,0.22310804584547117,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,descriptive;assertive;efficient;divergent;cosmopolitan;confrontational;militant;libertarian
Qwen,Llama,Qwen_F2,Llama_F2,0.03334706949078455,0.013460319460915384,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,secular;spiritual;mystical;universalist;pacifist;romantic;cautious;quantitative
Qwen,Llama,Qwen_F2,Llama_F3,0.751199838357396,0.7504012918269463,True,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,concise;verbose;efficient;inspirational;urgent;optimistic;pessimistic;supportive
Qwen,Llama,Qwen_F2,Llama_F4,0.019152178466581776,-0.006791017733339088,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,animated;cautious;adventurous;extroverted;progressive;egalitarian;existentialist;optimistic
Qwen,Llama,Qwen_F2,Llama_F5,-0.07097603404240801,-0.06275821906481704,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,open_ended;prescriptive;accommodating;deferential;empathetic;humanistic;constructivist;quantitative
Qwen,Llama,Qwen_F2,Llama_F6,-0.2742976999593516,-0.27170833162643226,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,egalitarian;adaptable;literal;generalist;supportive;nurturing;charismatic;humanistic
Qwen,Llama,Qwen_F3,Llama_F1,0.1808647571302002,0.1406454728285804,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,collectivistic;altruistic;anthropocentric;meditative;forgiving;idealistic;reverent;blunt
Qwen,Llama,Qwen_F3,Llama_F2,0.9188858106711968,0.9128453386238863,True,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,anthropocentric;avoidant;proactive;problem_solving;big_picture;dogmatic;literal;exploratory
Qwen,Llama,Qwen_F3,Llama_F3,-0.0836449752527196,-0.11205573131691106,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,experiential;ritualistic;conceptual;introverted;gregarious;practical;contemporary;reverent
Qwen,Llama,Qwen_F3,Llama_F4,0.24920559762048214,0.12356938406978914,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,deontological;progressive;contemporary;fundamentalist;exploratory;universalist;ascetic;essentialist
Qwen,Llama,Qwen_F3,Llama_F5,-0.29718249556430903,-0.25954503162036796,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,universalist;absolutist;inquisitive;exploratory;closure_seeking;fundamentalist;essentialist;confident
Qwen,Llama,Qwen_F3,Llama_F6,-0.04511384003825705,-0.02547393509815401,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,proactive;exploratory;concise;problem_solving;adaptable;contemporary;fatalistic;fundamentalist
Qwen,Llama,Qwen_F4,Llama_F1,-0.050693720596303705,-0.1258858365382946,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,confrontational;iconoclastic;critical;assertive;contrarian;militant;moderate;radical
Qwen,Llama,Qwen_F4,Llama_F2,0.27960934976074875,0.14351756894460638,False,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,essentialist;holistic;generalist;contemporary;progressive;systems_thinker;fundamentalist;exploratory
Qwen,Llama,Qwen_F4,Llama_F3,-0.10206717484205181,-0.14392771812673413,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,interdisciplinary;systems_thinker;futuristic;holistic;cosmopolitan;skeptical;inclusive;divergent
Qwen,Llama,Qwen_F4,Llama_F4,0.7913815043014576,0.7461053692828465,True,1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,systems_thinker;holistic;generous;generalist;avoidant;curious;inclusive;animated
Qwen,Llama,Qwen_F4,Llama_F5,-0.334213211732926,-0.2923439690378872,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,systems_thinker;understated;decisive;deferential;holistic;cautious;progressive;generous
Qwen,Llama,Qwen_F4,Llama_F6,-0.4652416527271932,-0.47852843472511936,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,playful;goofy;disorganized;manic;mischievous;mercurial;irreverent;entertaining
Qwen,Llama,Qwen_F5,Llama_F1,-0.5105891314784307,-0.5071609439216347,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,decisive;closure_seeking;socratic;submissive;accommodating;problem_solving;understated;resilient
Qwen,Llama,Qwen_F5,Llama_F2,-0.14093830270315852,-0.12360398436602148,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,meditative;mystical;secular;spiritual;ethereal;deferential;contemporary;romantic
Qwen,Llama,Qwen_F5,Llama_F3,-0.3999181699362795,-0.3967850208975766,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,descriptive;assertive;anthropocentric;circumspect;decisive;closure_seeking;universalist;pluralist
Qwen,Llama,Qwen_F5,Llama_F4,-0.05000927201571653,-0.019028969439882228,False,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,closure_seeking;convergent;pluralist;decisive;open_ended;universalist;divergent;animated
Qwen,Llama,Qwen_F5,Llama_F5,-0.6073928616501872,-0.6311450544657284,True,-1,0.8178839093667863,0.9114193115165659,35.12647745400018,0.7601579902418545,0.009900990099009901,0.1611888290706783,critical;optimistic;challenging;pessimistic;deconstructionist;naive;paranoid;benevolent
