model,trait,factor,full_sample_pattern_loading,bootstrap_mean,bootstrap_sd,bootstrap_q05,bootstrap_q95
Qwen,absolutist,Qwen_F1,-0.13321825105676477,-0.09881962380137364,0.06967848575057221,-0.19299038965649593,-0.007155440706536758
Qwen,absolutist,Qwen_F2,0.03313401665130745,0.03559280507232264,0.05821776491762885,-0.03738554196264428,0.14529185131540864
Qwen,absolutist,Qwen_F3,-0.8214257159155501,-0.826085700328191,0.025544835960233842,-0.8574461909029647,-0.7797264909093959
Qwen,absolutist,Qwen_F4,0.028908698935720387,0.024469540784920613,0.033979655284560845,-0.0142647022180848,0.07342568594244459
Qwen,absolutist,Qwen_F5,0.43398187731785004,0.4292218715844598,0.038516862081884054,0.3793949807504885,0.4863204667749219
Qwen,abstract,Qwen_F1,0.34433104990923913,0.36071457357909376,0.05611855585762691,0.2888669971097377,0.4450654164531792
Qwen,abstract,Qwen_F2,-0.42163549313235915,-0.4089149419432939,0.04109947349718665,-0.4604502265114514,-0.3406391932823333
Qwen,abstract,Qwen_F3,-0.7146551551380553,-0.7048323901225334,0.05222195544187354,-0.8082766079169647,-0.646630865975026
Qwen,abstract,Qwen_F4,-0.2968758655549811,-0.29232535473573795,0.04041946690956265,-0.34216824524794315,-0.24438124826349256
Qwen,abstract,Qwen_F5,0.06342025217718085,0.06832361480190699,0.03233666560622839,0.034580878226289975,0.11724400899301446
Qwen,accessible,Qwen_F1,-0.3356381481647551,-0.33994377700665324,0.05550181599486814,-0.4122354564833366,-0.26608496526135184
Qwen,accessible,Qwen_F2,0.6213499933917394,0.6109409601351241,0.027954845258124007,0.57153353931212,0.6519563122961879
Qwen,accessible,Qwen_F3,0.320417406240701,0.32484024449586546,0.04574040687517917,0.26794037700802603,0.3944527934325949
Qwen,accessible,Qwen_F4,0.07686707031140601,0.06974550821865563,0.05410372972790249,-0.05373103862602198,0.12686896781205137
Qwen,accessible,Qwen_F5,-0.32980932627179504,-0.3239762986635798,0.022126412105499645,-0.35617207360902,-0.28862802615965283
Qwen,accommodating,Qwen_F1,-0.29182202390110035,-0.30643755961931346,0.06771683784103982,-0.37972557452332845,-0.20484574289344964
Qwen,accommodating,Qwen_F2,0.47811565536024037,0.4674582416803886,0.024269515211076093,0.4341233010138391,0.49755465317754805
Qwen,accommodating,Qwen_F3,0.2342621033926901,0.23167513416428415,0.03806849498283962,0.17573090485902576,0.2751214960188558
