model,component,ordinary_eigenvalue,shrinkage_eigenvalue,null_mean,null_p95,exceeds_p95
Qwen,1,122.97637306460717,121.50574416729972,3.650255687097415,3.758532654310908,True
Qwen,2,52.09833873245565,51.4822629166536,3.5309403063246343,3.610803499515916,True
Qwen,3,38.054900524947755,37.6081418115207,3.4483214266146973,3.519747514956367,True
Qwen,4,13.404040332522829,13.254488909586911,3.3687796375665346,3.4294037018784054,True
Qwen,5,4.4575483525837996,4.415861832535743,3.299506078167657,3.349029645988839,True
Qwen,6,3.075424254847886,3.0504015491658993,3.232525913728657,3.292420934182479,False
Qwen,7,1.3261364661395258,1.322204346340256,3.1790099275703603,3.2283294591363147,False
Qwen,8,1.2535802139943553,1.250522880995215,3.1311852917867458,3.1743122531026167,False
Qwen,9,0.8317330536118305,0.8337617926831986,3.0801618705936202,3.1224336279614633,False
Qwen,10,0.6744873405095186,0.6784119392777798,3.0309055291858287,3.073789026042363,False
Qwen,11,0.3675053459999392,0.3751311254209465,2.98474601675876,3.0247328026762688,False
Qwen,12,0.28921893380289476,0.2977885866737411,2.9401517960116825,2.9773112825889356,False
Qwen,13,0.19961046913485395,0.20926050170771265,2.8989495071336937,2.946179589275046,False
Qwen,14,0.14673063729418112,0.15701822455764122,2.8592257193866653,2.900350912421793,False
Qwen,15,0.13638715888782388,0.14679945405873288,2.817175182507447,2.8568221674678855,False
Qwen,16,0.11483757999674611,0.125509691332423,2.779500546309885,2.818020427531838,False
Qwen,17,0.08335374459520797,0.0944054461496805,2.7426033582710336,2.7820532503119035,False
Qwen,18,0.07980090180667031,0.09089543881477305,2.7032503240183767,2.739381199915169,False
Qwen,19,0.058091175031149224,0.06944745905424046,2.667706337829283,2.7050952906337744,False
Qwen,20,0.05006080420467939,0.06151390776008407,2.6324600689156807,2.6727436103170517,False
Llama,1,107.64027971994099,105.03678720646886,3.6466529598328044,3.7450194373738483,True
Llama,2,66.58614229092653,64.98493652805361,3.5301057950164285,3.626607498289259,True
Llama,3,28.353073873661813,27.68528189826987,3.4395092651686654,3.528271968206919,True
Llama,4,10.555277388308031,10.321996931711855,3.3632238476191567,3.43059079142956,True
Llama,5,8.75363248511944,8.564336993957571,3.299481067428192,3.352143435399867,True
Llama,6,5.5124318069861875,5.402266281746622,3.2435776837795602,3.3125044749649524,True
Llama,7,3.1469366015956783,3.0945217600008004,3.180845340191125,3.2294802599135726,False
Llama,8,1.9099954146498284,1.8877789852147524,3.1281427605294203,3.182019559363062,False
Llama,9,1.4340896815890587,1.423491910848392,3.0770183325557285,3.1223659894402784,False
Llama,10,0.8349142526274732,0.8389446200317423,3.030552349604468,3.0796892125998117,False
Llama,11,0.7489431041731067,0.7550723524314311,2.9880943104784876,3.0377016931144496,False
Llama,12,0.619007586561811,0.6283090521870021,2.94360909489921,2.985919648416713,False
Llama,13,0.5081882685566674,0.5201952528238987,2.8964907504519575,2.9418985353783236,False
Llama,14,0.3966948638782542,0.4114238237924374,2.8540731047339096,2.8922013102612403,False
Llama,15,0.3744194261780369,0.38969221376633206,2.810702146218489,2.8483421618694824,False
Llama,16,0.31149797796834605,0.32830691605981926,2.772439053631706,2.8189751366913502,False
Llama,17,0.28203125439827037,0.29955958664749244,2.7343549808984853,2.7779788075501353,False
Llama,18,0.2099689380422589,0.2292565839544697,2.6964711363089764,2.7406130771683124,False
Llama,19,0.18546318957923413,0.2053491134857279,2.657768580119743,2.695223163810649,False
Llama,20,0.16129838536365895,0.1817742635259916,2.6245574513192826,2.663089407293521,False
Gemma,1,117.23084101079021,115.49350011587399,3.63876359679421,3.763781368746698,True
Gemma,2,54.39253736985772,53.59446142160422,3.5295858935226914,3.6040177101211284,True
Gemma,3,30.27287660127285,29.835325214834008,3.4404553806205156,3.5043238144511317,True
Gemma,4,14.105599437226587,13.909705699758302,3.371997026837022,3.4407195750277615,True
Gemma,5,6.800817753484653,6.714111008360527,3.30295562501376,3.3671402474026997,True
Gemma,6,4.612266345589499,4.558272603559016,3.2391964199408125,3.2922144252794783,True
Gemma,7,3.1676003898096656,3.1352005485256864,3.1836489772444962,3.2457024880367626,False
Gemma,8,1.707794522049326,1.697214882792995,3.128976300016534,3.180214433217592,False
Gemma,9,1.6133181695232013,1.6041506996138237,3.07693351959308,3.1286645700115687,False
Gemma,10,0.9436710642968729,0.9445130315640202,3.0298829906876765,3.07981338520908,False
Gemma,11,0.8769948309285152,0.8788334299497014,2.9796124490002076,3.019852191479033,False
Gemma,12,0.7309330176575682,0.7349548510008521,2.9385461222185487,2.9854067761356746,False
Gemma,13,0.5399558366833859,0.5468322692330152,2.898509394853329,2.9395757225975427,False
Gemma,14,0.4836160804983598,0.49133464205246696,2.855531383990034,2.899278706292543,False
Gemma,15,0.33689297620236813,0.34680465661465143,2.81624155604135,2.8580518747759407,False
Gemma,16,0.2870580516829905,0.29771463122539843,2.7724504292939867,2.819008725110183,False
Gemma,17,0.2288096479106611,0.24033688564548317,2.7358468398192004,2.7815886419897535,False
Gemma,18,0.20929174918460644,0.22111072741915144,2.6992008116973785,2.7400917824319437,False
Gemma,19,0.18882568421761767,0.20095057550687384,2.6636816000691454,2.706818514658624,False
Gemma,20,0.15144452407316097,0.16412816394974106,2.629144339462778,2.666751625937339,False
