model,variant,factors,offdiag_residual_rms,residual_offdiag_p95_abs,residual_offdiag_max_abs,heldout_gaussian_loglik_mean,min_uniqueness,mean_communality,shrinkage_alpha,retained_by_parallel,primary_loading_mean_abs_congruence,represented_traits
Qwen,full_shrinkage,3,0.05908822562293309,0.11610827078012166,0.7928394596586066,-29.573748943729147,0.017308210838540616,0.876150530031218,0.01205667015962651,False,,
Qwen,full_shrinkage,4,0.02356315295272668,0.04798668016761207,0.29279946406965307,17.145630366004077,0.016031066161645402,0.9313520070576918,0.01205667015962651,False,,
Qwen,full_shrinkage,5,0.015222627734943464,0.031631969886964054,0.1395635358458152,49.68512238766863,0.015572524105754715,0.9498468226575731,0.01205667015962651,True,,
Qwen,full_shrinkage,6,0.0086858705067749,0.01691018572437764,0.11927469779603272,93.15754772474777,0.012897821045780855,0.9626802438548049,0.01205667015962651,False,,
Qwen,full_shrinkage,7,0.006957914493286854,0.014053669860988507,0.08674793469906972,106.33490491932622,0.013021285086106671,0.9681255614266813,0.01205667015962651,False,,
Qwen,full_shrinkage,8,0.004808683858179347,0.009718779660983685,0.06841566135881394,127.42697803983306,0.012732257948891101,0.9734445818579313,0.01205667015962651,False,,
Qwen,ordinary_sensitivity,3,0.05980932695044386,0.11752523375885816,0.8025151197554574,-21.593091142560898,0.005315629469976768,0.8868429023886008,0.0,False,,
Qwen,ordinary_sensitivity,4,0.023850713148115894,0.04857224384911652,0.2963726678078993,28.612490664561324,0.005,0.942717943548987,0.0,False,,
Qwen,ordinary_sensitivity,5,0.01540840189275676,0.03201822136918782,0.14126633529626975,66.51167233354151,0.005,0.9614380363615669,0.0,True,0.999999926698759,
Qwen,ordinary_sensitivity,6,0.008791874139689581,0.01711693003151655,0.12072827753345328,128.14297895760942,0.005,0.9744252930447017,0.0,False,,
Qwen,ordinary_sensitivity,7,0.007042833811791422,0.014225747986891704,0.08779986487317293,144.7868426007561,0.005,0.9799349226124324,0.0,False,,
Qwen,ordinary_sensitivity,8,0.0048673906819850015,0.009835419523339476,0.06923612123863598,178.2974864868514,0.005,0.985312503077136,0.0,False,,
Qwen,redundancy_controlled,5,0.015220332246360166,,,,,0.9495195150590062,0.012120502294615225,,0.9998502857315914,235.0
Qwen,varimax_orthogonal,5,0.015222627734943464,0.03163196988696319,0.13956353584581543,,,0.9498468226575729,0.01205667015962651,,,
