model,component_count,ordinary_eigenvalue,shrinkage_eigenvalue,map_mean_squared_partial,parallel_count,map_minimum,eigen_gt_one,shrinkage_alpha
Qwen,0,,,0.3357637882455291,5,15,8,0.01205667015962651
Qwen,1,122.97637306460717,121.50574416729972,0.2933671625916015,5,15,8,0.01205667015962651
Qwen,2,52.09833873245565,51.4822629166536,0.3291587248087716,5,15,8,0.01205667015962651
Qwen,3,38.054900524947755,37.6081418115207,0.1866136717501462,5,15,8,0.01205667015962651
Qwen,4,13.404040332522829,13.254488909586911,0.1723114106100086,5,15,8,0.01205667015962651
Qwen,5,4.4575483525837996,4.415861832535743,0.17687739034669483,5,15,8,0.01205667015962651
Qwen,6,3.075424254847886,3.0504015491658993,0.11737352648317403,5,15,8,0.01205667015962651
Qwen,7,1.3261364661395258,1.322204346340256,0.1252709324667941,5,15,8,0.01205667015962651
Qwen,8,1.2535802139943553,1.250522880995215,0.1100163493683165,5,15,8,0.01205667015962651
Qwen,9,0.8317330536118305,0.8337617926831986,0.0986870838250826,5,15,8,0.01205667015962651
Qwen,10,0.6744873405095186,0.6784119392777798,0.0914879373101653,5,15,8,0.01205667015962651
Qwen,11,0.3675053459999392,0.3751311254209465,0.0861390471036698,5,15,8,0.01205667015962651
Qwen,12,0.28921893380289476,0.2977885866737411,0.07253117566883431,5,15,8,0.01205667015962651
Qwen,13,0.19961046913485395,0.20926050170771265,0.07345543858770685,5,15,8,0.01205667015962651
Qwen,14,0.14673063729418112,0.15701822455764122,0.07207855295455017,5,15,8,0.01205667015962651
Qwen,15,0.13638715888782388,0.14679945405873288,0.06864751926650657,5,15,8,0.01205667015962651
Qwen,16,0.11483757999674611,0.125509691332423,,5,15,8,0.01205667015962651
Qwen,17,0.08335374459520797,0.0944054461496805,,5,15,8,0.01205667015962651
Qwen,18,0.07980090180667031,0.09089543881477305,,5,15,8,0.01205667015962651
Qwen,19,0.058091175031149224,0.06944745905424046,,5,15,8,0.01205667015962651
Qwen,20,0.05006080420467939,0.06151390776008407,,5,15,8,0.01205667015962651
Llama,0,,,0.29324719478045663,6,15,9,0.024413781737158503
Llama,1,107.64027971994099,105.03678720646886,0.2605804630799698,6,15,9,0.024413781737158503
Llama,2,66.58614229092653,64.98493652805361,0.18684953148027486,6,15,9,0.024413781737158503
Llama,3,28.353073873661813,27.68528189826987,0.14517785290055688,6,15,9,0.024413781737158503
Llama,4,10.555277388308031,10.321996931711855,0.13615650069854587,6,15,9,0.024413781737158503
Llama,5,8.75363248511944,8.564336993957571,0.12620184459874384,6,15,9,0.024413781737158503
Llama,6,5.5124318069861875,5.402266281746622,0.09920967620484203,6,15,9,0.024413781737158503
Llama,7,3.1469366015956783,3.0945217600008004,0.08074659604799687,6,15,9,0.024413781737158503
Llama,8,1.9099954146498284,1.8877789852147524,0.0720353091354293,6,15,9,0.024413781737158503
Llama,9,1.4340896815890587,1.423491910848392,0.06717605551045022,6,15,9,0.024413781737158503
Llama,10,0.8349142526274732,0.8389446200317423,0.06497960756003715,6,15,9,0.024413781737158503
Llama,11,0.7489431041731067,0.7550723524314311,0.06302332425753347,6,15,9,0.024413781737158503
Llama,12,0.619007586561811,0.6283090521870021,0.059208803117065244,6,15,9,0.024413781737158503
Llama,13,0.5081882685566674,0.5201952528238987,0.052488632695427175,6,15,9,0.024413781737158503
Llama,14,0.3966948638782542,0.4114238237924374,0.052185571998969456,6,15,9,0.024413781737158503
Llama,15,0.3744194261780369,0.38969221376633206,0.0507885077857397,6,15,9,0.024413781737158503
Llama,16,0.31149797796834605,0.32830691605981926,,6,15,9,0.024413781737158503
Llama,17,0.28203125439827037,0.29955958664749244,,6,15,9,0.024413781737158503
Llama,18,0.2099689380422589,0.2292565839544697,,6,15,9,0.024413781737158503
Llama,19,0.18546318957923413,0.2053491134857279,,6,15,9,0.024413781737158503
Llama,20,0.16129838536365895,0.1817742635259916,,6,15,9,0.024413781737158503
Gemma,0,,,0.3079366101269806,6,15,9,0.014947331360658341
Gemma,1,117.23084101079021,115.49350011587399,0.25338449192818924,6,15,9,0.014947331360658341
Gemma,2,54.39253736985772,53.59446142160422,0.22820886348012173,6,15,9,0.014947331360658341
Gemma,3,30.27287660127285,29.835325214834008,0.1480555018270024,6,15,9,0.014947331360658341
Gemma,4,14.105599437226587,13.909705699758302,0.11904133597186037,6,15,9,0.014947331360658341
Gemma,5,6.800817753484653,6.714111008360527,0.11651797908384437,6,15,9,0.014947331360658341
Gemma,6,4.612266345589499,4.558272603559016,0.09773989104292981,6,15,9,0.014947331360658341
Gemma,7,3.1676003898096656,3.1352005485256864,0.09037135998260422,6,15,9,0.014947331360658341
Gemma,8,1.707794522049326,1.697214882792995,0.09056502466368858,6,15,9,0.014947331360658341
Gemma,9,1.6133181695232013,1.6041506996138237,0.07528503521607904,6,15,9,0.014947331360658341
Gemma,10,0.9436710642968729,0.9445130315640202,0.07616228531924876,6,15,9,0.014947331360658341
Gemma,11,0.8769948309285152,0.8788334299497014,0.0688026670598009,6,15,9,0.014947331360658341
Gemma,12,0.7309330176575682,0.7349548510008521,0.06661913388865845,6,15,9,0.014947331360658341
Gemma,13,0.5399558366833859,0.5468322692330152,0.06472266097233138,6,15,9,0.014947331360658341
Gemma,14,0.4836160804983598,0.49133464205246696,0.058398724588997496,6,15,9,0.014947331360658341
Gemma,15,0.33689297620236813,0.34680465661465143,0.054060255635656765,6,15,9,0.014947331360658341
Gemma,16,0.2870580516829905,0.29771463122539843,,6,15,9,0.014947331360658341
Gemma,17,0.2288096479106611,0.24033688564548317,,6,15,9,0.014947331360658341
Gemma,18,0.20929174918460644,0.22111072741915144,,6,15,9,0.014947331360658341
Gemma,19,0.18882568421761767,0.20095057550687384,,6,15,9,0.014947331360658341
Gemma,20,0.15144452407316097,0.16412816394974106,,6,15,9,0.014947331360658341
