model,replicate,factor,congruence,loading_correlation,min_subspace_canonical,matched_original_axis,sign_correction,procrustes_relative_error
Qwen,0,Qwen_F1,0.998440462079543,0.9983385964780642,0.9980132962165851,1,1,0.046576514668053515
Qwen,0,Qwen_F2,0.9967772504926377,0.9967800281940405,0.9980132962165851,5,1,0.046576514668053515
Qwen,0,Qwen_F3,0.99820529781682,0.9980233647174814,0.9980132962165851,3,1,0.046576514668053515
Qwen,0,Qwen_F4,0.9949663936590626,0.9940513544952382,0.9980132962165851,4,1,0.046576514668053515
Qwen,0,Qwen_F5,0.9963219793515785,0.9965754099418134,0.9980132962165851,2,1,0.046576514668053515
Qwen,1,Qwen_F1,0.9992108854890636,0.9991531589637214,0.9817708011317745,1,1,0.062239194195730395
Qwen,1,Qwen_F2,0.9935308164956932,0.9935143930013045,0.9817708011317745,2,-1,0.062239194195730395
Qwen,1,Qwen_F3,0.9980320781930974,0.9978677096313157,0.9817708011317745,3,1,0.062239194195730395
Qwen,1,Qwen_F4,0.9956278638978932,0.9948293786330974,0.9817708011317745,4,1,0.062239194195730395
Qwen,1,Qwen_F5,0.9911120842796727,0.9910725456516432,0.9817708011317745,5,1,0.062239194195730395
Qwen,2,Qwen_F1,0.9985640409052907,0.9984761315812455,0.9946242710271301,1,1,0.05060046578764229
Qwen,2,Qwen_F2,0.9973810864778504,0.9974555919095215,0.9946242710271301,5,1,0.05060046578764229
Qwen,2,Qwen_F3,0.9985618887473708,0.9984146789526454,0.9946242710271301,3,1,0.05060046578764229
Qwen,2,Qwen_F4,0.9945343035859661,0.993974815958052,0.9946242710271301,4,1,0.05060046578764229
Qwen,2,Qwen_F5,0.9962508162494629,0.9962446851849723,0.9946242710271301,2,1,0.05060046578764229
Qwen,3,Qwen_F1,0.999207119481667,0.9991865107381328,0.9935165076962746,1,1,0.043030378305361945
Qwen,3,Qwen_F2,0.9976050004337178,0.997618698635638,0.9935165076962746,2,1,0.043030378305361945
Qwen,3,Qwen_F3,0.9986253372214602,0.9984971756295142,0.9935165076962746,3,1,0.043030378305361945
Qwen,3,Qwen_F4,0.999175104119113,0.9990305371536414,0.9935165076962746,4,1,0.043030378305361945
Qwen,3,Qwen_F5,0.9942548670018865,0.994242730632935,0.9935165076962746,5,1,0.043030378305361945
Qwen,4,Qwen_F1,0.9965539466186516,0.9966744029366555,0.9861474080358994,1,1,0.06949072620546111
Qwen,4,Qwen_F2,0.9954462844758878,0.9955161208460627,0.9861474080358994,2,1,0.06949072620546111
Qwen,4,Qwen_F3,0.997008139473634,0.9968827955174091,0.9861474080358994,3,1,0.06949072620546111
Qwen,4,Qwen_F4,0.9864570482805756,0.9839324704832211,0.9861474080358994,4,1,0.06949072620546111
Qwen,4,Qwen_F5,0.9939488873084595,0.9939606302041387,0.9861474080358994,5,1,0.06949072620546111
Qwen,5,Qwen_F1,0.9992185567137083,0.9991554040331585,0.9926600716790662,1,1,0.04367229787518137
Qwen,5,Qwen_F2,0.9979847208222355,0.9979907376807718,0.9926600716790662,5,1,0.04367229787518137
Qwen,5,Qwen_F3,0.9993720213135097,0.9993080601373577,0.9926600716790662,3,1,0.04367229787518137
Qwen,5,Qwen_F4,0.9964496919605076,0.9958039929241282,0.9926600716790662,4,1,0.04367229787518137
Qwen,5,Qwen_F5,0.997828907087533,0.9978392243792343,0.9926600716790662,2,-1,0.04367229787518137
Qwen,6,Qwen_F1,0.9937272835023797,0.9932277977180314,0.9840881256141893,1,1,0.07957911537766528
Qwen,6,Qwen_F2,0.9796009321788853,0.9795492605051206,0.9840881256141893,2,1,0.07957911537766528
Qwen,6,Qwen_F3,0.9960070947282408,0.99561250817404,0.9840881256141893,3,1,0.07957911537766528
Qwen,6,Qwen_F4,0.9723077472063445,0.9674356025891319,0.9840881256141893,4,1,0.07957911537766528
Qwen,6,Qwen_F5,0.9911135588753687,0.9911102395366437,0.9840881256141893,5,1,0.07957911537766528
Qwen,7,Qwen_F1,0.998749688641044,0.9987179780486398,0.9970658228321776,1,1,0.04461222327941087
Qwen,7,Qwen_F2,0.9989877316992475,0.9989866888049941,0.9970658228321776,2,1,0.04461222327941087
Qwen,7,Qwen_F3,0.9994815721652235,0.9994339166073885,0.9970658228321776,3,1,0.04461222327941087
Qwen,7,Qwen_F4,0.9971361864337402,0.9966350445765073,0.9970658228321776,4,1,0.04461222327941087
