model_a,model_b,pc_a,best_matching_pc_b,pearson_r,abs_pearson_r,spearman_r,abs_spearman_r,matched_role_count
gemma,llama,PC1,PC1,0.8084733002858341,0.8084733002858341,0.7221718934825886,0.7221718934825886,275
gemma,llama,PC2,PC2,0.7893654776944784,0.7893654776944784,0.6278174316955657,0.6278174316955657,275
gemma,llama,PC3,PC3,0.11645603354395435,0.11645603354395435,0.4143775424829059,0.4143775424829059,275
gemma,qwen,PC1,PC1,0.952594536876598,0.952594536876598,0.950569804679611,0.950569804679611,275
gemma,qwen,PC2,PC2,0.9220692179842611,0.9220692179842611,0.8871636709846802,0.8871636709846802,275
gemma,qwen,PC3,PC3,0.8057448036407208,0.8057448036407208,0.8767311964455728,0.8767311964455728,275
llama,gemma,PC1,PC1,0.8084733002858341,0.8084733002858341,0.7221718934825886,0.7221718934825886,275
llama,gemma,PC2,PC2,0.7893654776944784,0.7893654776944784,0.6278174316955657,0.6278174316955657,275
llama,gemma,PC3,PC3,0.11645603354395435,0.11645603354395435,0.4143775424829059,0.4143775424829059,275
llama,qwen,PC1,PC2,0.6916005766860976,0.6916005766860976,0.6824084706153891,0.6824084706153891,275
llama,qwen,PC2,PC1,-0.6759988408381201,0.6759988408381201,-0.7855866824384755,0.7855866824384755,275
llama,qwen,PC3,PC3,0.44043920658341235,0.44043920658341235,0.5578713828221921,0.5578713828221921,275
qwen,gemma,PC1,PC1,0.952594536876598,0.952594536876598,0.950569804679611,0.950569804679611,275
qwen,gemma,PC2,PC2,0.9220692179842611,0.9220692179842611,0.8871636709846802,0.8871636709846802,275
qwen,gemma,PC3,PC3,0.8057448036407208,0.8057448036407208,0.8767311964455728,0.8767311964455728,275
qwen,llama,PC1,PC2,-0.6759988408381201,0.6759988408381201,-0.7855866824384755,0.7855866824384755,275
qwen,llama,PC2,PC1,0.6916005766860976,0.6916005766860976,0.6824084706153891,0.6824084706153891,275
qwen,llama,PC3,PC3,0.44043920658341235,0.44043920658341235,0.5578713828221921,0.5578713828221921,275
