model,model_label,persona,present,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,pc2_rank,pc3_rank,pc2_global_side,pc2_cluster_side
qwen,Qwen/Qwen3-32B,shapeshifter,yes,grounded_social,-26.64773518456309,-7.225543855038575,-3.3413815128994018,23.454545454545453,39.45454545454545,40.90909090909091,167,163,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,chameleon,yes,grounded_social,-0.6396592389923379,15.880443897984275,-5.605038730171382,46.72727272727273,79.0909090909091,35.45454545454545,58,178,above_median,below_cluster_median
qwen,Qwen/Qwen3-32B,tree,yes,mythic_spiritual,-48.76608960855852,-28.499335357493777,-14.624577245666819,5.2727272727272725,9.636363636363637,16.545454545454547,249,230,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,hive,yes,procedural_professional,2.429805286001851,-32.680856318341775,4.70835281649733,51.09090909090909,4.181818181818182,64.54545454545455,264,98,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,elder,yes,mythic_spiritual,-35.705884212160704,-4.929585179742385,-20.67380667401992,16.545454545454547,45.63636363636363,8.545454545454545,150,252,below_median,above_cluster_median
qwen,Qwen/Qwen3-32B,patient,yes,grounded_social,0.4118924476795615,29.18821061876683,-27.329047584873223,48.54545454545455,90.36363636363636,6.363636363636363,27,258,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,amateur,yes,grounded_social,-0.25863281605392435,40.07045588184378,-24.428542263283024,47.45454545454545,96.18181818181819,7.454545454545454,11,255,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,philosopher,yes,procedural_professional,5.320794731164289,-30.943900246516066,3.9552506473479645,53.27272727272727,6.0,62.36363636363637,259,104,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,tulpa,yes,grounded_social,-9.203232664900778,-0.9329387643496002,-9.498609114260486,39.81818181818182,55.45454545454545,26.727272727272727,123,202,above_median,below_cluster_median
qwen,Qwen/Qwen3-32B,actor,yes,grounded_social,-23.89004845128514,21.45684319608408,0.2831027475458591,26.0,85.63636363636364,50.0,40,138,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,caregiver,yes,grounded_social,1.344611829440001,14.616833974783997,-43.370517147543644,50.0,78.36363636363636,0.18181818181818182,60,275,above_median,below_cluster_median
qwen,Qwen/Qwen3-32B,healer,yes,procedural_professional,-1.7608819321753464,-11.560647961526072,-34.34542969608257,46.0,29.636363636363637,1.6363636363636365,194,271,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,guardian,yes,procedural_professional,5.5557690892492975,-6.861264614395859,-13.004052280196337,53.63636363636363,40.18181818181818,18.363636363636363,165,225,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,optimist,yes,grounded_social,0.23151661003907312,22.207881593167933,-31.270952863118247,48.18181818181818,87.0909090909091,2.3636363636363638,36,269,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,workaholic,yes,combative_iconoclast,2.5666503059720522,19.360138423703397,23.982014216750684,51.45454545454545,82.0,90.36363636363636,50,27,above_median,below_cluster_median
qwen,Qwen/Qwen3-32B,blogger,yes,grounded_social,-0.32169028538495886,20.848443683890974,-14.39134512129694,47.09090909090909,84.9090909090909,17.636363636363637,42,227,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,podcaster,yes,grounded_social,0.8446430116441733,21.108976092354723,-9.123879133315507,49.27272727272727,85.27272727272727,28.545454545454547,41,197,above_median,above_cluster_median
qwen,Qwen/Qwen3-32B,influencer,yes,combative_iconoclast,3.2293105487482205,40.0025555563322,-2.211369212471944,52.18181818181818,95.81818181818181,45.27272727272727,12,151,above_median,above_cluster_median
